Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.000000	7420	7052	7658	7364	7394	7501	7428	7207	7217	7154	7296	7187	7311	7323	7197	7548	7589	7556	7700	7484	7755	8158	7920	8495	8390	8508	8590	7432	7455	7433	7374	7428	7456	7499	7425	7019	7177	7358	7285	7404	7268	7107	7203	7523	7449	7615	7439	7423	7291	7567	7459	7776	7623	7659	7743	7796	8113	8530	8501	8497	9056	9222	9042	10504	10304	10642	7384	7455	7508	7300	7595	7239	7171	7259	7229	7210	7575	7492	17640	17416	17425	17752	17385	17217	16720	17543	17157	17655	17866	17479	18399	17424	16850	17183	16919	17294
0.044444	7026	6735	6998	6982	6928	7194	7066	6953	7068	6901	6929	6890	7115	6991	6966	7198	7367	7337	7595	7438	7637	7841	7709	8427	8123	8228	8483	7277	7197	7335	7083	7260	7183	7499	7426	7167	6849	7004	7209	7374	7381	7083	7117	7325	7454	7482	7320	7405	7151	7326	7494	7600	7567	7644	7720	7777	8079	8305	8583	8329	8794	9173	8905	10493	10269	10528	7173	7214	7403	7308	7539	7511	7044	7424	7327	7170	7200	7473	17828	17809	17413	17562	17758	17190	17004	17541	17540	17513	18017	18081	18665	17528	17032	17382	17037	17067
0.088889	6887	6877	7024	7082	7042	7232	7040	6980	7036	7036	7113	6718	6783	6959	6957	7310	7338	7408	7556	7363	7424	7876	7786	8396	8025	8197	8135	7395	7248	7242	7404	7392	7407	7417	7382	7051	6867	7088	7152	7414	7272	6959	7117	7426	7442	7413	7361	7327	7155	7392	7348	7622	7573	7581	7655	7598	8057	8524	8536	8428	8742	9036	8884	10299	10055	10436	7432	7297	7626	7186	7516	7143	7060	7291	7182	7125	7483	7376	17779	17728	17633	17836	17607	17438	16903	17561	17323	17858	18061	18237	18373	17710	17189	17647	16982	17309
0.133333	6849	6701	7186	7131	7055	7205	7099	6983	7023	6925	7022	6934	6709	6920	6894	7199	7361	7380	7552	7444	7449	7857	7691	8506	7966	8139	8302	7348	7282	7207	7353	7306	7285	7495	7292	7084	6858	7243	7275	7368	7278	7104	7010	7281	7494	7580	7537	7290	7225	7259	7373	7555	7609	7507	7619	7727	8018	8363	8574	8404	8632	9009	8796	10194	9964	10327	7231	7442	7336	7393	7553	7365	6922	7138	7252	7016	7412	7432	17960	17949	17913	18248	17983	17816	17031	17754	17724	17848	18074	18399	18594	17854	17379	17696	17182	17382
0.177778	6799	6842	7192	7005	7079	7242	7031	6904	6967	6840	7054	6822	6749	7017	6933	7221	7319	7231	7371	7437	7666	7635	7729	8603	8065	8307	8386	7286	7326	7287	7229	7289	7203	7369	7288	7176	6808	7101	7155	7540	7409	7029	7185	7321	7420	7517	7307	7327	7085	7314	7370	7547	7638	7635	7734	7983	8178	8306	8415	8234	8499	8997	8807	10140	10085	10247	7175	7566	7408	7142	7636	7359	7052	7240	7081	7057	7349	7263	18273	17977	17920	18176	18281	17709	17124	17854	17543	17705	18399	18146	18867	17910	17337	17760	17304	17259
0.222222	6793	6537	7040	6800	6989	7137	6867	7009	6975	6943	6988	6781	6682	6964	6961	7214	7242	7261	7547	7582	7554	7827	7624	8606	7902	8117	8169	7234	7238	7160	7429	7340	7411	7448	7371	7047	6972	7060	7371	7439	7271	7285	7255	7608	7544	7517	7627	7349	6986	7350	7450	7553	7597	7663	7817	7856	7954	8461	8496	8306	8542	9007	8787	9985	10045	10252	7182	7401	7513	7328	7604	7377	6983	7236	7172	7031	7236	7143	18380	17908	17858	18269	18015	17653	17027	17884	17705	17913	18213	18252	18869	18103	17387	17728	17497	17163
0.266667	6764	6781	7062	6934	6917	7161	6870	6934	6957	6856	7103	6911	6818	6872	6932	7085	7322	7250	7625	7258	7615	7788	7789	8787	7837	7911	8157	7229	7138	7182	7334	7379	7206	7453	7284	7166	6970	6944	7012	7414	7214	7211	7204	7564	7464	7656	7428	7291	6907	7150	7414	7466	7671	7367	7860	7843	8103	8532	8526	8468	8474	8810	8753	10171	10132	10026	7150	7268	7428	7433	7821	7518	6886	7077	7142	6924	7139	7253	18403	18048	18183	18294	18178	17817	16963	18137	17708	17849	18181	18165	18969	18153	17693	17717	17350	17232
0.311111	6883	6750	7043	6890	7107	7091	6994	6902	7036	7071	7205	6948	6809	6822	7032	7078	7269	7128	7324	7321	7590	7696	7743	8736	7928	8049	8141	7298	7224	7227	7168	7227	7236	7658	7530	7204	6997	6967	7160	7379	7318	7128	7072	7404	7499	7578	7477	7323	7174	7075	7392	7532	7605	7636	7667	7867	7906	8459	8441	8351	8571	8723	8755	10094	10004	10098	7130	7388	7552	7468	7767	7524	7017	7264	7322	6954	7132	7213	18539	18278	18267	18431	18293	17799	17075	18072	17928	18126	18126	18532	19288	18372	17661	17906	17872	17407
0.355556	6820	6805	7065	7019	7022	6983	7051	6913	6949	7037	6988	6892	6806	6838	7014	7072	7233	7293	7510	7452	7554	8002	7798	8621	7860	8053	8263	7178	7257	7261	7381	7285	7368	7446	7380	7136	6886	7040	7164	7312	7254	7120	7291	7418	7510	7738	7629	7362	7034	7164	7459	7438	7725	7482	7679	7659	8110	8167	8447	8376	8645	9016	8951	10140	10183	10195	7223	7473	7476	7345	7785	7471	7101	7157	7150	7007	7285	7299	18602	18440	18140	18133	18396	17874	17175	18008	17765	18065	18377	18251	19092	17882	17715	18070	17517	17559
0.400000	6944	6791	7011	6848	7047	7036	7005	7040	6996	7091	7227	6908	6822	6883	6940	7267	7281	7233	7433	7454	7695	7912	7847	8666	8032	8081	8225	7109	7330	7193	7283	7266	7254	7376	7319	7193	6847	7025	7005	7479	7224	6970	7229	7410	7522	7701	7423	7237	7292	7260	7428	7433	7521	7430	7740	7864	8021	8445	8376	8411	8665	8840	8648	10086	9887	10323	7062	7467	7619	7527	7662	7448	7233	7266	7274	7199	7215	7312	18475	18188	18279	18326	18662	17732	17065	18083	17799	18318	18450	18289	19070	18246	17660	17880	17303	17269
