Time	C01	C02	C03	C04	C05	C06	C07	C08	D01	D02	D03	D04	D05	D06	D07	D08
0.000000	8197	3615	3514	3603	3577	8294	8634	3840	8399	3182	3507	3535	3511	8195	8095	3584
0.037778	8240	3544	3414	3513	3471	8376	8658	3736	8380	3191	3429	3513	3387	8267	8254	3453
0.075556	8280	3504	3358	3470	3411	8439	8753	3690	8063	3149	3385	3476	3434	8322	8392	3444
0.113333	8379	3492	3355	3379	3425	8468	8837	3699	8083	3159	3352	3418	3389	8437	8424	3388
0.151111	8392	3442	3368	3425	3458	8453	8873	3715	8088	3187	3294	3455	3392	8478	8489	3404
0.188889	8525	3499	3384	3476	3409	8596	8878	3724	8081	3226	3341	3422	3364	8539	8583	3428
0.226667	8492	3464	3311	3465	3418	8550	8971	3668	8102	3195	3329	3505	3359	8593	8620	3417
0.264444	8535	3471	3337	3460	3411	8652	9009	3699	8252	3150	3335	3439	3367	8588	8610	3410
0.302222	8593	3532	3338	3429	3428	8652	9065	3764	8222	3178	3307	3413	3389	8658	8596	3392
0.340000	8575	3468	3378	3482	3402	8672	9055	3707	8310	3199	3342	3462	3397	8692	8758	3419
0.377778	8642	3455	3354	3405	3473	8733	9127	3734	8324	3204	3353	3503	3360	8648	8717	3413
0.415556	8613	3597	3334	3438	3449	8658	9145	3683	8379	3200	3328	3448	3397	8647	8735	3394
0.453333	8675	3528	3358	3480	3470	8651	9178	3689	8419	3257	3433	3528	3441	8739	8854	3404
0.491111	8690	3558	3399	3528	3485	8767	9081	3736	8323	3262	3374	3484	3390	8705	8834	3442
0.528889	8656	3556	3456	3512	3459	8677	9173	3729	8272	3264	3391	3517	3397	8711	8779	3488
0.566667	8646	3497	3434	3515	3499	8743	9163	3703	8344	3273	3389	3482	3446	8791	8797	3510
0.604444	8733	3529	3463	3521	3496	8724	9180	3730	8344	3296	3477	3520	3431	8696	8791	3504
0.642222	8687	3533	3498	3530	3506	8772	9182	3735	8328	3268	3420	3547	3439	8761	8859	3483
0.680000	8650	3529	3413	3516	3463	8758	9210	3732	8445	3292	3442	3517	3483	8705	8785	3493
0.717778	8717	3523	3381	3476	3466	8767	9124	3731	8412	3286	3436	3510	3478	8686	8853	3483
0.755556	8690	3510	3412	3517	3475	8719	9176	3667	8398	3262	3410	3490	3453	8737	8899	3491
0.793333	8766	3502	3342	3444	3423	8725	9217	3669	8376	3260	3379	3432	3389	8735	8835	3479
0.831111	8714	3414	3344	3466	3434	8849	9221	3704	8403	3245	3325	3464	3396	8749	8841	3434
0.868889	8774	3472	3330	3413	3398	8753	9097	3633	8402	3256	3358	3444	3403	8783	8926	3406
0.906667	8735	3417	3330	3372	3396	8875	9254	3638	8398	3267	3365	3388	3373	8708	8920	3409
0.944444	8707	3393	3295	3367	3320	8818	9201	3626	8431	3264	3335	3391	3341	8730	8853	3383
0.982222	8783	3383	3261	3430	3380	8609	9163	3587	8376	3273	3354	3390	3356	8734	8879	3365
1.020000	8705	3370	3275	3377	3353	8740	9161	3608	8341	3276	3303	3357	3288	8819	8925	3391
1.057778	8696	3402	3313	3310	3359	8794	9137	3642	8300	3210	3274	3392	3310	8687	8824	3341
1.095556	8659	3385	3239	3405	3313	8670	9142	3598	8362	3237	3286	3354	3309	8723	8868	3323
1.133333	8719	3374	3255	3376	3374	8715	9108	3568	8353	3238	3282	3342	3296	8616	8897	3339
1.171111	8800	3364	3245	3371	3337	8781	9137	3617	8459	3188	3270	3321	3307	8731	8801	3368
1.208889	8663	3432	3217	3297	3296	8752	9151	3559	8399	3200	3278	3316	3302	8826	8811	3299
1.246667	8716	3373	3267	3365	3332	8697	9129	3561	8388	3210	3254	3318	3321	8714	8820	3327
1.284444	8799	3382	3270	3329	3299	8789	9077	3606	8453	3317	3268	3329	3279	8698	8925	3367
1.322222	8748	3436	3221	3343	3320	8812	9212	3531	8420	3228	3249	3302	3276	8778	8852	3368
1.360000	8689	3355	3222	3332	3312	8751	9237	3588	8333	3227	3224	3299	3217	8760	8886	3327
1.397778	8719	3384	3240	3313	3292	8786	9178	3618	8407	3224	3229	3339	3290	8797	8817	3323
1.435556	8704	3366	3234	3285	3300	8712	9146	3554	8453	3261	3215	3321	3282	8703	8840	3338
1.473333	8741	3335	3217	3349	3315	8730	9145	3598	8378	3189	3226	3369	3265	8757	8847	3319
1.511111	8677	3347	3280	3311	3293	8791	9170	3578	8499	3192	3233	3293	3314	8717	8837	3347
1.548889	8716	3386	3208	3305	3312	8710	9122	3550	8429	3219	3239	3337	3278	8730	8858	3328
1.586667	8718	3338	3226	3309	3290	8722	9151	3524	8443	3213	3204	3303	3265	8761	8846	3347
1.624444	8661	3384	3244	3299	3286	8822	9164	3558	8326	3183	3228	3291	3233	8703	8802	3289
1.662222	8765	3393	3219	3382	3277	8684	9110	3549	8359	3220	3280	3288	3255	8820	8860	3287
1.700000	8722	3364	3262	3266	3315	8677	9111	3575	8381	3212	3247	3306	3268	8818	8813	3321
1.737778	8791	3359	3190	3330	3310	8730	9105	3553	8410	3181	3251	3319	3223	8790	8829	3318
1.775556	8779	3367	3264	3314	3322	8680	9091	3576	8401	3178	3196	3295	3242	8691	8800	3333
1.813333	8705	3360	3230	3302	3289	8701	9185	3609	8302	3159	3287	3315	3301	8769	8837	3268
1.851111	8679	3320	3213	3365	3304	8714	9195	3577	8442	3189	3214	3283	3212	8713	8807	3340
1.888889	8681	3344	3259	3307	3304	8690	9178	3569	8383	3172	3257	3287	3244	8833	8784	3304
1.926667	8658	3355	3233	3352	3339	8642	9177	3618	8443	3194	3244	3227	3277	8776	8784	3296
1.964444	8693	3330	3284	3333	3264	8736	9133	3629	8452	3219	3240	3276	3236	8743	8796	3318
