Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03
0.000000	7885	8378	7984	6432	6721	7040	7134	7174	7504	7466	7755	7705	6240	5992	6251	12219	11948	12294	10077	10964	11600	8044	7998	7726	8016	7847	8348	7386	7340	7264	12690	12623	12747	10527	10424	10056	8797	9644	8847	8019	7569	8015	7500	7040	7556	14467	13752	14111	10100	10163	10178	8381	8219	8686	8326	8398	8669	8234	7292	7561	7159	7333	7187
0.016667	8165	8173	8318	6706	6895	6787	6933	7575	7500	7594	8120	7572	6092	6044	6176	11582	11698	12016	10028	10656	10412	8160	7854	7832	7919	7617	8311	7179	7148	7236	12407	12524	12158	10247	9822	9603	9321	9308	8847	7818	7676	8137	7248	7134	7492	14039	13324	13280	9796	9844	10132	8082	8093	8466	8288	8604	8558	8407	7532	7888	6831	7292	7071
0.033333	8068	8008	8141	6496	6710	6860	7124	7240	7312	7464	8032	7336	5825	6096	6138	11015	11548	11710	9909	10678	10036	7727	7805	7844	7774	7620	8220	7172	7106	7163	12005	12029	12105	10235	10056	9568	9444	9070	8884	8047	7707	7853	7042	7435	7232	13590	13120	13046	9492	9481	9458	8091	7904	8158	8214	8172	8617	8164	7300	7489	6764	7220	6876
0.050000	7320	7835	8019	6160	6702	6661	6987	7076	6863	7352	7905	7002	5792	6154	5923	10799	10993	11471	9780	10192	9719	7836	7909	7565	7526	7447	8450	7019	6912	7004	11858	11666	11837	10131	9654	9284	9436	9136	8993	7866	7408	7744	7143	7340	7173	13152	12561	12291	9015	9399	9635	7886	7956	8354	8212	8228	8671	8124	7335	7338	6680	7261	6900
0.066667	6996	7288	7600	5866	6299	6512	6768	6952	6804	7239	7915	6963	5664	5980	5666	10505	10914	11305	9448	10355	9879	7843	7884	7380	7428	7230	8369	7080	6936	6824	11549	11633	11564	9554	9497	9120	9607	8913	8639	7404	7434	7772	6986	7213	7372	12717	12100	11822	8878	9188	9405	7875	7681	7691	8035	8032	8269	7630	7104	7474	6528	6990	6990
0.083333	6860	7254	7300	5940	6340	6300	6511	6742	6736	7045	7640	7058	5629	5865	5783	10196	10584	10605	9459	9916	9189	7801	7621	7344	7164	7309	8138	7012	7017	6844	11102	11000	11072	9696	9114	8732	9544	8612	8442	7588	7318	7634	6984	7155	7192	12302	11850	11320	8565	8953	8971	7772	7557	7809	7678	7906	8220	7729	7225	7632	6567	7092	7008
0.100000	6849	7149	7292	5704	6076	6323	6564	6836	6905	7099	7776	7266	5725	5871	5685	9723	10076	10337	9087	9614	8966	7537	7628	7219	7479	7164	8074	6756	7002	6870	11155	10495	10778	9095	8859	8924	9666	8583	8455	7584	7448	7808	6831	7056	7200	11618	11298	11275	8329	8859	8733	7425	7376	7517	7920	7667	8146	7737	7330	7641	6973	6976	6879
0.116667	6775	6980	7210	5930	6128	6293	6773	6938	7161	7328	7919	7685	5900	5764	5760	9731	9773	10040	8738	9376	8838	7539	7471	7298	7221	7209	7876	7000	7090	6926	10620	10589	10647	9171	8627	8548	9522	8364	8353	7388	7389	7800	6586	7122	7254	11640	11205	10881	8215	8396	8643	7373	7227	7534	7636	7813	8114	7834	7368	7884	7232	7428	7116
0.133333	6789	6856	7200	5892	6268	6350	7145	7117	7346	7380	8231	7866	6256	6180	5913	9401	9616	9932	8676	9248	8432	7521	7460	7565	7350	7312	7832	7100	7013	7030	10558	10168	10300	9007	8476	8503	9583	8451	8196	7372	7485	7799	6820	7246	7344	11136	10676	10874	8184	8197	8308	7443	7259	7372	7831	7962	8383	7892	7680	8044	7384	8152	7712
0.150000	6845	7075	7452	6176	6423	6620	7068	7318	7574	7799	8343	8055	6384	6404	6277	9045	9663	9413	8560	9188	8508	7712	7712	7408	7296	7361	7982	7303	7126	7200	10415	9956	10118	8769	8552	8452	9467	8437	8279	7492	7507	7931	7035	7348	7624	11241	11002	10852	7910	8220	8511	7568	7304	7428	7999	8124	8526	8247	7900	8551	7879	8795	7903
0.166667	6831	7084	7480	6103	6376	6544	7235	7499	7653	8142	8733	8203	6580	6651	6780	9293	9516	9938	8664	9148	8473	7848	7698	7644	7452	7725	8196	7345	7489	7412	10268	9976	10032	9068	8411	8564	9595	8454	8549	7806	7704	7973	7408	7945	7946	11008	10695	10896	7974	8246	8366	7543	7488	7668	8044	8431	8814	8442	8290	8891	8374	9427	8293
0.183333	6842	6953	7517	6159	6526	6726	7471	7701	7581	8332	9096	8301	6848	6928	6875	9313	9427	9856	8861	9281	8276	8058	7975	7873	7969	7938	8264	7840	7871	7700	10375	10187	10357	9100	8580	8809	9845	8468	8657	7628	7781	8127	7430	8036	8102	10812	10808	10715	8004	8229	8279	7618	7505	7620	8313	8512	8741	8596	8628	9036	9124	10382	9016
0.200000	7013	7109	7412	6336	6457	6767	7509	7746	7933	8503	9191	8515	7192	7280	7058	9268	9376	9732	8737	9236	8457	8298	7847	8134	8357	8211	8802	8148	8060	7898	10136	9976	9961	9084	8474	8780	10328	8576	8556	7899	7870	8236	7972	8459	8682	10894	10932	11003	8300	8443	8652	7580	7946	7848	8387	8756	9348	8946	8845	9604	9686	12230	9375
0.216667	7125	7068	7504	6392	6566	6827	7668	7968	8118	8758	9274	8926	7421	7661	7522	9136	9248	9654	9058	9425	8540	8258	8042	8320	8608	8424	8719	8376	8528	8382	10243	10196	10160	9204	8752	8910	10565	8624	8677	8273	8145	8290	8275	8626	8784	10804	10733	10960	8310	8474	8598	7952	7953	7923	8456	8887	9195	9271	9384	10095	10940	14715	10024
