Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.000000	2672	2192	2148	2232	2214	2115	2319	2210	2320	2072	2054	2220	2321	2317	2056	2082	2124	2177	2414	2246	2209	2249	2460	2619	1819	2435	2405	2131	2309	2233	2208	2437	2035	1763	1822	1754	1933	1852	1952	1761	1908	1843	2247	1929	1794	1769	1900	1899	1908	1715	2001	1776	1897	2368	2109	1711	1870	1925	1932	1797	2022	1832	1931	1814	2207	2168
0.061111	2705	2105	2062	2128	2224	2006	2207	2113	2172	2052	2052	2159	2348	2234	2029	2011	2128	2119	2166	2150	2146	2214	2341	2582	1830	2352	2265	2087	2273	2137	2126	2259	2003	1776	1884	1784	1851	1866	1984	1746	1911	1833	2141	1949	1798	1770	1962	1922	1952	1808	1985	1811	1888	2324	2057	1716	1841	1943	1908	1792	1986	1830	1879	1803	2107	2181
0.122222	2590	2117	2007	2026	2226	2008	2179	2125	2222	2085	2048	2194	2312	2171	1993	1963	2061	2067	2231	2109	2174	2170	2342	2519	1792	2351	2236	1989	2202	2120	2071	2312	2081	1745	1871	1788	1834	1893	1974	1755	1894	1911	2208	2014	1723	1836	1983	1944	1970	1976	2133	1891	1939	2244	2122	1638	1828	2014	1989	1800	1978	1916	1973	1889	2135	2149
0.183333	2554	2078	1991	2047	2085	1977	2122	2043	2247	2058	2149	2144	2297	2176	2013	2004	2021	2093	2292	1952	2167	2196	2284	2533	1820	2341	2241	2088	2235	2171	2184	2463	2094	1749	1863	1852	1862	2009	2077	1783	1933	1937	2166	2011	1703	1805	2068	2058	2047	1930	2154	1916	1990	2305	2138	1712	1841	2092	2017	1859	2033	1979	2079	1989	2138	2184
0.244444	2520	2045	1975	2103	2099	1991	2163	2133	2279	2134	2141	2160	2328	2201	2022	1931	2040	2126	2234	2023	2191	2286	2233	2478	1825	2212	2221	2092	2207	2174	2134	2476	2183	1780	1904	1833	1926	1912	2104	1842	1958	1939	2193	2061	1791	1808	2100	2108	2141	1928	2231	1993	2056	2394	2176	1730	1949	2088	1998	1888	2081	1961	2158	1973	2085	2175
0.305556	2599	2086	2013	2071	2095	1997	2151	2086	2263	2114	2183	2142	2292	2168	2015	1891	2041	2146	2322	2000	2215	2280	2221	2504	1789	2187	2253	2089	2234	2193	2112	2299	2183	1780	1905	1960	2035	2024	2069	1894	1997	1932	2217	1939	1830	1879	2131	2153	2054	1906	2194	2011	2053	2377	2239	1744	1965	2296	2013	1984	2029	2022	2193	2097	2157	2212
0.366667	2548	2021	2060	2072	2111	2012	2214	2179	2272	2245	2224	2200	2271	2111	2010	1951	2043	2172	2307	2075	2256	2266	2267	2447	1839	2290	2230	2098	2259	2121	2088	2438	2245	1832	1914	1923	2061	2069	2184	1958	2043	1990	2179	2067	1823	1912	2082	2232	2096	1965	2271	2015	2105	2334	2208	1714	1955	2284	2103	2039	2038	2048	2213	2057	2192	2249
0.427778	2616	2048	2045	2078	2131	2014	2284	2172	2233	2214	2211	2172	2287	2136	2033	1987	2051	2198	2263	2019	2243	2257	2268	2441	1836	2305	2383	2138	2261	2137	2151	2466	2291	1843	1985	2046	2096	2144	2289	1996	2071	1997	2247	2114	1861	1855	2142	2275	2156	2050	2218	1999	2105	2446	2194	1720	2015	2373	2119	2066	2074	2108	2233	2122	2179	2274
0.488889	2594	2121	2050	2137	2157	2034	2229	2126	2316	2277	2238	2172	2313	2132	2046	1968	2054	2211	2300	2169	2250	2430	2224	2520	1816	2276	2357	2097	2229	2166	2308	2512	2294	1891	1983	2059	2130	2185	1922	1982	2097	1975	2239	2125	1768	1856	2206	2291	2210	2078	2226	2127	2086	2433	2198	1715	2006	2462	2123	2105	2053	2075	2171	2190	2180	2277
0.550000	2595	2041	2074	2142	2230	2038	2303	2358	2409	2356	2236	2173	2319	2134	2036	2082	2169	2246	2379	2172	2329	2398	2236	2495	1806	2333	2373	2202	2259	2164	2313	2539	2343	1895	2027	2121	2139	2227	1946	1989	2191	2020	2276	2087	1829	1828	2221	2320	2215	2054	2255	2118	2074	2401	2176	1689	2018	2462	2135	2144	2045	2146	2224	2146	2137	2275
