Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.000000	2116	1887	1973	1993	2149	1964	1994	1978	1948	2097	2290	1964	2069	1924	2031	2047	1935	2000	2099	2131	1964	2122	1896	2005	1982	1993	2096	1976	2144	2026	2133	1998	2358	2301	2046	1946	1983	2103	2022	1968	1914	1942	1948	2382	2462	2400	2013	2183	1942	1948	1910	2016	2242	2015	2644	2494	2055	2032	2041	2027	2282	2139	2075	2089	2146	2263
0.061111	2036	1856	1910	1939	2079	1946	1877	2003	1912	2143	2124	1854	2054	1918	2026	2032	1903	1965	2027	2123	1944	2119	1849	1971	1971	2026	2000	1952	2133	1970	2128	1949	2377	2262	1986	1954	1941	2109	1947	1927	1876	1896	1936	2388	2365	2314	1977	2146	1907	1984	1851	1927	2204	1914	2498	2485	2055	1968	1999	2016	2220	2060	2015	1975	2053	2388
0.122222	1980	1838	1907	1879	2036	2001	1842	1833	1847	2150	2209	1921	2043	1888	2036	1905	1837	1958	2078	1950	1899	2140	1821	1958	1955	1943	1937	1924	2102	1970	2082	1938	2286	2277	1989	1908	1932	2054	1881	1865	1887	1870	1923	2365	2394	2325	1931	2143	1822	1953	1862	1928	2097	1962	2655	2371	2036	1995	1964	2023	2212	2009	2016	1996	2071	2443
0.183333	1992	1855	1891	1891	2089	2023	1872	1845	1830	2133	2266	1831	2008	1840	2038	1935	1882	1943	2129	1993	1911	2112	1777	1989	1965	1944	1908	1852	2023	2011	2040	1925	2373	2219	1990	1915	1943	2031	1936	1962	1886	1865	1902	2289	2364	2242	1905	2050	1852	1963	1813	1951	2115	1995	2560	2272	1969	1970	1998	1953	2160	1993	1939	1991	2024	2401
0.244444	1989	1817	1925	1882	2051	2005	1883	1841	1872	2117	2305	1819	2017	1852	2047	1938	1879	1880	2134	1943	1904	2119	1745	1961	1944	1912	1915	1906	1973	1988	2063	1901	2203	2103	1982	1861	1906	2080	2009	1938	1881	1889	1952	2285	2331	2269	1907	2064	1844	1915	1821	2043	2086	2010	2674	2336	1992	1939	2002	1902	2262	2009	2023	1993	2044	2409
0.305556	1940	1832	1903	1901	2130	2027	1879	1905	1906	2128	2307	1796	2022	1853	2051	1950	1861	1877	2139	2004	1902	2067	1738	1997	1930	1991	1917	1854	2019	2004	2035	1910	2163	2079	2017	1973	1922	2054	1986	1996	1879	1936	1956	2307	2255	2224	1965	2025	1842	1964	1864	2022	2064	1990	2655	2344	2001	1912	2030	1955	2324	2093	2084	2103	1987	2395
0.366667	1952	1810	1910	1924	2091	2014	1960	1966	1943	2190	2224	1825	1961	1874	2054	1911	1875	1890	2183	2039	1907	2155	1729	1960	1920	1924	1901	1837	2119	2081	2105	1884	2239	2008	1925	1876	1950	2079	1983	1982	1914	1940	1950	2410	2349	2244	1936	2061	1863	1986	1835	1972	2130	1991	2723	2217	2002	1938	2015	1956	2325	2057	2105	2083	2028	2365
0.427778	1971	1785	1875	1929	2132	2008	1920	1939	1956	2227	2302	1802	2000	1852	2049	1882	1887	1872	2187	2051	1895	2129	1744	1953	1902	1918	1946	1827	2041	2015	2076	1931	2245	2005	1969	1925	1992	2128	2006	2005	1914	1896	1909	2333	2292	2265	1946	2045	1832	1994	1856	1965	2142	2023	2664	2193	1973	1895	2066	2034	2270	2101	2029	2083	1976	2402
0.488889	1908	1792	1926	1982	2067	2063	1934	1973	1939	2233	2356	1787	2022	1903	2055	1886	1969	1886	2182	2130	1905	2117	1712	1972	1928	1960	1889	1799	2069	2051	2086	1910	2323	2180	1993	1919	1967	2112	1980	2026	1986	1886	1917	2373	2268	2240	2042	2033	1864	1958	1849	1983	2163	2028	2739	2144	1971	1961	2067	2047	2298	2132	2070	2047	1981	2461
0.550000	1891	1820	1964	1960	2086	2086	1918	1950	1965	2230	2307	1840	2003	1879	2059	1922	2002	1982	2145	2158	1923	2134	1717	1971	1915	1965	1931	1800	2108	1999	2084	1928	2229	2200	2029	1932	1986	2192	2029	2003	1957	1893	1922	2375	2384	2229	1983	2081	1839	2034	1885	2002	2080	2018	2730	2192	1922	1992	2076	2078	2245	2108	2043	2074	2009	2468
0.611111	1890	1826	1929	1964	2143	2125	1950	1997	1990	2234	2338	1881	1988	1889	2092	1907	1980	1906	2147	2169	1932	2121	1755	1988	1904	1951	1931	1792	2121	2056	2050	1971	2309	2242	2043	1926	1963	2129	2042	2067	1965	1877	1892	2330	2244	2244	2002	2112	1821	1973	1950	2017	2085	2025	2723	2165	1949	1979	2076	2125	2241	2104	2007	2078	2019	2532
0.672222	1909	1854	1922	1953	2087	2169	1905	2030	1968	2213	2340	1834	1973	1912	2088	1972	1979	1982	2141	2210	1947	2153	1712	1989	1966	1981	1944	1809	2102	2031	2117	1995	2329	2195	2027	1967	2039	2145	2041	2053	1976	2035	1933	2443	2352	2268	1996	2149	1848	2006	1924	1976	2201	2056	2760	2267	1971	2043	2045	2105	2277	2107	2049	2066	2015	2458
0.733333	1915	1838	1971	1959	2062	2153	1950	1976	2019	2207	2385	1849	2024	1831	2147	1992	1974	1964	2122	2223	1999	2203	1721	1971	1937	1951	1926	1809	2087	2064	2122	1991	2335	2225	2042	1929	2026	2167	2021	2045	1993	2030	1923	2437	2220	2226	1954	2191	1845	2059	1944	2010	2170	2094	2779	2253	1954	2040	2062	2125	2250	2137	2081	2055	2036	2486
0.794444	1902	1847	1937	1938	2147	2176	1976	1958	2008	2198	2345	1897	2048	1884	2175	1944	1990	1972	2134	2192	1985	2148	1707	1943	1937	1978	1900	1836	2116	2042	2188	1981	2404	2200	1981	1991	2053	2196	2046	2052	1978	1998	1945	2464	2259	2196	1990	2194	1864	2038	1909	2070	2218	2061	2737	2273	1956	2021	2095	2125	2250	2171	2025	2050	2090	2502
0.855556	1906	1864	1918	1968	2050	2173	1942	1987	2017	2208	2445	1872	2018	1894	2176	2016	2030	1999	2122	2280	1980	2192	1723	1972	1939	1970	1938	1822	2099	2060	2191	1995	2428	2225	2049	1989	2047	2204	2072	2068	2004	2038	1943	2444	2366	2213	2015	2202	1877	2004	1884	2067	2190	2047	2759	2133	1961	2036	2038	2124	2259	2171	1999	2072	2085	2489
0.916667	1908	1845	1902	2019	2126	2159	1975	1987	2026	2254	2399	1833	2042	1847	2111	2031	2031	2046	2074	2217	2013	2173	1744	1991	1900	1928	1971	1833	2146	2053	2198	1984	2388	2206	2012	1998	2000	2180	2091	1994	2011	2030	1965	2476	2384	2227	2017	2245	1877	2065	1968	2078	2190	2065	2746	2154	1997	2049	2070	2146	2311	2191	2055	2110	2073	2446
0.977778	1894	1847	1898	2011	2137	2157	1972	2025	2048	2251	2448	1810	2101	1868	2148	2097	2043	2038	2200	2191	2015	2177	1785	2010	1931	1927	2006	1908	2108	2093	2106	2029	2341	2171	2079	1968	2048	2188	2062	2087	1995	2047	1998	2444	2391	2283	2045	2309	1891	2038	1972	2065	2217	2097	2768	2165	1974	2063	2091	2173	2296	2112	2044	2108	2061	2475
1.038889	1897	1828	1909	2027	2144	2162	1963	1990	2049	2222	2486	1859	2076	1870	2152	2059	2055	2054	2191	2226	1984	2247	1796	2050	1896	1953	2045	1942	2187	2068	2155	2046	2409	2167	2043	2005	1996	2231	2045	2071	1994	2075	2016	2455	2369	2232	2048	2278	1932	2055	1946	2118	2200	2121	2744	2195	1998	2048	2101	2101	2280	2199	2071	2119	2055	2511
1.100000	1912	1851	1938	1994	2112	2099	1975	2106	2038	2229	2413	1790	2074	1861	2176	2074	2000	2055	2165	2229	1977	2182	1773	1968	1962	1914	2074	1935	2157	2057	2088	2025	2441	2129	2066	1972	2000	2234	2072	2057	1987	2062	1941	2504	2311	2206	2015	2343	1927	2069	1985	2061	2244	2096	2694	2139	1982	2024	2115	2141	2327	2188	2083	2148	2084	2394
1.161111	1950	1813	1894	2046	2131	2138	1983	2100	2055	2262	2458	1867	2129	1890	2210	2058	2013	2059	2180	2226	1982	2227	1794	2006	1960	1943	2084	1982	2123	2083	2126	2013	2455	2151	2032	2037	1994	2261	2076	2064	1978	2076	1968	2544	2285	2208	2055	2307	1912	2063	1912	2107	2196	2095	2757	2153	1982	2074	2083	2184	2276	2157	2113	2168	2082	2522
1.222222	1897	1796	1883	2016	2098	2129	1977	2046	2051	2232	2447	1817	2075	1906	2231	2068	2041	2018	2186	2230	1994	2261	1745	1990	1963	1977	2133	1990	2131	2084	2205	2048	2468	2157	2048	1978	2043	2214	2112	2087	2004	2022	2013	2478	2313	2220	2094	2330	2054	2069	1937	2119	2221	2094	2809	2153	2007	2058	2110	2151	2268	2134	2059	2164	2084	2554
1.283333	1871	1777	1883	2026	2155	2154	1993	1999	2059	2235	2448	1865	2142	1878	2249	2013	2028	2039	2133	2292	2044	2255	1819	2019	1937	1953	2110	1959	2144	2055	2176	2036	2431	2185	2065	1983	2050	2243	2093	2090	2004	2090	1967	2535	2319	2230	2050	2311	2003	2062	2013	2094	2249	2121	2908	2139	2012	2052	2060	2166	2266	2129	2024	2119	2100	2626
1.344444	1945	1794	1892	1974	2085	2121	1928	2060	2071	2241	2461	1850	2117	1902	2226	1996	2025	2058	2119	2192	1980	2232	1763	2015	1985	1948	2132	1985	2165	2046	2222	2012	2443	2176	2047	1980	2053	2162	2087	2076	2005	2029	1957	2494	2312	2189	2079	2302	2049	2034	1976	2064	2274	2066	2839	2117	1993	2106	2068	2191	2280	2199	2044	2177	2081	2537
1.405556	1902	1827	1891	2018	2088	2170	2020	2032	2078	2261	2485	1822	2136	1934	2214	2012	2040	2031	2169	2203	1989	2257	1792	2054	1947	1961	2102	1999	2154	2057	2245	2077	2466	2192	2079	1977	2084	2308	2097	2086	2029	2067	1998	2462	2235	2194	2095	2330	2016	2112	1980	2105	2258	2129	2772	2126	1954	2007	2105	2143	2367	2191	2056	2200	2089	2540
1.466667	1901	1793	1885	2030	2079	2170	2023	2058	2191	2263	2496	1792	2108	1920	2215	2058	2061	2044	2201	2272	2051	2215	1778	2024	1982	1946	2130	1984	2175	2118	2177	2071	2492	2219	2089	1950	2052	2207	2051	2109	2021	2084	1917	2531	2282	2184	2024	2313	2067	2077	1965	2094	2195	2158	2755	2136	2014	2047	2074	2129	2349	2226	2060	2134	2126	2515
1.527778	1913	1812	1889	2015	2103	2163	1966	2013	2017	2290	2505	1799	2119	1902	2201	2088	2059	2044	2180	2188	2049	2215	1760	2043	1944	1908	2102	2010	2090	2125	2214	2033	2439	2312	2068	1997	2017	2254	2067	2095	2007	2053	1892	2620	2209	2184	2041	2344	2028	2054	1948	2127	2302	2148	2741	2101	1997	2089	2081	2184	2350	2225	2049	2179	2052	2428
1.588889	1885	1828	1895	2020	2062	2133	1914	2033	2077	2328	2447	1848	2121	1888	2138	2012	2061	2068	2098	2215	2025	2252	1754	2069	2019	1903	2125	1970	2102	2150	2166	2059	2445	2326	2102	1976	2061	2209	2012	2147	1985	2067	1964	2616	2195	2157	2117	2334	2029	2066	1954	2147	2230	2152	2690	2109	2007	2090	2102	2181	2351	2231	2126	2159	2092	2527
1.650000	1919	1810	1894	2002	2082	2157	1956	2009	2090	2309	2493	1826	2118	1877	2190	2046	2042	1989	2173	2279	1996	2231	1741	2067	1987	1906	2083	1991	2127	2149	2204	1993	2441	2285	2039	1989	2010	2258	2111	2123	2026	2057	1992	2522	2265	2182	2045	2317	2008	2116	1948	2142	2291	2132	2679	2084	2002	2073	2090	2179	2315	2274	2108	2218	2157	2474
1.711111	1927	1824	1892	1982	2125	2130	1938	2034	2157	2369	2562	1829	2114	1875	2151	2042	1998	2013	2171	2246	1997	2311	1766	2063	1998	1923	2170	1946	2139	2109	2158	1996	2410	2233	2038	1980	2015	2200	2118	2085	2040	2069	2053	2502	2209	2123	2081	2309	2017	2067	1964	2143	2239	2091	2703	2067	2014	2086	2068	2249	2317	2219	2083	2207	2133	2509
1.772222	1936	1811	1873	1958	2075	2107	2042	2094	2308	2330	2469	1818	2133	1878	2144	2051	2061	1990	2128	2171	2043	2266	1748	1992	1961	1892	2161	1964	2120	2134	2211	2051	2488	2249	2077	2007	1951	2261	2080	2099	2039	2032	1889	2546	2216	2133	2088	2289	2036	2069	1992	2122	2233	2123	2725	2108	2029	2063	2081	2207	2319	2251	2117	2189	2116	2467
1.833333	1951	1796	1893	2008	2099	2106	2208	2140	2177	2379	2436	1814	2084	1879	2143	2065	2028	1981	2113	2196	2075	2257	1771	2031	1963	1904	2126	1970	2143	2129	2181	2154	2526	2213	2079	1984	1992	2304	2102	2060	2009	2056	1948	2607	2203	2191	2026	2314	2044	2107	1988	2102	2244	2294	2705	2101	2067	2102	2058	2196	2339	2213	2166	2191	2110	2359
1.894444	1921	1760	1901	2035	2052	2141	2029	2105	2116	2303	2459	1819	2078	1884	2127	2059	2093	1974	2140	2264	2027	2220	1770	2020	1969	1947	2157	1974	2096	2132	2217	2111	2482	2174	2126	1994	2062	2251	2136	2109	2041	2105	1893	2566	2207	2117	2077	2349	2046	2081	1925	2188	2287	2217	2661	2117	2064	2065	2121	2224	2322	2267	2175	2193	2106	2457
1.955556	1924	1796	1885	2055	2040	2120	2207	2120	2216	2300	2522	1797	2089	1849	2153	2039	2013	2104	2139	2255	2052	2215	1743	2030	1920	1906	2151	1963	2140	2079	2254	2044	2456	2156	2089	1945	2036	2228	2070	2091	1994	2125	1935	2515	2204	2131	2082	2350	2028	2087	1979	2129	2191	2140	2606	2081	2064	2054	2104	2210	2341	2233	2169	2162	2143	2588
2.016667	1964	1803	1864	2062	2061	2049	1928	2145	2198	2280	2600	1816	2089	1862	2117	2050	2032	1961	2210	2217	2016	2301	1750	2045	1956	1901	2087	1899	2123	2104	2188	2020	2471	2169	2138	1984	2013	2200	2085	2114	2021	2059	1876	2549	2263	2172	2074	2334	2000	2012	1983	2124	2283	2211	2574	2098	2077	2126	2109	2235	2340	2241	2178	2193	2101	2533
2.077778	1947	1763	1824	2011	2101	2171	1987	2166	2277	2393	2549	1821	2064	1817	2129	2061	2028	2127	2243	2244	2039	2310	1698	2073	1938	1890	2123	1885	2339	2214	2243	2046	2468	2183	2109	1971	2027	2245	2067	2065	2092	2057	1986	2494	2253	2121	2080	2362	2006	2008	2024	2098	2216	2123	2730	2094	2072	2106	2077	2220	2373	2250	2169	2175	2110	2560
2.138889	1929	1796	1829	2045	2041	2041	1939	2206	2264	2338	2574	1794	2073	1840	2139	2073	2062	2021	2091	2236	2121	2219	1737	2078	1959	1911	2087	1967	2166	2167	2183	1993	2449	2137	2080	2017	2032	2207	2087	2104	2018	2144	1859	2539	2245	2261	2051	2348	2067	2045	1990	2136	2271	2120	2764	2091	2067	2067	2139	2193	2382	2252	2146	2222	2148	2598
