Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.000000	5646	5659	5032	5355	5175	5744	5733	5411	5835	5486	5342	5021	5281	5050	5242	5369	5046	5698	6495	5601	5769	5375	5357	5181	5188	5087	5132	5505	5326	6178	5241	5385	5165	20044	13028	9521	7518	7378	6836	5955	5889	5669	5290	5092	19025	12489	9338	8094	6982	6301	6283	5881	5480	5455	5006	17228	11635	8805	7339	7111	6621	6484	5687	5306	5449	5568
0.061111	5844	5856	4818	5237	5269	5621	5759	5237	5737	5042	5153	4998	5584	4934	5451	5409	4981	5260	6327	5451	5632	5505	5424	5146	5179	4971	5302	5233	5262	5930	5292	5232	5006	18431	11941	9177	6944	7298	6745	5749	5636	5329	5261	5244	17659	11484	8858	7510	6885	6216	6096	5722	5353	5244	4852	16005	10932	8136	7066	6889	6056	6013	5395	5135	5654	5275
0.122222	5611	5839	4815	5172	5149	5406	5670	5101	5406	5146	5208	4879	5476	4794	5416	5266	4915	5202	6223	5505	5620	5454	5439	5088	4963	4880	5300	5181	5386	5707	5021	5050	5008	17003	11602	8464	6840	7057	6414	5634	5591	5232	5469	5102	16332	10881	8583	7378	6755	5925	5956	5465	5290	5292	4867	14738	10329	7907	6828	6713	6046	5906	5386	4953	5199	5213
0.183333	5593	5739	4710	5152	5058	5429	5688	5003	5367	5151	5156	4705	5330	4801	5118	5238	4880	5209	6201	5479	5501	5446	5416	5113	5011	4921	5316	5104	5357	5643	5040	5216	5064	16298	11049	8258	6551	6867	6269	5574	5381	5278	5291	5072	15890	10487	8129	7286	6689	5954	5849	5470	5398	5421	5071	14214	9511	7741	6660	6506	6163	5944	5343	4956	5313	5300
0.244444	5693	5482	4709	5157	5135	5457	5555	4983	5401	4923	5444	4734	5422	4843	5073	5231	4923	4962	6044	5506	5512	5761	5251	5201	5114	4744	5285	5113	5521	5711	4846	5250	5166	15937	10866	8126	6610	6870	6312	5757	5494	5314	5382	5179	15113	10120	7997	7117	6425	5758	5813	5358	5391	5206	4904	14098	9285	7571	6695	6446	5996	5849	5336	4864	5464	5477
0.305556	5624	5522	4725	5113	5066	5479	5544	4902	5341	5086	5500	4857	5292	4833	5228	5288	4893	4911	6147	5543	5502	5793	5353	5163	5052	4841	5352	5111	5429	5807	5052	5145	5106	15433	10314	7884	6578	6751	6400	5615	5395	5158	5538	5089	14850	9864	7616	7013	6320	5740	5861	5437	5197	5494	4975	13629	9201	7325	6552	6407	5975	5852	5276	4985	5348	5342
0.366667	5455	5406	4826	5004	5111	5445	5665	4905	5313	5213	5601	4822	5233	4915	5159	5247	5072	5125	6024	5548	5447	5837	5328	5008	5030	4820	5351	5004	5423	5663	4961	5230	4968	15069	10001	7869	6476	6657	6220	5506	5327	5099	5489	5203	14557	9715	7528	6960	6300	5806	5570	5189	5233	5422	4910	13390	9013	7232	6549	6299	5796	5777	5126	4879	5484	5328
0.427778	5740	5354	4768	5016	5120	5491	5754	4950	5366	5111	5553	4730	5293	4796	5042	5175	4868	5138	5955	5528	5649	5586	5252	5125	5106	4784	5204	4845	5374	5758	4956	5181	5044	15142	9996	7656	6277	6510	6061	5535	5223	5181	5571	5180	14299	9578	7507	6766	6367	5664	5619	5221	5119	5387	4812	13123	8799	7202	6446	6215	5797	5863	5095	5060	5561	5253
0.488889	5665	5504	4763	5052	5066	5641	5694	5097	5401	5248	5572	4796	5304	4893	5070	5277	4895	5182	6028	5782	5773	5862	5037	5308	5091	4805	5283	4881	5466	5841	5020	5238	5167	15243	9733	7539	6290	6537	5991	5608	5337	5169	5453	5180	14193	9483	7489	6749	6232	5661	5622	5361	5100	5642	4957	13080	9013	7198	6386	6243	5973	5783	5194	4887	5489	5229
0.550000	5727	5663	4868	5159	5082	5509	5907	5022	5717	5297	5704	4801	5281	4629	5131	5386	4825	4772	6160	5630	5765	6084	5059	5340	5081	4799	5157	4871	5370	6135	4978	5270	5154	15125	9916	7554	6335	6576	6183	5515	5423	5315	5691	5367	14205	9368	7387	6862	6269	5611	5804	5209	5330	5571	4922	13151	8934	7256	6390	6361	5878	5955	5229	5024	5455	5417
