Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11
0.000000	11446	13747	14787	15345	14514	15118	12840	12927	12409	13996	14116	13779	12050	12294	11833	11877	12370	11917	10075	10322	9930	11489	16028	10156	8750	10047	9811	9680	9843	10100	7822	9315	8573	9060	8905	9228	8341	8592	8734	8599	8533	8543	7974	8249	8305	8714	8345	8207	8014	8130	8102	8067	8164	8007	7926	7817	7851	7973	7961	7837
0.055556	10443	12350	13309	13711	12828	13542	11774	11712	11392	12452	12783	12641	11030	11224	10942	10954	11546	10852	9374	9480	9454	10763	14936	9503	8522	9345	9073	9178	9283	9485	7826	8735	8096	8557	8262	8788	7921	8193	8347	8157	8151	8221	7569	7850	7933	8369	7900	7914	7607	7814	7838	7731	7817	7699	7666	7434	7543	7538	7740	7497
0.111111	9976	11654	12554	12711	12155	12699	11138	11000	10645	11783	12215	11868	10611	10720	10510	10329	10987	10368	8882	9233	9056	10397	13795	9095	8217	8901	8747	8788	8912	9156	7838	8409	7849	8276	8187	8467	7612	7891	8010	7823	7935	8008	7443	7819	7665	8270	7571	7603	7437	7575	7468	7508	7570	7427	7388	7324	7321	7358	7674	7263
0.166667	9703	11311	12107	12597	11829	12326	10909	10905	10430	11231	11840	11477	10381	10560	10142	10104	10614	10164	8686	9031	8816	9954	13498	8939	8069	8992	8583	8660	8867	9004	7885	8271	7689	8117	7973	8219	7509	7864	7814	7689	7754	7708	7264	7575	7587	7930	7596	7522	7324	7524	7396	7310	7408	7369	7257	7266	7218	7161	7491	7270
0.222222	9624	11083	11914	12287	11850	12073	10421	10738	10167	11144	11713	11266	10144	10573	10046	9829	10449	9907	8538	8935	8696	9712	13490	8814	7893	8834	8379	8469	8721	8904	7736	8194	7591	8051	7872	8187	7422	7873	7617	7623	7739	7584	7189	7499	7430	7804	7501	7379	7186	7334	7239	7364	7519	7166	7265	7226	7195	7194	7380	7210
0.277778	9633	10986	11763	12185	11607	11760	10400	10600	10062	11092	11653	11113	9977	10394	9886	9713	10287	9767	8502	8841	8509	9670	13198	8704	8078	8800	8326	8281	8660	8773	7693	8075	7603	7956	7847	7997	7416	7662	7619	7727	7688	7654	6992	7501	7393	7764	7433	7361	7187	7319	7255	7285	7373	7140	7413	7235	7015	7134	7416	7202
0.333333	9651	11090	11818	12132	11545	12048	10409	10481	9941	11040	11619	10954	9870	10218	9753	9546	10219	9829	8551	8790	8787	9844	13191	8546	8025	8676	8445	8372	8561	8706	7793	8142	7572	7844	7923	8108	7415	7657	7857	7700	7722	7632	7055	7402	7333	7806	7341	7512	7260	7420	7290	7395	7369	7304	7321	7201	7143	7093	7374	7150
0.388889	9753	11086	11794	12143	11688	11907	10388	10597	10055	11036	11640	11102	9816	10074	9837	9588	10313	9800	8514	8687	8671	9718	12989	8690	7940	8661	8445	8323	8547	8726	7741	8131	7506	7800	7803	8076	7446	7716	7716	7668	7586	7633	6993	7475	7398	7748	7325	7374	7175	7366	7344	7372	7338	7164	7417	7159	7095	7023	7359	7253
0.444444	9824	11195	11796	12219	11594	11979	10417	10431	10141	10958	11463	11113	10017	10098	9791	9746	10225	9719	8493	8623	8806	9661	13043	8694	7984	8543	8336	8289	8616	8711	7734	8096	7579	7818	7770	7944	7334	7670	7758	7628	7702	7577	7043	7477	7349	7636	7351	7399	7231	7331	7273	7419	7262	7218	7367	7186	7079	7225	7395	7182
0.500000	9735	11066	12045	12221	11761	12034	10470	10530	10132	11131	11439	11037	9943	10153	9820	9672	10210	9533	8385	8729	8686	9724	13078	8672	7906	8679	8311	8408	8642	8683	7745	8087	7562	7788	7920	8001	7379	7622	7769	7731	7673	7547	7047	7368	7323	7796	7305	7348	7133	7227	7258	7243	7244	7187	7282	7200	7033	7217	7394	7240
