Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.000000	10814	11295	10747	11439	10700	10543	10828	10382	10596	9373	6664	11597	10692	10420	10805	10908	10334	10751	10474	10656	9911	7744	10634	10830	10512	10689	10918	10466	11009	10397	10584	9519	7498	9050	10668	10581	10402	10598	10552	11072	10450	10160	9555	7601	10224	10049	10867	10713	10814	10879	10663	10237	10151	9293	7129
0.051389	10395	11097	10531	11697	10637	10748	10924	10620	10294	9544	7323	10450	10846	10658	11207	10782	10541	11339	10871	10802	10192	7806	10487	10615	10813	10867	11274	11127	10964	10850	10379	9916	7564	8904	10672	10826	10646	10737	10770	11647	10472	10281	10029	7621	9923	10077	11110	11054	11273	11119	11199	10859	10716	9692	7514
0.102778	10770	11318	10589	11729	10938	10599	11120	11024	10306	9828	7179	10083	10490	10418	11129	11116	10363	10861	10176	10843	10599	7551	10485	10596	10413	11149	10942	10761	10626	10822	10653	9890	7419	8816	10390	10559	10394	10907	10578	11346	10220	10181	9931	7594	9696	10021	10741	11198	11270	10769	11082	10704	10431	9622	7101
0.154167	10382	10989	10620	11353	10688	10653	10728	10793	10175	10064	7268	9803	10422	10467	10999	10709	10009	10705	10467	10912	10615	7825	10375	10010	10408	11012	10660	10894	10678	10571	10675	9554	7500	8545	10155	10551	10772	10968	10359	11364	10141	10327	10011	7232	9410	9686	10740	10851	10886	11170	11052	10550	10327	9841	7201
0.205556	10276	10957	10586	11310	10729	10535	11044	11240	10407	10223	7394	9904	10312	10602	10902	10566	10350	11114	10723	11156	10836	7586	10177	10158	10381	11093	10843	10798	10542	10935	10549	9926	7636	8645	10155	10572	10684	10917	10595	11251	10236	10605	10015	7289	9412	9966	10898	11058	11005	11001	11049	10902	10420	9695	7081
0.256944	10123	11019	10878	11425	10896	11067	11255	11496	10627	10633	7348	10112	10514	10852	11106	10556	10524	11208	10702	11083	10931	7602	10355	9986	10391	11222	10654	10783	10680	10800	10760	9816	7760	8710	10235	10678	10535	10936	10615	11409	10542	10479	9972	7229	9389	9784	11310	11105	11364	11285	11414	10731	10596	10052	7298
0.308333	10633	11002	10821	11570	11000	11110	11177	11537	10881	10782	7416	9850	10337	11063	10833	10681	10378	11373	10857	11022	11264	7758	10223	9999	10566	11370	10922	10792	10805	11182	10924	9680	7651	8571	10360	10981	11086	10746	10722	11235	10160	10818	9985	7384	9214	9880	11075	10994	11411	11408	11283	10728	10569	9998	7352
0.359722	10572	11154	10886	11535	11255	10796	10964	11738	11026	11298	7494	10221	10545	11125	11321	10778	10625	11408	10941	11509	11276	7943	10364	10135	10635	11416	11114	10895	10971	11301	11505	10095	7428	9199	10302	10880	11220	10784	10707	10848	10558	10983	10328	7302	9162	9815	11394	11163	11389	11441	11260	10732	10816	10308	7331
0.411111	11000	11107	11082	11625	11455	10901	11054	11590	11130	11320	7426	10082	10390	11228	11011	10728	10719	11545	11132	11712	11638	7881	10558	10526	10859	11418	11218	10946	10900	11131	11826	10395	7451	9854	10306	10979	10765	11032	11001	11063	10628	11320	10745	7531	9415	10281	10955	11479	11531	11753	11582	11013	11381	10329	7259
0.462500	10758	11081	10920	11357	11511	11386	11326	11679	11861	11483	7579	10151	10667	11398	11062	10791	11361	11714	11166	12154	11518	8016	10473	10619	11001	11398	11523	11171	11214	11394	11688	10508	7296	9691	10241	11034	10977	10792	11299	11489	11087	11589	10923	7459	9470	10220	11273	11367	11649	11962	11921	11169	11492	10705	7586
0.513889	10596	11167	11189	11584	11558	11425	11665	12247	12072	11929	7650	10432	10532	11126	11330	11320	11367	12156	11723	11843	12142	8268	10461	10595	10860	11512	11761	11184	11384	11657	11338	10493	7283	9919	10426	11296	11138	11166	11423	11153	11389	11210	10855	7491	9417	10042	11412	11363	11523	12128	12090	11102	11161	10905	7339
0.565278	10692	11520	11222	11963	11838	11890	12294	12516	12394	12379	7851	10356	10503	11380	11461	11054	12081	12235	12240	12384	12190	8344	10377	10587	10988	11568	12069	11743	11561	11969	11897	10807	7402	9805	10385	11508	11027	11168	11700	11557	10938	11862	11190	7451	9419	10250	11499	11684	11831	12326	12417	11389	12158	11115	7581
0.616667	10773	11358	11266	11573	12032	12262	12061	12522	12602	12492	7768	9890	10447	11426	11517	11446	12127	12168	12401	12626	12577	8259	10439	10860	11621	11739	11944	12128	11591	11796	12150	11130	7674	9660	10500	11614	11270	11001	11725	11418	11257	11803	11441	7541	9344	10327	11424	11991	11893	12694	12398	11446	12550	11649	7425
0.668056	10890	11440	11352	11928	12246	12762	12428	12708	13163	13124	7785	10047	10435	11638	11390	11354	12251	12752	12997	12814	12376	8274	10616	10769	11436	11741	11967	12082	12079	12396	12048	11093	7328	9742	10476	11794	11193	11222	11958	12445	11577	12208	11577	7707	9544	10346	11369	11782	12133	12485	12931	11644	12523	11296	7295
0.719444	10751	11207	11324	11778	12354	12916	12300	12895	13073	12348	7828	10304	10660	11660	11715	11385	12708	12842	12803	12422	12563	8449	10681	10773	11246	11846	12425	12510	11800	12729	12436	11466	7568	9890	10585	11822	11431	11282	12458	12719	11710	11744	11780	7396	9467	10082	11545	12023	12263	12751	12524	11569	12622	11844	7224
0.770833	10746	11488	11163	11838	12624	12944	12803	13497	13729	12949	7770	10107	10605	11510	11808	11373	12332	12765	13430	13159	12591	8580	10656	10870	11042	12218	12904	12543	12017	12795	13040	11519	7766	9804	10653	11711	11987	11147	12459	13174	11533	12337	11706	7637	9560	10346	11556	12218	12637	12908	12388	11881	12671	11940	7583
0.822222	10801	11383	11364	12147	12674	13651	12764	13069	14035	13045	7960	9765	10577	11394	11895	11628	13154	13102	13958	13456	12934	8571	10896	11003	11091	12559	13053	12911	11701	12974	12742	11743	7772	9910	10650	11936	11817	11278	12646	13389	12243	12269	12048	7679	9537	10295	11975	12533	12966	13399	12580	11845	13109	12210	7549
0.873611	10808	11547	11342	12411	12701	13837	13267	13447	14163	12993	7990	9839	10678	11418	11977	11977	14164	13071	14049	13416	13207	8549	10957	10809	11268	12583	13400	12893	13031	13084	13180	11657	7686	9688	10789	11827	12581	11335	12853	13330	11990	12760	12102	7862	9597	10389	12032	12433	13097	13297	12964	11958	13327	11921	7600
0.925000	10752	11688	11498	12246	12724	14361	13470	14049	14176	13167	7907	9780	10379	11476	12153	11713	14199	13037	13445	13711	13547	8871	10851	10910	11584	12420	13526	13809	13507	13212	12958	11953	7623	9639	10879	12040	12140	11352	13019	13992	12372	12966	12728	7763	9672	10480	11905	12523	12967	13599	12987	12275	13570	12027	7534
0.976389	10826	11475	11249	12599	12807	14513	13753	13834	14120	12899	7935	10068	10575	11658	12410	12067	14499	13543	14080	13639	13172	8861	10779	11079	11626	12882	13887	14091	14069	13732	13013	11771	7790	9657	10874	11745	12457	11312	13109	13688	12157	13188	12987	7735	9579	10375	11944	12489	12916	13489	13232	12501	13784	12349	7592
1.027778	11031	11600	11271	13090	13020	14933	13428	14315	14756	13397	7893	9711	10644	11690	12334	12320	14643	13223	14464	14685	13848	8795	10755	11127	11821	12948	13754	14379	14384	13756	13668	11982	7779	9882	11154	12032	12467	11364	13311	14461	12517	13357	13191	7635	9609	10017	11690	12652	13081	13453	13069	12838	13842	12557	7696
1.079167	10900	11536	11226	12967	13478	14397	13996	14570	14183	13773	7942	9622	10677	11760	12656	12339	15090	14878	14539	13630	12727	8740	10879	11046	11814	12854	14376	14451	14220	13893	13882	12373	7759	9983	10919	11694	12711	11570	13017	14976	12811	13850	13280	7615	9496	10509	11630	12382	13041	13995	13230	12392	14396	12798	7628
1.130556	10877	11618	11454	12886	13197	15119	14382	14009	14655	13237	7996	10028	10684	11830	12776	12117	15218	15200	14711	14806	14092	8768	10785	10997	11755	13533	14415	14828	14437	13573	13568	12421	7845	9800	11001	11940	12596	11332	13651	15348	12708	13529	13340	7858	9461	10298	11779	12876	13212	14353	13689	12808	13929	13335	7713
1.181944	10754	11610	11580	12881	13762	15100	14000	13925	14843	13226	8251	9847	10719	11786	12918	12100	15134	15263	15057	15343	12943	8805	10911	11195	11855	13344	14533	15123	14684	13793	12950	12313	8026	10017	11118	11922	12664	11593	13364	15743	13451	13984	13163	7685	9460	10164	12365	12793	13439	14247	13795	13406	14121	13360	7398
1.233333	11028	11701	11412	13386	13328	15385	14387	14365	14587	13316	8257	9902	10600	11966	13070	12143	15110	14996	15102	14622	13594	8832	10731	11070	11657	13503	14667	14903	15129	13644	13718	12620	7998	9787	11134	11919	12267	11621	13840	15234	13217	14148	13606	7823	9804	10526	12621	12698	13371	14238	13596	12655	13895	12773	7530
1.284722	10990	11599	11803	13770	13543	15530	14388	14168	15295	13912	8187	9705	10558	12039	13452	12699	15278	15340	15390	14345	14437	9079	10912	10924	11970	13776	14960	15242	15268	14200	13787	13209	8106	9606	11075	12407	12703	11516	13696	15320	13256	14799	13724	7752	9646	10281	12193	12899	13397	14708	14087	13646	14994	13799	7667
1.336111	10940	11759	11713	14278	13587	16048	14709	14034	14988	13802	8381	9774	10781	11747	13428	12505	15917	16132	15122	15548	14277	8884	10885	11037	12181	13727	15176	15052	15449	15066	14694	13355	8109	9837	11145	12456	13107	11474	13463	15935	13847	15050	13962	7880	9610	10156	12226	12802	13589	14708	13830	14330	14260	13932	7811
