Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.000000	4025	4310	4279	4333	4137	4533	4293	4266	4206	3837	6416	4591	4490	4148	4500	4200	4568	4204	4174	4168	4005	3389	4402	4293	4039	4249	4084	4566	4187	4162	4096	3932	5948	4345	4277	4354	4221	4165	4197	4070	4158	3988	3841	3586	3955	4204	4375	4372	4265	4296	4237	4090	3997	3590	3471	4349	4300	4229	4344	4240	4226	4105	4152	3916	3558	3705
0.061111	3944	4137	4290	4194	4181	4493	4063	4160	4119	3816	6523	4516	4302	4014	4400	4198	4427	4219	4120	4056	4106	3367	4192	4012	3860	4221	3974	4305	4066	4067	4114	3955	5912	4321	4275	4428	4327	4102	3967	4128	4084	3965	3968	3508	3902	4315	4403	4294	4324	4304	4261	3999	3945	3752	3417	4072	4195	4041	4472	4142	3983	4041	4198	4011	3444	3638
0.122222	3839	4193	4176	4150	4113	4458	3927	4191	4158	3881	5948	4589	4216	3932	4308	4047	4313	4139	4113	4149	4168	3434	4185	4034	3830	4280	3918	4328	4114	3868	4085	3962	5791	4300	4224	4321	4439	3954	3980	4069	4062	3924	4052	3493	3905	4305	4315	4340	4308	4258	4183	3916	3801	3742	3474	4066	4163	4105	4345	4204	3962	4112	4060	3997	3518	3601
0.183333	3943	4132	4221	4163	4077	4393	4008	4193	4147	3867	6074	4574	4227	3909	4303	4057	4254	4110	4084	4217	4150	3358	4184	3973	3833	4201	3963	4223	4046	3925	4196	3995	5756	4263	4208	4211	4265	4066	3945	3958	4006	3970	3973	3589	3885	4276	4195	4261	4251	4186	4156	3845	3913	3747	3659	3976	4155	4067	4631	4076	3940	4159	4140	4019	3516	3718
0.244444	3912	4080	4294	4120	4080	4387	3995	4180	4310	3994	6032	4617	4280	3849	4220	4070	4362	4110	4195	4304	4193	3430	4115	3971	3826	4221	3926	4058	4057	3989	4110	4081	5611	4324	4203	4236	4282	3976	3969	4004	4061	3972	4124	3563	3788	4255	4191	4270	4137	4121	4241	3876	4032	3729	3572	3979	4098	4156	4383	4109	4000	4128	4120	3913	3594	3981
0.305556	3972	4075	4260	4052	4093	4375	4053	4209	4307	3906	6026	4503	4080	3934	4337	4048	4362	4170	4190	4323	4215	3527	4044	3856	3777	4201	3944	4109	4126	4090	4182	4090	5811	4246	4183	4154	4281	4039	4084	4103	4026	3835	4005	3675	3809	4164	4254	4264	4291	4272	4200	3847	4048	3776	3632	3992	4184	4003	4512	4118	4074	4052	4190	3917	3584	4009
0.366667	4074	4183	4199	4289	3979	4411	3934	4206	4359	4031	5827	4478	4175	3923	4201	4017	4286	4178	4197	4230	4224	3453	4057	3871	3806	4294	3910	4137	4107	4026	4204	4060	5933	4276	4121	4193	4181	3920	3913	3999	4154	3898	4061	3644	3881	4181	4247	4316	4239	4275	4276	3875	4111	3863	3736	4006	4157	4054	4538	4138	4050	4060	4193	4021	3613	3979
0.427778	4044	4076	4230	4289	4026	4384	3984	4256	4363	4001	5803	4518	4133	3901	4304	3979	4331	4225	4244	4394	4283	3513	4155	3883	3860	4272	3969	4158	4150	4044	4171	4041	5984	4189	4226	4173	4209	3989	4084	4121	4081	3935	4072	3688	3768	4207	4333	4380	4177	4265	4239	3801	4064	3575	3687	3914	4197	4047	4581	4087	3961	4126	4248	3985	3649	3971
0.488889	3994	4251	4191	4310	3956	4369	4059	4268	4274	4002	5722	4474	4217	3941	4317	4078	4345	4283	4276	4346	4308	3575	4159	3813	3745	4288	3975	4144	4197	4075	4145	4099	6147	4271	4192	4234	4340	4083	4092	4046	4063	4045	4089	3723	3806	4247	4253	4282	4159	4257	4230	4047	4209	3733	3702	3942	4215	4030	4536	4183	4087	4098	4258	4218	3656	4197
0.550000	4082	4204	4225	4219	4000	4445	3991	4279	4396	4050	5662	4485	4155	3853	4314	4122	4458	4353	4278	4414	4432	3628	4048	3820	3754	4295	3915	4136	4207	4075	4184	4119	6115	4326	4173	4263	4286	4121	4110	4137	4151	4011	4073	3707	3743	4214	4320	4313	4288	4352	4314	4094	4168	3781	3694	4016	4218	4078	4415	4082	4068	4296	4325	4232	3886	4128
0.611111	4112	4209	4250	4282	3977	4516	4134	4300	4415	4042	5675	4480	4201	3982	4277	4071	4261	4349	4349	4339	4377	3628	4085	3857	3842	4342	4047	4136	4216	4199	4173	4018	6021	4236	4260	4296	4285	4076	4097	4182	4103	4184	4099	3858	3811	4224	4240	4352	4250	4236	4308	4052	4346	3715	3656	3945	4231	3987	4536	4163	4032	4293	4337	4179	3786	4134
0.672222	4036	4215	4259	4283	4010	4523	4139	4488	4404	4159	5596	4595	4114	4023	4386	4178	4396	4368	4245	4418	4416	3677	4172	3769	3820	4324	4081	4119	4293	4256	4167	4107	5867	4286	4213	4272	4267	4112	4122	4264	4148	4227	4205	3792	3788	4274	4255	4399	4273	4343	4304	4073	4332	3811	3777	4013	4200	3950	4574	4224	3983	4340	4180	4337	3743	4239
0.733333	4058	4239	4312	4377	3992	4472	4042	4374	4473	4025	5639	4463	4118	3902	4285	4133	4403	4288	4193	4483	4432	3706	4159	3787	3830	4325	4023	4057	4236	4261	4201	4118	5760	4269	4256	4285	4321	4121	4083	4165	4076	4228	4139	3885	3706	4268	4239	4362	4363	4346	4394	4106	4230	3815	3705	3913	4195	4040	4587	4209	3990	4470	4275	4273	3862	4290
0.794444	3961	4238	4345	4439	3995	4590	4133	4406	4426	4197	5659	4443	4210	3964	4392	4189	4351	4444	4385	4441	4362	3663	4119	3821	3783	4445	3997	4156	4328	4284	4254	4035	5730	4309	4261	4354	4295	4140	4167	4264	4143	4255	4139	3911	3695	4318	4243	4380	4300	4407	4482	4035	4361	3912	3751	3970	4283	4086	4453	4168	4057	4505	4293	4396	3769	4319
0.855556	4010	4154	4353	4366	3872	4586	4185	4433	4534	4192	5757	4509	4139	3970	4359	4153	4356	4464	4425	4584	4353	3672	4192	3719	3725	4348	4134	4414	4271	4245	4243	4045	5843	4306	4296	4341	4327	4196	4200	4412	4213	4295	4185	3907	3721	4256	4219	4464	4291	4436	4548	4151	4569	3962	3680	4019	4247	4046	4614	4174	4060	4378	4205	4245	3826	4267
0.916667	4044	4254	4343	4375	4034	4662	4176	4516	4362	4136	5635	4507	4186	3956	4442	4085	4415	4440	4349	4624	4409	3650	4185	3782	3806	4385	4090	4346	4418	4277	4281	4037	5752	4258	4292	4263	4381	4182	4220	4348	4176	4361	4143	3928	3820	4262	4259	4436	4224	4376	4471	4120	4623	3895	3754	3928	4231	3999	4613	4219	3947	4461	4385	4395	3776	4297
0.977778	4042	4293	4410	4428	3926	4573	4183	4537	4459	4144	5573	4598	4201	3982	4441	4200	4401	4506	4417	4491	4417	3813	4245	3785	3819	4248	4075	4347	4399	4448	4351	4101	5741	4342	4269	4336	4344	4260	4334	4402	4277	4443	4170	3957	3689	4290	4233	4434	4369	4445	4449	4130	4623	3954	3700	3947	4173	4045	4697	4169	4197	4514	4465	4393	3899	4380
1.038889	4031	4303	4276	4377	3994	4678	4260	4653	4523	4270	5628	4504	4148	3954	4399	4138	4472	4455	4570	4587	4507	3705	4187	3629	4247	4345	4101	4355	4413	4382	4373	3947	5751	4254	4207	4273	4356	4210	4273	4423	4259	4357	4257	4014	3688	4290	4272	4402	4406	4496	4612	4073	4574	3964	3722	3953	4199	4073	4667	4187	4028	4589	4322	4404	3816	4416
1.100000	3954	4191	4311	4482	4054	4619	4256	4553	4536	4147	5715	4507	4093	4087	4552	4191	4630	4511	4442	4568	4389	3762	4132	3756	4162	4246	4093	4407	4408	4474	4342	4077	5727	4272	4337	4289	4337	4193	4259	4393	4267	4552	4184	3955	3721	4426	4128	4491	4439	4468	4598	4299	4725	3914	3751	3935	4281	4103	4643	4257	3998	4594	4436	4355	3884	4397
1.161111	3971	4217	4360	4515	4078	4710	4106	4557	4498	4206	5630	4568	4158	4022	4559	4185	4708	4422	4489	4819	4449	3744	4178	3742	4262	4278	4407	4427	4329	4382	4256	4121	5755	4328	4256	4270	4312	4327	4390	4403	4335	4540	4161	3958	3634	4251	4140	4531	4434	4445	4627	4246	4601	3957	3752	3905	4253	4086	4701	4233	4012	4718	4366	4450	3866	4486
1.222222	4014	4274	4365	4571	4059	4654	4275	4507	4599	4195	5685	4476	4083	4006	4554	4238	4661	4528	4734	4666	4444	3769	4181	3744	4295	4315	4326	4288	4371	4546	4495	4132	5651	4364	4212	4420	4393	4251	4415	4586	4363	4500	4210	3975	3672	4289	4170	4504	4503	4483	4623	4391	4677	4011	3731	3920	4296	3987	4686	4318	4043	4710	4311	4491	3838	4413
1.283333	3984	4226	4285	4545	4078	4732	4225	4547	4676	4182	5684	4466	4099	3987	4683	4261	4683	4492	4510	4676	4394	3806	4178	3753	4342	4303	4424	4333	4425	4508	4416	4033	5690	4253	4251	4449	4354	4388	4334	4501	4431	4501	4269	4002	3776	4306	4205	4559	4575	4464	4728	4388	4688	3981	3787	3904	4239	4017	4756	4291	4065	4759	4416	4580	3839	4471
1.344444	4091	4245	4365	4506	4093	4687	4317	4487	4584	4222	5690	4500	4110	3992	4626	4279	4663	4470	4596	4389	4533	3810	4163	3662	4317	4237	4418	4427	4527	4464	4462	4049	5742	4300	4260	4294	4348	4458	4354	4586	4469	4569	4366	3966	3785	4258	4294	4497	4547	4560	4767	4259	4856	3967	3778	3948	4238	4058	4796	4220	4028	4655	4519	4533	3903	4379
1.405556	4037	4290	4276	4461	4075	4583	4320	4625	4624	4301	5709	4461	4115	4128	4651	4323	4711	4618	4681	4854	4527	3768	4102	3660	4366	4398	4372	4432	4447	4413	4388	4001	5639	4368	4319	4262	4387	4366	4331	4441	4442	4548	4258	3906	3635	4288	4227	4620	4470	4457	4694	4388	4878	3963	3690	3958	4205	3987	4648	4269	3926	4725	4602	4605	3851	4410
1.466667	4107	4141	4324	4642	4112	4789	4354	4617	4568	4283	5734	4497	4152	4053	4608	4278	4757	4523	4753	4812	4515	3812	4118	3677	4324	4271	4403	4445	4506	4495	4553	4089	5712	4310	4210	4304	4451	4504	4450	4600	4293	4485	4338	3991	3732	4289	4207	4533	4462	4558	4768	4240	4868	4061	3760	3954	4243	4020	4730	4288	4121	4713	4547	4719	3893	4409
1.527778	3996	4249	4366	4512	4099	4868	4310	4704	4621	4389	5683	4481	4149	4102	4579	4257	4708	4639	4643	4772	4635	3821	4082	3719	4453	4269	4466	4392	4574	4596	4526	4123	5777	4286	4260	4332	4398	4473	4353	4720	4474	4590	4346	4043	3723	4282	4112	4612	4404	4523	4787	4384	4786	4151	3716	3988	4302	4064	4645	4290	4076	4675	4495	4552	3882	4454
1.588889	4077	4211	4245	4539	4152	4726	4262	4660	4720	4357	5710	4419	4193	4036	4698	4272	4800	4665	4551	4790	4550	3776	4120	3700	4417	4335	4509	4498	4409	4535	4434	4054	5614	4311	4196	4260	4460	4454	4513	4614	4500	4528	4338	3989	3722	4257	4137	4619	4589	4459	4949	4401	4944	4030	3764	3847	4264	4044	4664	4307	4094	4612	4527	4736	3877	4507
1.650000	4037	4016	4283	4518	4131	4740	4363	4665	4704	4340	5697	4480	4125	4137	4672	4274	4668	4574	4799	4648	4459	3783	4142	3672	4375	4342	4488	4495	4584	4601	4475	4039	5738	4378	4247	4374	4418	4464	4541	4562	4412	4503	4407	4080	3658	4283	4135	4615	4559	4573	4782	4481	4861	4075	3737	3877	4257	3935	4574	4319	4201	4632	4497	4766	3891	4428
1.711111	4034	4091	4244	4625	4181	4711	4379	4716	4741	4383	5683	4393	4108	4105	4670	4574	4878	4607	4836	4672	4580	3883	4086	3606	4397	4358	4502	4525	4549	4530	4552	4020	5693	4290	4301	4388	4365	4602	4399	4686	4478	4551	4302	4092	3622	4330	4242	4591	4543	4526	4889	4561	4953	4115	3700	3920	4233	4021	4694	4419	4112	4675	4512	4786	3915	4535
1.772222	4011	4300	4235	4632	4130	4712	4484	4715	4700	4295	5696	4314	4223	4090	4746	4734	4795	4589	4857	4853	4629	3835	4181	3598	4318	4359	4409	4512	4550	4644	4544	4018	5681	4350	4190	4413	4356	4739	4547	4694	4423	4474	4323	3978	3637	4231	4183	4657	4699	4460	4810	4496	4929	4007	3705	3920	4220	3929	4681	4390	4099	4742	4586	4887	3822	4516
1.833333	4007	4378	4362	4645	4114	4791	4381	4710	4871	4480	5650	4453	4083	4086	4684	4548	4887	4654	4839	4857	4510	3880	4213	3639	4461	4308	4428	4465	4643	4464	4698	3954	5699	4392	4239	4354	4358	4719	4634	4745	4409	4589	4326	4054	3802	4398	4172	4642	4560	4510	4948	4501	4983	4033	3766	3833	4245	4027	4733	4372	4157	4577	4640	4689	3793	4452
1.894444	4070	4399	4224	4607	4180	4835	4437	4688	4773	4410	5683	4496	4155	4140	4694	4586	4909	4708	4730	4864	4662	3788	4153	3583	4351	4318	4450	4382	4724	4627	4585	4086	5687	4424	4303	4278	4348	4734	4688	4762	4432	4592	4278	4026	3810	4261	4122	4670	4506	4543	4922	4567	5010	4067	3697	3866	4236	4033	4557	4406	4193	4802	4508	4753	3867	4508
1.955556	4000	4442	4252	4620	4104	4962	4466	4729	4881	4378	5664	4480	4273	4214	4676	4557	4912	4670	4784	4766	4542	3843	4158	3610	4358	4307	4423	4468	4689	4591	4658	3967	5681	4373	4179	4298	4359	4596	4640	4690	4566	4556	4400	4015	3839	4201	4215	4652	4545	4465	5072	4640	5067	4053	3762	3803	4227	4006	4566	4333	4126	4611	4557	4885	3840	4659
2.016667	4044	4318	4204	4638	4258	4853	4481	4792	4886	4422	5707	4481	4119	4176	4729	4584	4783	4719	4835	5028	4613	3903	4187	3597	4382	4379	4380	4538	4683	4606	4621	4069	5783	4361	4149	4280	4436	4627	4665	4665	4572	4598	4351	4101	3803	4281	4150	4648	4717	4516	4996	4500	5233	4105	3693	3842	4213	4017	4522	4310	4064	4849	4676	4743	3895	4644
2.077778	4107	4417	4346	4575	4217	4884	4369	4805	4781	4428	5811	4395	4086	4165	4771	4716	4888	4641	4882	4813	4638	3812	4173	3645	4379	4465	4378	4490	4683	4510	4599	4029	5796	4360	4190	4387	4415	4809	4857	4699	4519	4516	4445	4087	3891	4228	4146	4669	4695	4551	5146	4621	5203	4133	3645	3945	4242	4022	4687	4278	4172	4735	4628	4789	3852	4625
2.138889	4069	4514	4233	4588	4163	4842	4417	4758	4893	4474	5623	4472	4183	4110	4812	4611	4960	4653	4828	4680	4613	3845	4171	3668	4424	4516	4439	4617	4685	4644	4630	4053	5840	4356	4201	4297	4382	4820	4688	4812	4505	4626	4490	4076	3788	4198	4136	4588	4598	4616	5020	4713	5091	3995	3764	3915	4314	4066	4662	4299	4215	4829	4629	4708	3893	4670
2.200000	4022	4504	4210	4656	4185	4840	4523	4762	4824	4496	5605	4560	4046	4193	4797	4597	4834	4587	4963	4784	4630	3903	4186	3591	4341	4478	4498	4667	4729	4622	4581	3998	5753	4348	4288	4344	4446	4831	4688	4804	4505	4622	4346	4000	3667	4343	4143	4631	4650	4584	4978	4667	5049	4096	3736	3793	4286	3960	4737	4334	4192	4745	4722	4827	3857	4624
2.261111	4047	4569	4224	4654	4231	4834	4450	4799	4717	4481	5714	4442	4184	4173	4650	4787	4947	4807	4941	4808	4634	3915	4206	3559	4411	4465	4432	4578	4651	4658	4610	4014	5754	4341	4262	4237	4437	4840	4719	4806	4533	4736	4352	4037	3615	4273	4152	4619	4619	4571	5133	4669	5026	4082	3757	3836	4323	3981	4632	4320	4127	4839	4669	4892	3901	4593
2.322222	4090	4557	4268	4607	4206	4863	4489	4787	4659	4426	5748	4512	4050	4121	4795	4664	4878	4771	4863	4889	4559	3934	4190	3629	4431	4460	4420	4463	4663	4629	4627	4055	5694	4363	4266	4233	4433	4881	4751	4822	4600	4588	4432	4061	3699	4275	4179	4635	4612	4560	5156	4672	5028	4117	3669	3889	4224	4004	4700	4371	4208	4649	4815	4885	3828	4584
2.383333	3995	4596	4196	4709	4140	4769	4543	4896	4575	4420	5758	4527	4016	4107	4730	4561	4621	4702	4790	4932	4569	3839	4084	3676	4352	4384	4365	4687	4788	4706	4754	4035	5668	4290	4271	4280	4396	4801	4784	4855	4717	4640	4301	4035	3808	4310	4187	4515	4666	4662	5035	4713	5239	4109	3705	3782	4302	3963	4537	4408	4167	4760	4659	4878	3840	4620
2.444444	4048	4409	4238	4689	4260	4824	4529	4872	4809	4339	5811	4490	4095	4124	4757	4592	4691	4710	4861	4998	4588	3859	4234	3627	4395	4456	4318	4596	4626	4782	4656	4085	5854	4387	4186	4363	4379	4854	4861	4854	4622	4602	4451	4066	3746	4251	4050	4718	4800	4588	5054	4690	5180	4074	3734	3811	4236	4040	4678	4381	4287	4802	4651	4899	3823	4559
2.505556	3989	4458	4282	4744	4242	4878	4527	4850	4722	4394	5799	4482	4111	4176	4856	4653	4792	4781	4877	4974	4601	3966	4210	3624	4318	4348	4436	4678	4703	4711	4535	4042	5621	4324	4240	4397	4379	4928	4841	4784	4615	4623	4392	3993	3651	4198	4116	4678	4715	4505	5104	4672	5140	4044	3705	3854	4283	4026	4578	4341	4268	4795	4758	5074	3890	4640
2.566667	3990	4416	4248	4664	4272	4972	4538	4931	4820	4337	5719	4557	4108	4240	4840	4648	4633	4652	4812	4948	4709	3865	4084	3602	4356	4423	4398	4642	4781	4739	4744	3980	5686	4357	4218	4427	4397	4921	4812	4783	4701	4595	4305	4047	3725	4240	4197	4589	4658	4617	5010	4612	5083	4104	3676	3859	4265	3901	4749	4353	4148	4841	4741	4952	3949	4535
2.627778	3735	4458	4231	4573	4070	4944	4533	4823	4931	4332	5668	4419	4075	4233	4664	4711	4747	4688	4841	4906	4590	3861	4205	3567	4299	4345	4467	4760	4802	4636	4544	3997	5739	4423	4303	4317	4461	4844	4690	4806	4609	4693	4434	4001	3682	4376	4153	4674	4667	4660	4908	4654	5202	4076	3681	3839	4312	3910	4582	4305	4232	4893	4727	5020	3878	4648
2.688889	3730	4251	4275	4621	4211	4892	4510	4929	4859	4427	5818	4494	4157	4135	4871	4710	4732	4638	4879	5046	4670	3906	4106	3533	4365	4528	4539	4581	4824	4618	4717	4011	5820	4352	4195	4300	4440	5020	4825	4776	4684	4639	4457	4059	3641	4296	4236	4742	4607	4683	4974	4722	5249	3995	3808	3815	4322	3924	4728	4417	4278	4780	4697	5047	3992	4643
2.750000	3688	4221	4171	4673	4207	4935	4563	4963	4988	4439	5777	4537	4092	4220	4853	4818	5017	4769	4905	5050	4720	3947	4168	3593	4363	4539	4513	4643	4714	4894	4695	4064	5693	4320	4257	4359	4417	4929	4815	5003	4710	4831	4495	4106	3661	4281	4182	4589	4547	4587	5084	4735	5301	4035	3729	3866	4257	3964	4669	4349	4246	4771	4584	5052	3891	4513
