Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11
0.000000	3828	4379	4406	4165	4006	3990	3880	3850	3768	3475	4125	3919	4127	4110	4127	3904	3863	3806	3739	3601	3671	4264	4185	4085	3989	3925	3896	3849	3864	3530	3936	3963	3933	3994	3710	3812	3888	3740	3710	3621	3837	3985	3949	4118	3980	3581	3887	3614	3780	3565	3352	4055	3980	4020	3887	3653	3568	3885	3827	3495
0.055833	3771	4192	4231	4023	3889	3856	3833	3682	3736	3359	3988	3798	3978	3958	4003	3861	3744	3678	3744	3517	3527	4139	4219	3990	3812	3783	3731	3815	3782	3591	3696	3872	3913	3932	3650	3823	3698	3680	3767	3534	3766	4003	3853	3937	3895	3387	3761	3628	3779	3535	3340	3957	3861	3922	3882	3565	3609	3690	3716	3608
0.111667	3698	4152	3926	3933	3834	3842	3777	3541	3580	3399	3895	3675	3818	3902	3971	3771	3618	3653	3685	3735	3549	4009	4102	3879	3801	3777	3721	3809	3712	3695	3708	3882	3849	3965	3649	3663	3630	3697	3713	3615	3770	3938	3797	3898	3823	3527	3721	3587	3702	3613	3326	3923	3824	3920	3816	3422	3596	3744	3675	3659
0.167500	3667	4148	3892	3838	3827	3702	3695	3413	3552	3509	3943	3787	3761	3858	3933	3739	3655	3677	3800	3679	3476	3891	3911	3826	3744	3719	3670	3791	3724	3689	3644	3789	3813	3864	3679	3636	3741	3706	3670	3597	3697	3917	3809	3872	3791	3583	3755	3635	3769	3717	3238	3840	3809	3856	3753	3468	3566	3698	3824	3682
0.223333	3636	3963	3775	3799	3690	3783	3750	3451	3513	3521	3916	3715	3743	3808	3860	3695	3603	3582	3840	3708	3440	3790	3883	3764	3735	3767	3682	3792	3762	3678	3609	3849	3770	3817	3625	3715	3710	3674	3701	3633	3705	3831	3804	3716	3843	3614	3702	3677	3804	3753	3222	3816	3854	3818	3809	3432	3497	3660	3657	3644
0.279167	3637	4239	3831	3765	3614	3701	3754	3468	3490	3632	3849	3686	3707	3717	3853	3578	3571	3727	3799	3749	3448	3877	3880	3646	3722	3676	3784	3741	3812	3764	3615	3890	3783	3881	3636	3582	3720	3719	3691	3678	3716	3825	3758	3825	3846	3567	3696	3672	3783	3747	3315	3746	3800	3798	3760	3419	3577	3729	3760	3751
0.335000	3895	4116	3775	3746	3649	3627	3789	3552	3672	3624	3868	3697	3723	3765	3843	3596	3543	3713	3788	3801	3471	3849	3914	3685	3686	3738	3688	3683	3789	3782	3509	3866	3784	3810	3667	3660	3798	3676	3621	3666	3655	3868	3778	3795	3789	3565	3754	3711	3779	3807	3280	3827	3843	3825	3808	3430	3534	3705	3749	3798
0.390833	3901	4024	3918	3726	3638	3627	3765	3620	3818	3860	3924	3703	3807	3772	3784	3626	3648	3689	3788	3799	3422	3787	3922	3782	3664	3634	3712	3808	3872	3776	3530	3884	3731	3876	3635	3643	3804	3786	3709	3685	3653	3876	3815	3704	3828	3629	3707	3719	3812	3816	3259	3851	3798	3770	3861	3503	3558	3709	3732	3686
0.446667	4022	3995	3864	3781	3624	3594	3805	3562	3813	3981	3814	3654	3784	3819	3822	3671	3603	3753	3867	3824	3481	3820	3879	3720	3710	3702	3748	3726	3857	3839	3469	3793	3695	3865	3619	3681	3832	3693	3682	3702	3770	3905	3773	3717	3823	3663	3794	3705	3816	3835	3260	3805	3841	3831	3785	3486	3476	3710	3764	3761
0.502500	3851	3997	3878	3734	3765	3681	3744	3644	3780	3900	3935	3709	3858	3705	3827	3558	3674	3724	3913	3810	3436	3807	3890	3630	3707	3673	3632	3789	3874	3797	3557	3814	3701	3835	3585	3731	3774	3752	3840	3879	3776	3824	3774	3717	3757	3620	3825	3767	3872	3819	3212	3854	3837	3808	3896	3566	3689	3737	3829	3799
