Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.000000	1337	1084	899	814	793	753	719	688	669	654	623	1520	1073	895	893	801	772	724	694	685	638	645	1223	1081	976	861	766	766	715	694	672	671	663	1556	931	820	805	713	712	669	694	670	669	633	1576	965	844	796	704	692	704	679	659	662	659	1460	887	798	769	685	701	665	674	665	653	637
0.061111	1249	1003	875	793	778	753	713	687	674	641	665	1450	1032	855	847	780	748	707	688	659	654	648	1159	1028	921	811	779	758	708	670	667	675	678	1430	871	776	790	704	696	663	689	685	675	646	1456	906	801	767	707	691	686	668	646	663	666	1410	852	792	759	696	694	666	689	664	659	652
0.122222	1210	983	851	785	739	755	698	686	673	660	659	1372	1019	820	828	753	744	714	679	678	646	665	1088	1007	907	795	770	737	714	664	664	668	696	1396	843	777	784	694	695	674	696	679	674	662	1399	880	804	763	703	679	696	681	675	670	660	1361	828	785	747	689	690	661	670	649	666	652
0.183333	1157	963	826	773	746	719	713	678	669	662	679	1313	968	785	830	734	719	713	688	678	696	652	1037	970	879	767	743	719	708	661	658	681	700	1377	832	764	779	700	705	665	695	677	679	667	1396	869	780	752	699	669	696	666	682	674	681	1395	808	765	752	702	683	663	654	655	653	666
0.244444	1168	923	826	779	744	742	719	681	678	687	697	1268	953	788	796	740	728	713	695	674	722	685	1033	936	830	746	727	708	716	687	705	677	702	1358	806	747	776	703	689	678	719	680	702	690	1393	864	786	746	725	688	724	676	677	706	678	1427	813	761	713	688	696	663	701	662	683	670
0.305556	1144	935	812	760	738	734	736	684	678	707	700	1259	945	798	781	731	748	710	699	705	722	694	997	924	832	765	738	728	720	673	706	751	712	1356	823	742	781	703	705	694	718	705	714	716	1386	867	803	748	720	686	720	710	715	711	697	1455	801	766	735	694	711	672	714	690	692	681
0.366667	1151	951	818	758	766	730	721	693	706	712	702	1218	920	795	777	763	753	725	705	715	735	695	988	919	813	746	721	745	733	684	729	750	717	1368	821	733	764	705	730	698	733	701	724	696	1414	853	769	751	731	691	753	717	718	730	684	1471	798	759	731	709	683	680	718	696	720	683
0.427778	1154	930	795	748	761	773	735	726	724	711	702	1225	900	795	791	760	763	746	715	727	731	704	996	881	795	741	751	752	739	698	715	731	729	1350	815	733	772	688	747	720	721	714	717	723	1410	867	801	746	711	715	743	710	743	722	689	1498	806	759	726	717	714	711	720	689	728	704
0.488889	1130	920	814	746	774	772	704	732	706	754	713	1211	889	766	779	757	770	728	694	715	736	720	995	887	793	764	770	763	721	694	731	759	716	1373	803	721	774	713	746	710	729	712	738	717	1444	859	790	752	720	722	727	734	744	743	672	1486	778	756	776	732	720	728	729	694	723	697
0.550000	1140	912	799	739	760	794	725	722	737	743	704	1187	895	766	784	767	765	723	691	713	755	720	978	872	811	770	770	763	732	705	728	775	748	1386	821	750	780	726	773	713	745	734	762	733	1464	860	807	743	743	717	742	739	743	746	697	1514	803	761	762	722	740	699	736	700	750	704
0.611111	1136	915	803	738	767	768	726	726	721	775	712	1202	897	768	770	763	783	744	704	720	770	734	979	851	798	772	768	764	720	687	722	774	736	1423	818	768	784	739	769	724	758	726	759	727	1498	853	793	763	740	746	771	738	763	754	683	1496	808	760	770	722	737	717	727	711	760	714
0.672222	1157	919	797	746	750	775	708	733	717	781	707	1200	912	763	791	774	779	735	710	746	769	720	977	866	786	760	766	759	732	710	728	768	745	1407	809	757	789	738	780	762	744	738	773	709	1506	869	812	735	732	770	770	757	777	757	700	1543	842	758	775	715	738	709	758	716	782	696
0.733333	1132	910	788	736	768	769	718	727	740	779	729	1198	911	764	779	760	772	751	724	727	772	715	990	869	796	759	762	770	717	703	737	778	733	1412	807	748	791	739	768	745	761	723	769	728	1516	872	815	747	752	773	772	773	772	759	685	1538	844	760	773	727	769	712	763	734	757	688
0.794444	1114	909	796	727	759	769	743	720	726	793	721	1184	898	749	785	757	778	745	715	720	787	705	974	877	795	765	749	755	752	710	723	812	719	1435	813	749	778	729	794	771	772	737	785	724	1527	884	815	753	754	772	769	780	773	781	686	1555	837	771	779	748	772	718	773	738	783	695
0.855556	1131	918	782	734	765	755	727	739	740	812	726	1194	889	749	773	762	784	725	712	729	786	757	993	863	804	761	757	758	733	706	738	806	728	1426	808	738	796	750	802	756	790	765	817	723	1541	875	801	750	760	773	783	780	791	775	683	1554	858	764	779	750	765	755	751	749	782	693
0.916667	1132	910	798	731	760	769	739	728	727	808	713	1206	891	745	778	755	769	739	716	735	808	704	978	868	793	753	755	748	728	722	742	821	761	1431	818	739	778	749	800	769	786	757	769	761	1551	883	804	741	744	801	787	767	785	775	676	1577	851	759	781	762	805	756	774	747	777	699
0.977778	1142	911	797	729	774	754	713	737	718	791	700	1207	902	749	761	764	763	755	715	747	824	720	980	871	801	749	760	756	714	720	725	829	728	1439	814	749	784	753	804	784	786	756	798	745	1564	876	804	729	761	804	772	771	778	786	700	1613	831	766	794	766	781	722	780	724	804	684
1.038889	1139	923	786	721	757	777	717	738	731	809	724	1187	897	743	780	759	770	749	734	735	816	748	981	864	794	756	751	782	726	707	729	821	741	1404	809	748	780	738	834	777	815	771	805	749	1568	872	795	745	762	788	789	776	809	791	698	1571	839	763	795	784	773	731	774	780	779	675
