Time	D07	D08	D09	D10	D11	E08	E09	E10	E11	F08	F09	F10	F11	G08	G09	G10	G11	H08	H09	H10	H11
0.000000	4715	4762	4716	5172	4849	4398	4416	4474	4462	4411	4433	4506	4221	4213	4224	4397	4970	3950	4081	4395	4690
0.077778	4324	4333	4155	4518	4057	4018	4009	3990	3999	3842	3851	3794	3708	3823	3766	4592	4440	3658	3719	3976	4115
0.155556	3658	3596	3813	3759	3508	3585	3562	3390	3576	3445	3415	3455	3237	3361	3386	4720	4132	3219	3346	3594	3646
0.233333	3339	3428	3505	3552	3152	3316	3262	3353	3364	3197	3200	3322	3206	3084	3192	5666	4029	3098	3164	3514	3508
0.311111	3307	3401	3344	3605	3284	3190	3114	3275	3280	3226	3110	3186	3136	3122	3146	5563	3926	3084	3130	3394	3301
0.388889	3260	3359	3251	3872	3180	3232	3116	3054	3208	3144	3154	3121	3013	3131	3139	5314	3758	2934	3002	3356	3355
0.466667	3259	3344	3338	3918	3396	3015	3110	3074	3119	3149	3073	3258	3053	3074	2985	5244	3844	3008	3154	3312	3244
0.544444	3240	3484	3232	4039	3312	2948	3064	3076	3078	3119	3065	3104	3019	3048	3046	5255	3596	3039	3120	3296	3390
0.622222	3186	3603	3389	4334	3269	3102	3098	3201	3163	3206	3130	3126	3131	3005	3032	5403	3730	3019	3088	3425	3344
0.700000	3150	3678	3345	4556	3376	3078	3047	3082	3212	2959	2922	3129	3012	2976	3048	5318	3680	3005	3224	3256	3312
0.777778	3200	3735	3393	4658	3532	3034	3040	3006	3094	3147	2985	3046	2969	2930	2936	5276	3716	3056	3003	3224	3310
0.855556	3437	3665	3474	5103	3474	3100	3120	3084	3071	3007	3021	3133	2967	3041	2986	5302	3736	3003	3095	3358	3179
0.933333	3112	3858	3593	5216	3484	3106	3024	2964	2991	3093	3022	3271	2910	3034	2958	5230	3846	2964	3073	3240	3293
1.011111	3182	3900	3460	5532	3488	3096	3010	3056	3168	3011	3067	3038	2902	3046	2942	5380	3769	3019	3034	3318	3198
1.088889	3116	3939	3574	5614	3555	3067	3197	3136	3245	3236	3025	3069	3073	3054	2982	5316	3665	3052	3044	3252	3296
1.166667	3182	3975	3517	5878	3693	3085	3014	3031	3214	2992	3015	3169	2948	3000	3105	5284	3797	2995	3100	3384	3170
1.244444	3226	4282	3579	6118	3736	2994	3112	3046	3190	3088	3074	3014	3024	3013	2947	5316	3628	2997	3136	3323	3288
1.322222	3279	4198	3630	6248	3796	2932	3141	3016	3112	2993	3006	3162	3012	3089	3023	5480	3671	3023	3041	3299	3217
1.400000	3224	4333	3721	6611	3733	3042	3049	3054	3134	3053	2933	3158	3025	2973	2957	5512	3645	3054	3110	3266	3240
1.477778	3333	4465	3778	6677	3856	3096	3120	2990	3076	3013	3079	3196	2930	3112	2938	5285	3679	3097	3058	3329	3229
1.555556	3099	4328	3806	6842	3860	3006	3054	3014	3195	3070	3028	3205	2851	3006	2914	5402	3558	2998	3082	3350	3150
1.633333	3169	4519	3769	7296	3912	2944	3064	3092	3144	3130	3156	3125	3011	3055	3063	5284	3685	2926	3098	3332	3280
1.711111	3280	4666	3888	7324	4068	3083	2973	3076	3132	2962	3039	3142	2988	3050	3037	5407	3584	3105	3082	3319	3330
1.788889	3137	4728	3857	7681	4027	3090	3101	3111	3260	3064	2994	3040	3000	2973	2976	5371	3704	2946	2929	3330	3299
1.866667	3190	4894	3893	7704	4200	3028	2987	3008	3016	3157	2982	3025	2975	3044	3033	5440	3651	2949	3012	3272	3264
1.944444	3088	4835	4076	7956	4090	3082	3028	3047	3175	3065	2983	3241	3053	3098	2978	5568	3617	2996	3108	3286	3225
2.022222	3100	4901	3877	8426	4090	3117	3057	3135	3215	3140	3070	3020	3121	2986	2884	5729	3798	2990	3041	3438	3281
2.100000	3179	5013	4022	8074	4328	3140	3072	3153	3216	3148	3101	3047	3014	3049	2971	5508	3707	2959	3166	3363	3274
2.177778	3304	5035	4006	8535	4141	3137	2962	3173	3144	3004	3090	3118	3033	3026	3100	5539	3767	3031	3032	3412	3230
2.255556	3108	5207	4142	8645	4331	3025	3063	3091	3058	3056	2960	3260	3013	3054	3062	5505	3730	3146	3108	3305	3194
2.333333	3260	5326	4086	8903	4353	2958	3056	3034	3172	3044	3038	3036	2929	3064	3025	5564	3736	3047	2945	3322	3120
2.411111	3186	5363	4098	9144	4346	3015	3032	3092	2984	2957	2968	3094	2956	2992	2968	5403	3793	3044	3036	3353	3246
2.488889	3177	5492	4117	9274	4324	3123	3057	3054	3219	3157	2897	3152	3042	3050	2987	5461	3646	3010	3080	3270	3218
2.566667	3151	5434	4299	9423	4423	3049	3063	2945	3135	3127	3012	3130	2993	2959	3065	5663	3779	3122	3087	3321	3154
