Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.000000	12961	13266	13554	13033	13607	13667	14915	14376	14344	19193	19381	18544	11436	11360	10373	15303	10885	11260	10845	10553	10700	15177	15423	14438	9165	9526	9554	9414	13600	10324	9321	8741	9085	12760	13402	12875	8397	8682	8094	8284	13420	14226	8181	8025	8093	13032	12445	12326	7755	8017	7951	8382	8527	8288	8928	7807	8353	12793	12172	12483	7491	7588	7474	7819	7546	7670	6547	7340	7224	12315	11990	11606	7194	7450	7272	7374	7708	8008	6735	7241	7235	11804	11791	11215	7124	7110	7146	7156	7128	7078	8291	7026	6953	15279	12016	12055
0.022222	12351	12694	12825	12454	12953	13029	14096	13375	13554	18079	18366	17743	11264	10955	10141	14443	10806	10944	10544	10192	10372	14361	14954	13873	8903	9224	9124	9140	12815	10118	9194	8505	8860	12695	13073	12560	8107	8323	7998	8161	12582	14444	7957	7838	7990	12679	11900	11972	7716	7880	7825	8142	8298	7999	8779	7785	8591	12640	11912	12541	7277	7363	7350	7515	7418	7450	6413	7330	7109	12354	11940	11539	7070	7404	7133	7456	7519	7723	6603	7425	7195	11610	11852	11097	6905	6995	7068	7092	7037	6840	8475	6950	6874	15160	12140	11881
0.044444	11915	12323	12554	12088	12781	12636	13732	13033	13112	17693	18013	17146	11194	10828	9834	14353	10437	10683	10262	10066	10019	14292	14801	13786	8741	9115	9011	8989	12607	9979	9023	8336	8579	12496	12773	12572	8046	8225	7834	8061	11287	14594	7908	7780	7725	12903	11786	11925	7578	7805	7614	8214	8189	7784	8588	7615	8413	12697	11633	12199	7203	7314	7263	7522	7612	7538	6357	7164	7074	12134	11962	11526	7082	7140	7142	7352	7552	7905	6731	7328	6973	11583	11462	10889	6851	7005	6864	7190	7096	6906	8300	6920	6784	15152	11836	11919
0.066667	11573	12064	12248	11973	12283	12387	13270	12671	12958	17287	17892	16603	11013	10740	9602	14153	10431	10678	9778	9826	9889	14276	14197	13577	8589	8954	8874	8756	12392	9664	8927	8116	8485	12382	12724	12427	7937	8153	7751	8183	10126	14433	7849	7764	7696	12843	12039	12004	7348	7793	7655	7964	8171	7717	8529	7329	7958	12762	12043	12281	7121	7293	7291	7589	7319	7547	6391	7104	7108	12186	11850	11530	6868	7145	7149	7237	7243	7788	6562	7311	6849	11702	11648	11129	6775	7006	6752	6826	7083	6922	8268	6809	6983	15160	12120	11958
0.088889	11523	12109	11976	11759	12026	12063	13096	12578	12866	16887	17843	16230	10774	10393	9449	13893	10288	10293	9657	9770	9723	13877	14153	13379	8547	8918	8988	8866	12416	9565	8919	8095	8391	12557	12646	12366	8014	8100	7656	7972	9075	14817	7720	7680	7754	12722	11930	12050	7289	7637	7430	8117	8178	7670	8437	7414	7770	12773	11893	12421	7137	7116	7050	7569	7333	7361	6320	7242	6979	12155	12077	11582	6862	7089	7041	7240	7369	7699	6670	7334	6977	11722	11747	11301	6788	6798	6794	6910	7050	6780	8252	6817	6711	15268	12151	12271
0.111111	11401	11774	11812	11272	11891	11836	12703	12564	12428	16688	17569	15883	10965	10327	9336	13846	10069	10420	9664	9624	9649	13780	13689	13571	8511	8791	8524	8567	11999	9491	8696	8051	8261	12252	12805	12418	7832	8034	7753	7858	8732	14565	7597	7402	7654	12758	12106	12107	7313	7603	7494	8076	8305	7763	8222	7367	7662	12586	12133	12434	7088	7200	7262	7440	7315	7602	6354	7219	6895	12318	12033	11994	6890	7022	6970	7247	7247	7613	6547	7511	6945	12112	12085	11499	6731	6909	6954	6781	7023	6840	8341	6782	6828	15745	12199	12394
0.133333	11325	11591	11948	11242	11553	11981	12712	12415	12310	16484	17407	16108	10890	10154	9280	13667	9739	9895	9673	9482	9354	13713	13792	13254	8473	8815	8566	8602	11966	9552	8774	8137	8086	12325	12820	12574	7625	8036	7503	7927	8693	14349	7563	7344	7630	12795	11925	12066	7310	7669	7239	8027	8688	7689	8371	7521	7512	12762	12070	12614	7115	7058	7209	7511	7239	7428	6138	7104	6892	12330	12336	11891	7023	6990	7138	7098	7376	7758	6357	7276	6765	12167	12077	12045	6705	6668	6725	6902	6875	6764	8251	7036	6678	15899	12572	12724
0.155556	11131	11469	11621	11215	11627	11589	12532	12116	12483	16668	17034	16269	10983	10028	9309	13405	9937	10097	9514	9356	9298	13564	13780	13213	8255	8659	8639	8719	11780	9153	8698	7925	8062	12449	12847	12561	7687	7906	7433	7911	8660	14440	7619	7459	7434	12720	12143	12262	7277	7566	7439	7937	8559	7733	8511	7255	7537	12865	12351	13159	7157	7032	7039	7426	7298	7429	6188	7359	6926	12807	12453	12279	6955	6973	7041	7186	7255	7678	6668	7264	6875	12431	12712	12468	6631	6674	6690	6840	6823	6651	8247	6919	6878	16472	13010	12811
0.177778	11052	11282	11559	11162	11532	11481	12383	12084	12055	16284	16988	15832	11145	10316	9256	13496	9946	9988	9469	9381	9249	13838	13950	13292	8318	8685	8425	8496	11705	9258	8563	7862	7980	12400	12860	12773	7553	7842	7515	7758	8696	14849	7469	7518	7445	13051	12175	12458	7284	7530	7308	7936	8390	7702	8512	7330	7496	12797	12533	13459	7277	7117	7122	7494	7240	7293	6107	7236	6807	12788	12664	12736	7057	6998	7121	7066	7301	7743	6575	7464	6796	12850	13238	13366	6679	6613	6669	6941	6868	6664	8342	6809	6749	16927	13056	13295
0.200000	11125	11126	11505	10906	11439	11520	12214	12013	12201	16304	16818	16079	10904	10126	9152	13928	9640	9814	9450	9202	9360	13757	13906	13238	8251	8491	8446	8480	11811	9184	8574	7840	8024	12451	12866	12639	7530	7581	7376	7833	8735	14985	7513	7424	7378	13151	12551	12889	7360	7613	7360	7988	8372	7630	8402	7310	7522	13536	12642	13846	7097	6968	7244	7570	7206	7585	6166	7168	6900	13419	13236	13245	6807	7051	7051	7048	7392	7850	6515	7504	6752	13591	13900	13991	6723	6688	6634	6738	6713	6802	8417	6857	6756	17654	13376	14134
0.222222	11029	11522	11279	10937	11236	11434	12146	11971	12021	16355	16724	16202	11222	10298	9138	14266	9748	9901	9336	9033	9156	13885	14104	13744	8308	8403	8390	8312	11682	9375	8699	7878	8113	12664	12925	12808	7471	7764	7392	7510	9089	14861	7527	7358	7362	13620	12550	13243	7412	7629	7523	8000	8558	7822	8439	7243	7530	13756	13385	14350	7323	7220	7099	7624	7330	7497	6303	7335	6892	14005	13768	14000	6907	7048	7061	7314	7386	7652	6359	7303	6745	14388	15008	15430	6741	6690	6657	6884	6882	6671	8375	6855	6917	18868	14333	14673
0.244444	11078	11202	11565	11157	11290	11508	12353	11967	11965	16492	16700	16258	11170	10171	9054	14106	9355	9741	9259	9227	9282	13597	13909	13430	8306	8431	8265	8340	11409	9183	8591	7890	7846	12815	13190	13138	7554	7809	7394	7815	9539	14998	7407	7236	7473	13701	12774	13632	7305	7585	7351	7889	8577	7764	8530	7185	7557	14562	13735	15371	7348	7201	7057	7471	7418	7317	6068	7330	7036	14536	14365	14821	7013	7213	7227	7190	7487	7684	6489	7438	6506	15196	16401	16796	6677	6688	6767	6881	6925	6734	8393	6937	6692	19843	15140	15620
0.266667	10894	11247	11484	11124	11281	11458	12234	11824	12108	16550	16640	16257	11185	9959	9078	14017	9466	9608	9372	8992	8991	13849	14135	13882	7991	8366	8294	8134	11671	9239	8473	7811	7977	12907	13126	13289	7485	7764	7423	7675	10460	15328	7429	7278	7290	14191	13213	14098	7443	7669	7469	7936	8789	7887	8248	7230	7501	15379	14767	16376	7355	7261	7263	7539	7327	7347	6277	7236	6902	15782	15128	15930	7017	7029	7098	7387	7234	7568	6522	7319	6718	16515	16982	17708	6579	6716	6696	6790	6900	6705	8586	6919	6922	21455	15685	16254
0.288889	11021	11385	11597	11111	11323	11413	12193	11975	11885	16576	16476	15798	11015	10040	9198	13995	9769	9806	9076	9067	9184	13863	14172	13636	8328	8326	8438	8289	11360	9202	8520	7635	7877	13096	13534	13559	7546	7679	7420	7670	10946	15374	7375	7206	7438	14781	13496	15173	7293	7642	7651	8000	8646	7765	8452	7075	7688	15963	15489	17476	7291	7123	7225	7573	7326	7501	6106	7338	7035	16852	16224	16950	6952	7246	7138	7258	7489	7649	6649	7332	6635	17918	18717	18929	6696	6869	6671	6749	6863	6669	8462	6950	6997	22550	16706	17626
0.311111	11031	11249	11544	10668	11240	11229	12215	11919	12062	16315	16762	16380	11327	10240	9071	14097	9601	9826	9180	9161	8963	14085	14517	13747	8343	8443	8351	8342	11415	9180	8437	7773	7807	13353	13999	14023	7502	7684	7487	7674	12199	15556	7463	7262	7352	15692	14036	15922	7391	7485	7653	8115	8477	7829	8440	7127	8021	17283	16634	18601	7198	7248	7329	7667	7306	7441	6204	7235	7161	18007	17420	17741	6819	7193	7147	7135	7304	7556	6340	7334	6841	19006	19286	20043	6743	6806	6690	6799	6750	6631	8475	7054	7004	23980	17892	18428
0.333333	11058	11299	11555	10902	11346	11450	12431	11999	12014	16487	16864	16245	11300	10004	8921	14026	9575	9826	9128	9239	9088	13948	14168	14172	8263	8418	8324	8361	11325	9304	8613	7790	8058	13719	14338	14182	7537	7783	7427	7723	13368	15699	7412	7166	7364	16664	14665	17132	7478	7579	7583	8126	8252	7785	8480	7113	8140	18272	17525	19541	7223	7108	7286	7357	7346	7412	6297	7264	6981	19295	18211	18562	7022	7117	7285	7190	7274	7650	6443	7266	6799	19241	20094	20313	6779	6828	6638	6809	6982	6722	8520	7165	6960	24845	18816	19245
0.355556	10873	11432	11513	10976	11169	11337	12458	12035	12158	16523	16968	16383	11497	10065	8959	13967	9475	9689	9041	9178	9166	13886	14310	14039	8187	8517	8129	8309	11414	8867	8555	7795	7939	14069	14495	14256	7608	7773	7406	7610	12949	15582	7495	7317	7221	17395	15599	18049	7372	7713	7466	8091	8056	7785	8542	7036	7769	19677	18796	20322	7446	7265	7301	7397	7406	7568	6287	7340	7083	20038	19016	18843	6821	7218	7225	7277	7298	7493	6509	7308	6817	19833	20647	20579	6742	6698	6797	6817	6889	6773	8355	7030	7047	25715	19125	19789
0.377778	11161	11208	11601	11067	11432	11502	12272	12063	12038	16862	16904	16521	11284	10268	9119	13764	9681	9667	9251	9169	9155	14062	14463	14042	8210	8650	8298	8275	11205	9144	8490	7777	7953	14306	15050	14788	7570	7847	7570	7521	11958	15907	7268	7260	7328	18651	16150	18725	7250	7706	7450	8060	7905	7802	8517	7120	7801	20661	19745	21191	7324	7295	7126	7368	7421	7641	6249	7098	6986	20567	19799	19380	6893	7133	7119	7235	7535	7614	6340	7458	6809	20224	21005	21296	6904	6804	6806	7044	7125	6818	8638	7168	7030	26635	20315	20900
