Time	B02	B04	B06	C02	C04	C06
0.000000	794	627	1199	723	718	1040
0.006389	781	612	1167	713	707	1017
0.012778	772	588	1151	725	684	1017
0.019167	755	598	1132	712	676	1001
0.025556	740	576	1125	711	662	1006
0.031944	735	571	1108	706	667	987
0.038333	736	561	1113	688	644	993
0.044722	713	552	1103	698	627	987
0.051111	720	542	1089	688	623	995
0.057500	705	544	1093	676	619	985
0.063889	703	545	1071	682	618	992
0.070278	711	541	1083	683	611	995
0.076667	698	537	1086	670	597	984
0.083056	706	533	1080	666	584	990
0.089444	692	525	1080	676	592	988
0.095833	691	513	1067	660	575	995
0.102222	683	511	1070	665	586	988
0.108611	679	512	1083	669	580	996
0.115000	691	499	1086	665	578	995
0.121389	680	493	1071	667	572	1003
0.127778	681	502	1078	664	570	1006
0.134167	678	489	1081	664	564	1013
0.140556	687	489	1075	678	566	1017
0.146944	685	491	1091	658	553	1006
0.153333	685	484	1097	661	557	1022
0.159722	684	491	1092	672	559	1006
0.166111	676	480	1100	670	552	1022
0.172500	680	476	1109	668	536	1032
0.178889	687	480	1099	668	538	1032
0.185278	681	471	1108	676	545	1035
0.191667	681	473	1110	670	553	1039
0.198056	692	472	1113	683	534	1039
0.204444	690	471	1139	671	540	1042
0.210833	681	467	1111	676	529	1042
0.217222	699	468	1131	673	532	1049
0.223611	688	468	1130	684	544	1062
0.230000	700	465	1137	689	534	1061
0.236389	699	470	1136	688	528	1080
0.242778	700	474	1154	692	539	1084
0.249167	704	473	1156	686	533	1074
0.255556	707	464	1157	701	526	1084
0.261944	700	468	1169	694	534	1094
0.268333	704	466	1174	692	528	1104
0.274722	711	454	1179	704	527	1110
0.281111	714	464	1191	696	528	1115
0.287500	711	463	1192	704	532	1116
0.293889	720	469	1204	705	523	1126
0.300278	723	462	1211	714	530	1137
0.306667	730	463	1208	719	521	1119
0.313056	733	471	1237	720	527	1153
0.319444	741	456	1213	725	524	1146
0.325833	742	465	1227	729	517	1146
0.332222	738	472	1251	722	531	1152
0.338611	760	462	1241	732	534	1176
0.345000	752	465	1256	737	530	1180
0.351389	751	466	1254	734	530	1197
0.357778	761	471	1260	733	529	1192
0.364167	757	466	1271	759	529	1197
0.370556	761	467	1275	744	531	1206
0.376944	767	468	1282	740	528	1212
0.383333	758	474	1300	760	538	1212
0.389722	761	462	1300	762	533	1216
0.396111	773	467	1302	767	544	1221
0.402500	782	474	1311	759	537	1249
0.408889	785	476	1327	775	529	1255
0.415278	791	476	1326	764	530	1261
