Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	C02	C03	C04	C05	C06	C07	C08	C09	C10	D02	D03	D04	D05	D06	D07	D08	D09	D10	E02	E03	E04	E05	E06	E07	E08	E09	E10	F02	F03	F04	F05	F06	F07	F08	F09	F10	G02	G03	G04	G05	G06	G07	G08	G09	G10
0.000000	32439	33402	32777	34428	34637	33550	33506	32863	32156	32142	32396	33261	33639	34045	33844	33741	33640	33731	32956	33487	33812	33774	33070	34108	35867	33675	35003	33873	34526	34138	34236	34168	33858	36169	37060	36814	36509	35744	35770	32918	34541	32644	38041	38583	36690	38100	38339	37575	31220	37572	33405	32347	31459	31468
0.012778	31680	31621	31464	32034	33677	32818	32291	31808	31429	31406	31779	31999	32707	33692	32669	32682	32755	33965	32572	32068	33632	33488	32033	32495	34401	33675	34839	33264	33526	34073	34080	32663	33581	36021	37200	35858	35259	35317	36336	33376	34630	31287	37648	37443	36403	37581	37272	37212	30829	36928	33179	32069	31512	31978
0.025556	31398	32133	32092	32154	33714	32360	31978	31592	31402	32034	32049	32155	32312	32749	33050	32487	33671	32472	32285	32931	33820	32600	32127	33016	34162	33619	33822	33132	33592	34014	33552	32571	33547	35488	36222	36109	34879	34317	35362	33282	34450	31906	37618	37256	36388	36075	37146	36345	30494	36949	33624	31666	30868	31888
0.038333	31407	31408	31483	32543	33566	32558	32709	31582	31390	31324	31682	32623	32860	33010	33141	33295	32882	32843	32678	33088	33511	32507	32240	32323	34599	32942	33683	33323	33725	33402	34138	33162	33046	35336	35577	35422	34945	34173	34774	33384	34783	32494	37312	36915	35893	36304	36493	36770	31018	36465	32741	31854	30613	31685
0.051111	30705	31627	31691	32775	33235	32929	32603	32450	31928	32236	32122	32724	33145	33050	33037	32635	32397	32878	32249	32632	32729	32492	31555	31936	34374	33860	33888	32679	33846	33259	33190	32121	33258	36145	35871	35332	35612	34217	35367	33478	34235	32076	36885	37301	36255	36645	36585	36850	31366	36580	32928	32171	31109	31607
0.063889	31282	32465	32405	32804	33587	32742	32630	32554	31994	32300	32759	32901	32615	32522	33255	32591	32400	32778	32107	32441	33443	32622	32333	32473	34199	33856	34517	32245	33311	32858	33425	32158	33067	34991	34998	35265	34982	35090	34836	33202	35147	32506	37109	36639	35946	36444	36149	36453	31176	36693	33458	31839	31694	32354
0.076667	32179	32282	32247	33567	33461	33586	33065	32951	33117	33688	32333	32817	32969	33530	33177	32491	32692	32717	32259	32809	32903	32253	32318	32885	34203	33587	33812	33098	32283	33307	33161	31865	32804	35737	35016	35868	34474	33938	34867	33908	35143	32455	37147	36804	35301	37013	36077	36722	32102	38131	33815	32998	32218	32575
0.089444	31586	33545	33217	34170	35012	34250	33408	33328	34214	32888	32531	33488	33841	34219	34206	31903	32363	33476	32386	32678	33641	32496	31850	32728	33602	32387	33107	32828	32515	32687	33539	31807	32239	35203	35387	35083	34800	33686	33931	34340	35965	32246	36899	36300	35152	36003	36182	36249	33278	37784	34737	33216	32784	34031
0.102222	33143	34360	33479	34380	35450	35521	34817	34239	35954	33642	33321	35123	33980	34761	34148	32516	33087	33071	32923	32600	33072	32318	32008	32379	34542	33072	34280	32630	32113	32671	33255	32109	32883	35262	34337	34730	34602	33753	34095	34589	36323	32751	36042	36706	35733	35460	36458	36101	35003	39499	36314	35661	34436	35265
0.115000	34416	35419	35474	36568	36405	36419	36467	36201	37390	34992	33735	35272	34852	35533	35471	33060	33240	33010	33185	33043	33366	31485	32560	32375	33967	33058	34014	32539	31936	32911	33285	32137	31987	35150	35307	34640	34648	33873	34123	35520	36953	33606	36774	36581	34696	36023	35582	35988	36687	41677	38107	37374	36225	37681
0.127778	35709	38107	37621	38251	38412	38180	38400	38848	40777	35569	35022	36162	35448	36924	37247	33103	33379	33857	32986	33318	34273	32104	31917	32709	33511	33574	34078	32120	32414	33067	33072	31730	32839	34755	35588	34828	34083	33909	33829	35865	38288	34897	36586	36170	35376	36783	35337	35672	40570	44850	41099	39384	38027	40156
0.140556	37659	40239	38953	40816	41167	40990	40341	41743	44121	37833	36635	38247	36757	38419	39892	34334	33222	34398	33157	33458	33953	32806	31517	32541	34080	33140	34268	32016	31775	33577	33179	32075	32845	35081	34935	34297	34306	33742	33772	37159	39590	35931	35698	36341	34941	36439	35314	35898	44288	49099	45375	43973	42423	44984
0.153333	39329	43890	42548	43682	44291	44173	43365	44303	48369	39042	38857	40662	38605	40335	41006	34056	34800	34601	33185	33395	34772	32692	31904	32339	33394	33078	34089	32207	32439	32422	32062	32315	32126	35204	35348	34321	34215	33095	34161	38432	41382	37475	35870	36272	34683	36058	35870	35904	48632	53889	49014	47814	45678	48783
0.166111	42430	47471	45713	47277	47869	47149	47153	48409	52449	41575	40962	43958	40202	42436	44903	34806	34639	36831	34148	33917	35337	32587	32511	32133	33489	33353	34158	31582	32462	32278	32211	31482	32649	34353	34247	34680	34100	33803	33685	40901	43637	39316	36670	36179	35119	35949	35818	35814	52764	58547	53593	51754	50857	52758
