Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.000000	15715	16245	16108	16663	16720	16335	17368	17381	17618	16709	16216	21269	17468	17407	17693	23500	18420	18647	24621	22396	20889	22472	24408	27510	28302	28835	28813	28951	29199	28328	51202	50523	50687	50815	48956	48513	107425	110627	113250	111846	117244	115115	15486	15652	16700	16196	15850	14969	15473	17318	16434	16976	16683	17258	17403	16383	16308	17481	16032	16106	17654	18708	17412	18358	19955	18724	21280	22037	21983	21807	21522	22581	31552	32745	32904	33574	33367	36376	74010	81697	76016	74937	72995	72983
0.039167	15098	15235	15538	15117	15413	15755	15911	16508	16679	15647	15368	20487	16458	16527	16623	21125	17360	17804	23182	23930	19323	21707	22337	28493	25537	26378	26654	26837	26956	26653	47026	47493	46671	46652	45686	44575	96949	101806	101299	103553	107792	106055	15319	15183	16199	15475	15312	14716	14800	16540	15837	16882	16237	16726	17897	16056	15887	16961	15438	15437	17165	18224	16617	17728	19084	17719	20232	21412	21501	21266	20339	21402	28849	30367	30254	31579	30786	34517	68197	76827	69701	68626	67042	66514
0.078333	14325	14910	14906	15311	14962	15448	15501	15867	16198	15211	14961	19777	16209	16441	16334	20361	16398	17323	21704	20041	18770	20464	21101	26927	24513	25164	24464	25700	25313	25019	44003	43855	43740	43321	42195	41883	88199	94675	95770	95119	99909	98118	14523	14877	15511	14640	14907	14518	14801	15762	15881	16453	15950	16602	17205	15869	15664	17028	15408	14827	16672	17177	16434	17195	18860	17405	19407	20502	20749	19631	19486	20986	27693	29202	29203	29900	29332	33228	63011	72474	65972	64509	62566	61871
0.117500	14486	14593	14876	14510	14529	15389	15097	15280	16547	14843	15035	18577	15648	16053	16462	19187	16150	17052	21453	19089	18269	20166	19947	25946	23016	23417	24046	24063	24877	24728	41868	41755	41361	41752	39985	40193	83315	87243	89488	88570	94155	92111	14601	14704	16304	14895	14384	14002	13995	15622	15808	16151	15313	16076	15954	15289	15086	16537	15208	15107	16125	17377	15923	16877	18200	17554	19245	20256	19973	19624	19090	19826	26167	27545	27683	27685	27816	31688	60258	68685	61735	61162	59501	58900
0.156667	14031	14160	14401	14548	14838	14933	14957	15712	15638	15069	14651	18387	15252	15648	15717	18569	15745	16376	20292	20419	17672	19623	20073	25859	23143	23378	23217	23734	23542	23564	40120	40239	39724	39448	38418	39013	79667	81862	84909	85139	88566	87502	14213	14195	15516	14644	14370	13924	14570	15808	15461	15789	15681	15541	15563	15144	15151	16146	14729	14841	16291	16731	15622	16398	17824	16373	19200	19735	19005	19264	18730	18945	25186	26252	27201	27223	27042	31098	58156	66902	59566	58882	56848	56758
0.195833	14322	14153	14559	14482	14761	14815	14857	15707	15895	14873	14576	18126	14811	15805	15619	18015	15580	15890	19778	18838	17390	18973	19706	25218	21927	22305	22454	23648	22773	23079	38403	38688	38219	38092	37021	36620	76796	79835	81210	81475	85361	83917	14352	14205	15605	14673	14328	13847	14437	15082	15360	15748	15097	15822	15499	15235	15389	15972	14685	15228	15822	16691	15617	16490	17480	16422	18806	19064	18997	18922	18453	19720	25117	26305	26003	26294	26557	30177	56219	65272	57131	57198	55347	55768
0.235000	14097	14103	14118	14668	14385	15358	15686	15509	16137	14974	14373	17989	15389	15020	15793	17096	15803	16407	19625	18565	17392	19218	19122	24828	21511	22067	22318	22944	22517	22537	36716	37464	37364	36533	36268	36316	74665	77388	78151	78555	83447	80921	14318	14062	15618	14357	13883	14237	14379	15315	14929	15507	14922	15410	15214	15197	15116	15942	14832	14788	16182	16402	15824	16236	17582	16136	18233	18706	18502	18563	18134	19049	25070	25744	25767	26250	26580	28895	54617	63894	56491	56507	55259	54681
0.274167	14276	14594	14568	14542	14564	14757	15006	15137	15099	15373	14893	18092	15098	15365	15716	16867	15554	16119	18886	20424	17020	19244	18847	24832	21265	21967	22099	22154	22319	22062	37239	36399	37069	36432	35614	36359	72766	74506	76279	77090	81562	78908	13854	14409	15292	14382	13870	14018	14556	15263	15075	15855	15085	15764	15386	14918	15043	15575	14939	14369	16333	16066	15114	16288	17774	16154	18334	18472	18121	18779	18164	19479	25116	25745	25627	26316	25937	29241	53767	63780	55444	55021	53344	54326
0.313333	14759	14489	14658	14651	14897	14882	15010	14976	15898	14632	14767	17562	15559	15598	15394	16899	15499	15970	18707	20595	17336	19490	18284	24643	21810	21757	22156	22411	22563	21712	35835	36198	36128	35491	34702	35845	72437	74600	75818	74897	80833	77575	14516	14354	15264	14591	14023	14715	14393	15270	15330	15689	15032	16192	15216	14904	15003	15998	14863	14930	16269	16817	15328	15999	17729	16526	18212	18748	18730	18317	18007	19083	25002	25874	25547	25834	25738	28956	54051	62854	55094	54600	53373	55893
0.352500	14871	14460	14416	14710	14870	14901	14978	15064	15692	15302	14288	17430	15720	15720	15740	17270	15595	16367	18982	22100	16763	19403	18235	24432	22042	21683	22274	22539	21783	22562	35912	36048	36173	34916	34968	36116	71785	73053	74843	74656	79548	76320	14356	14475	15325	14621	14204	14399	14599	15751	15395	15826	15135	15612	15729	14908	15439	16399	14833	15516	16632	16831	15441	16274	18522	17022	18254	18536	18689	19000	18378	19551	24991	25839	25784	26030	26269	28676	54119	62641	55190	55215	52539	55035
