Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.000000	7955	4168	2992	2815	2482	2959	9303	4774	3280	3203	2839	2732	7936	4115	2977	2680	2520	5916	8872	4759	3858	3024	4107	2902	7957	4100	2913	2492	2637	2512	9415	4607	3199	3051	2920	2648	7684	4129	2909	3617	2525	2527	8567	4561	3356	2846	2643	2745	42752	14985	6056	3972	2760	2452	44408	14800	6514	3889	2897	2725	42322	14415	5931	3716	2784	2637	44634	15186	6762	4197	6232	2595	41238	14889	6186	3569	3088	2428	42968	15418	6476	3723	3460	2896	40998	14185	5940	3730	2890	2570	41320	14495	6191	3854	3417	3003
0.016667	7808	4057	3078	2650	2692	2946	9255	5006	3228	3181	2800	2732	7972	4097	3100	2729	2417	5507	9140	4783	3884	3082	3649	2838	7801	4020	3011	2476	2556	2605	9297	4677	3200	2954	3032	2652	7583	4262	2849	3556	2444	2501	8847	4520	3316	2799	2628	2832	42538	14469	6068	3716	2757	2546	44756	14461	6360	3716	2974	2707	42604	14008	5697	3412	2777	2633	44530	14944	6496	4144	5980	2526	41306	14740	6074	3502	2868	2433	43823	15096	6378	3776	3300	2868	41229	14072	5971	3427	2780	2460	40783	14840	6103	3812	3286	2887
0.033333	7953	4010	2985	2699	2452	2846	9693	4903	3431	3176	2878	2602	8096	4210	2937	2621	2543	5383	9454	4784	3924	3086	3770	2916	8000	4197	2945	2680	2481	2590	9429	4602	3271	3024	2968	2605	7662	4224	2763	3332	2500	2369	8740	4729	3319	2932	2583	2827	42631	14379	5887	3778	2741	2436	44965	14736	6238	3906	3056	2610	42797	14145	5664	3533	2776	2500	44683	14873	6556	4177	5351	2613	41664	14571	5917	3583	2776	2511	43418	14700	6348	3812	3246	2787	39893	13852	6012	3270	2731	2409	40923	15060	6067	3917	3119	2746
0.050000	8176	4121	2956	2664	2387	2712	9956	4906	3325	3005	2709	2638	8313	4234	2903	2733	2482	5260	9500	4945	3656	2950	3773	2829	8353	4229	2786	2664	2421	2576	9705	4714	3233	2917	2952	2599	8247	4418	2983	3386	2484	2474	9142	4807	3369	2808	2556	2749	41072	14101	5960	3657	2790	2460	45033	14670	6420	3783	2998	2556	41440	14721	5740	3396	2827	2548	44870	15116	6561	4099	5000	2537	39611	13964	5769	3484	2685	2451	44199	14804	6352	3653	3261	2801	39106	13804	5867	3468	2689	2453	41584	14802	6118	3714	3228	2648
0.066667	8599	4413	2984	2634	2422	2599	10073	5060	3250	3163	2966	2496	8666	4411	3000	2627	2458	5539	9835	4992	3853	3053	3733	2818	8675	4336	2955	2716	2488	2516	10092	4716	3327	2926	2940	2620	8481	4414	2840	3334	2516	2449	9400	4883	3306	2748	2604	2728	41136	14096	5924	3602	2838	2422	45420	14344	6544	3838	2996	2522	41295	14096	5808	3600	2642	2586	45186	15118	6535	4069	4774	2568	39313	14206	5746	3426	2738	2366	43438	14916	6425	3725	3116	2780	39681	13692	5730	3260	2648	2404	42440	14694	6067	3684	3143	2752
0.083333	9280	4600	2955	2430	2567	2579	10316	5054	3310	3296	2775	2576	9229	4446	3000	2584	2502	5562	10208	4963	3791	3000	3585	2802	9128	4484	2969	2728	2466	2484	10610	4996	3163	3064	2913	2580	9146	4622	2877	3339	2427	2506	9774	4951	3384	2808	2552	2748	40958	14438	5923	3684	2753	2412	46101	14856	6421	3899	2954	2731	42168	14120	5600	3477	2664	2561	45125	14937	6520	4171	4582	2475	40255	13930	5764	3288	2708	2434	44289	14831	6220	3792	3228	2846	40082	14147	5734	3315	2737	2532	42465	14859	5975	3796	3203	2700
0.100000	10400	4700	3041	2536	2371	2483	10375	5272	3368	3266	2808	2664	10170	4619	2995	2543	2575	5789	10326	5076	3640	3004	3610	2858	10226	4708	2864	2560	2559	2441	10536	5023	3259	2956	2860	2769	10021	4783	2892	3384	2546	2509	10231	4996	3335	2795	2592	2675	41527	14375	6015	3655	2702	2392	46296	15204	6484	3812	2997	2585	41382	14108	5708	3442	2692	2584	45328	15378	6533	3961	4269	2450	40124	14544	5794	3381	2696	2378	45213	15204	6393	3724	3088	2883	42126	13962	5771	3444	2625	2369	43061	15340	6109	3705	3246	2831
0.116667	12329	5196	3137	2792	2476	2554	10860	5170	3420	3436	2733	2517	11593	4957	3060	2593	2530	5828	10810	5148	3834	3016	3477	2826	11585	4947	2902	2724	2409	2484	10588	5100	3410	3026	2783	2626	11460	5074	3052	3429	2448	2396	10212	5136	3424	2779	2700	2789	42801	14233	6096	3691	2719	2463	46760	15152	6613	3948	2934	2613	42720	13966	5820	3556	2746	2436	46764	15504	6790	4375	4064	2479	41738	14104	5887	3370	2676	2281	46452	15902	6463	3821	3226	2828	43558	14265	6016	3358	2677	2425	44473	15629	6431	3935	3316	2595
0.133333	14455	5964	3294	2594	2491	2548	11164	5126	3415	3476	2668	2560	13322	5669	3190	2702	2425	6036	10905	5339	3911	2973	3580	3033	13479	5566	3133	2624	2437	2331	11087	5252	3284	2891	2829	2565	13209	5608	2980	3279	2555	2462	10743	5176	3440	2794	2677	2792	44002	15116	5838	3535	2648	2438	46870	15721	6414	3868	2905	2606	43296	14633	5816	3473	2593	2533	47183	16025	6672	4032	3959	2528	41920	14314	5846	3432	2751	2366	46905	15897	6649	3838	3171	2723	45887	14792	5794	3404	2792	2406	44765	15671	6452	3784	3217	2748
0.150000	16532	6877	3420	2768	2539	2558	11524	5420	3305	3411	2860	2728	16087	6281	3324	2828	2472	6146	11005	5349	3908	2967	3577	2989	15582	6264	3247	2652	2410	2416	11292	5255	3524	3036	2903	2748	15073	6206	3238	3369	2404	2335	10993	5128	3400	2792	2606	2745	44854	15034	6106	3624	2780	2369	47512	15364	6754	3868	2952	2560	44930	14891	5957	3452	2735	2286	48240	15948	6768	4144	3880	2603	43712	14776	5900	3301	2713	2330	47700	16186	6512	3877	3176	2902	49973	15848	6128	3395	2814	2362	45872	16153	6546	3862	3332	2648
