Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.000000	15744	14704	14116	13639	13716	14849	13564	13420	13214	13366	14720	13280	15577	14607	15033	14068	13830	13980	13660	13259	14706	13767	13334	13342	22171	15614	13922	13630	15902	15031	14011	13507	13628	13309	15364	13283	14953	14967	14481	13752	14234	13650	13503	13393	13725	13587	13498	13101	15381	14251	13465	13930	13793	13408	13713	13880	13060	12863	13608	13302	17025	16584	13068	12912	13309	13472	13301	12932	13055	12785	13603	13122	15353	14063	13343	13201	13346	13297	13822	13550	12948	13074	13303	13476	14514	13531	12717	13204	13214	13033	13257	13318	13194	13070	12726	13700
0.022222	14925	14055	13556	13204	13388	14162	13165	13114	12715	13099	13746	12451	14790	13938	14288	13604	13679	13349	13388	12935	13944	12853	12847	12666	21513	15073	13488	13044	15441	14709	13472	13307	13342	13030	15243	12481	14219	14337	14009	13529	13575	13055	12820	13024	13852	13137	13359	12518	14780	14106	13262	13471	13475	13044	12832	13302	12558	12722	13470	12657	16635	16147	12891	12688	12894	13320	12866	13216	12685	12532	13085	12572	14974	13688	12992	12889	12943	13069	13366	13019	13269	12766	13166	13188	14224	13022	12385	12942	12763	12853	12728	12449	12783	12836	12478	13449
0.044444	14223	13782	13209	13184	12870	13734	12814	12623	12425	12890	13969	12267	14681	13767	13946	13164	13261	13197	13301	12712	13814	12830	12604	12869	21064	14434	13097	12946	14950	14917	13706	12825	13216	12470	14961	12364	13999	14124	13814	12833	13352	12922	12550	12883	12944	12894	12908	12335	14414	13629	13096	13196	13316	12955	13063	13025	12516	12632	12922	12619	16499	16081	13003	12493	12656	12946	12675	12408	12568	12641	12974	12503	14622	13294	12354	12593	12884	13012	13144	12750	12926	12325	12522	12809	13721	12813	12243	12644	12472	12711	12673	12604	12679	12445	12204	13567
0.066667	13965	13336	12880	12540	12760	13369	12646	12591	12730	12450	13034	12062	14203	13328	13900	12969	13081	12861	12933	12462	13277	12775	12352	12400	20742	14380	13018	12760	14884	14103	13294	12849	12835	12783	14585	12176	13864	13854	13575	13302	13184	12777	12439	12503	12646	12679	12874	12339	14598	13727	12822	12884	12868	12475	12954	13186	12311	12469	12946	12320	15582	15435	12565	12000	12690	12940	12586	12134	12404	12361	12709	12135	14154	12981	12573	12700	12472	12788	13013	12889	12395	12309	12782	12628	13511	12599	12180	12327	12585	12658	12344	12233	12560	12395	11902	13228
0.088889	13962	13315	12897	12342	12584	13202	12657	12528	12359	12101	12724	11946	13828	13212	13458	12869	12912	12706	12825	12546	13457	12576	12005	12412	20486	13987	13025	12728	14726	13944	13224	12479	12794	12607	14681	12347	13426	13746	13685	12976	13090	12998	12478	12621	12494	12639	12466	12096	13603	13251	12756	12908	12834	12297	12463	12994	12427	12162	12582	12234	15358	14874	12293	12190	12311	12865	12495	12525	12383	12002	12845	12264	14080	12939	12532	12445	12503	12636	12878	12648	12362	12360	12259	12594	13536	12382	11973	12544	12403	12520	12325	12210	12581	12332	12096	13353
0.111111	13783	13095	12783	12408	12388	13364	12229	11823	12197	12252	12535	11789	13954	13017	13165	12987	12712	12969	12345	12496	13122	12456	11978	12294	20636	13914	12864	12638	14431	13731	13087	12562	12544	12232	14207	11902	13364	13569	13667	12915	12957	12760	12163	12633	12737	12387	12485	12144	13788	13220	13022	12753	13114	12414	12328	12897	12078	12036	12663	12367	15290	14761	12486	11971	12244	12455	12318	12054	12319	12144	12538	12189	13902	12810	12411	12249	12407	12626	12934	12417	12435	12187	12427	12526	13308	12628	12116	12162	12502	12182	12305	12119	12275	12078	12039	13583
0.133333	13486	12998	12684	12281	12354	13031	12527	12406	11874	12249	12547	11953	13453	12845	13381	12473	12748	12389	12500	12361	12561	12290	11998	12161	20562	13605	12664	12490	14002	13759	13325	12582	12355	12333	14073	11946	13329	13371	13363	12664	13205	12620	12152	12469	12773	12225	12315	11723	13455	13214	12555	12928	12874	12283	12657	13032	12121	12272	12622	12073	14792	14320	12148	11954	12293	12632	12181	12002	11962	12156	12548	12016	13723	12686	12658	12276	12519	12452	12589	12281	12343	11966	11961	12530	13562	12637	11483	12191	12183	12548	12244	11810	12179	12135	11913	13141
0.155556	13725	12582	12536	12030	12246	12878	12372	11871	12240	12105	12447	11962	13864	12788	13290	12635	12825	12393	12524	12254	12657	12370	11788	11980	20638	13799	12584	12398	14305	13370	13067	12415	12352	12182	13863	12001	13102	13213	13299	12958	12597	12355	12340	12517	12283	12251	12080	12222	13532	12889	12078	12605	12615	12478	12482	12797	11926	11980	12261	12163	14819	14267	12265	11910	11980	12408	12469	11885	11794	11785	12373	11828	13651	12537	12287	12331	12232	12111	12643	12356	12429	11853	12353	12490	13247	12432	11952	12063	12305	12205	12095	11986	11995	11732	11800	13367
0.177778	13416	12752	12512	12319	12107	12755	12123	11983	12025	12131	11964	11821	13560	12726	13141	12387	12531	12353	12605	12023	12462	12289	11925	11943	20869	13774	12440	12211	14139	14013	12934	12222	12312	12001	13935	11561	13382	13211	13212	12582	12419	12252	12259	12158	12194	12286	12201	11987	13841	12919	12373	12301	12650	12153	11982	12900	11937	11854	12119	12017	14819	14203	11871	11608	11912	12245	12412	11824	11957	11857	12134	11960	13735	12597	12318	12157	12005	12241	12788	11938	12297	11977	12010	12508	13279	11977	11465	11940	12355	12336	12252	12401	11988	11867	11469	13180
0.200000	13557	12583	12698	11897	11960	13289	12115	11826	12084	11820	12161	11923	13420	12680	12824	12389	12379	11886	12276	11821	12417	12330	11914	12131	20868	13718	12319	12516	14264	13497	13084	12271	12281	11948	14012	11992	12876	12905	13322	12578	12083	12354	12172	12080	12181	12244	11976	11709	13449	13063	12345	12559	12141	12067	12044	12575	11592	11606	12121	12104	14677	14118	11979	11714	11800	12081	12082	11629	11704	11873	12150	12050	13529	12477	11973	12004	12226	12106	12693	11969	12003	12020	12214	12253	13488	12388	11605	12062	12371	12158	12132	12340	12113	12154	11813	13161
