Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.000000	28525	30434	30427	30971	31078	30547	30848	31104	30332	31137	29552	29596	28380	29534	29940	30084	31044	30316	30758	30975	30211	30271	29979	30173	28614	30044	29521	31034	30681	31018	30835	30741	30684	30856	29815	29923	28367	28296	30024	29551	29714	30328	30656	29847	30090	29678	29548	28871	27415	28260	33879	44741	29887	30038	30448	29941	29963	31231	28959	32373	27270	27877	28106	28775	29140	29453	29885	29736	29513	29902	30347	30583	26796	27556	28484	29074	29357	30140	29655	29785	29459	29921	29200	29943	29167	27627	27182	27638	28459	28142	28193	28752	28269	28628	28749	28688
0.022222	27223	29136	29065	29472	29396	29820	29927	29731	29310	29716	28999	28534	27524	28088	29657	29401	30033	29639	30016	30342	29112	29560	29126	29196	27651	29341	29164	29675	29761	30583	30155	30229	30166	29797	29119	29093	27341	28220	29337	28635	29235	29384	29752	29036	29394	29222	29341	28463	26943	28028	33546	44422	29119	29598	29717	30174	29245	30486	28542	31048	27029	27159	28224	28798	28713	29163	29057	29215	29750	29052	29652	29412	26316	27075	28525	28722	29052	29556	29701	29501	29039	29429	28566	29592	29008	27046	26125	27205	27608	27737	27257	27915	27575	28201	27971	27634
0.044444	26865	28394	28983	29201	29323	29527	29437	29219	29113	28886	28531	27800	27422	27611	28624	29114	29590	29208	29638	29775	29367	29245	28503	28993	27201	28857	28357	29676	29834	29970	29963	29538	30141	29434	28527	28618	26761	27878	29123	28514	29054	29999	29375	29336	29287	29374	29080	27751	26304	27172	33956	44655	29167	29806	29995	29272	29227	31100	28106	31161	26535	27031	27669	28027	28597	28663	28993	28493	29220	29013	29516	29051	25969	26796	27991	28216	29213	29088	28646	28914	29053	29145	28178	29320	29042	26852	26388	26613	27470	27733	27718	28154	27676	27555	27618	27733
0.066667	26285	28397	28186	28541	28927	29188	29852	28894	28617	28777	28473	27540	26801	28012	28687	28722	29480	29660	29421	29627	29263	29009	28128	28231	26765	28459	28466	29457	29557	30097	29839	29714	29353	29665	28040	28728	26664	27449	28647	28480	28993	29304	29499	29003	29040	29060	29024	27047	26404	26956	34596	43632	29191	28695	29148	29439	28958	30592	28191	30376	25906	26909	27215	28132	28598	28563	29151	28917	28649	28868	29582	28473	25670	26513	28110	28015	28461	28772	28769	29020	28718	28674	27954	28947	28680	26763	26167	26457	27352	27334	26839	27510	27486	27248	27412	27267
0.088889	26268	27810	28596	28574	29173	29103	28963	28491	28737	28654	27864	27847	26494	27852	28462	28733	28926	29461	29188	29556	29023	28935	28101	28227	26893	28793	28502	29712	29439	29889	29467	29907	29999	29425	28560	27887	26656	26940	28656	28118	29291	29207	29461	28853	28727	28501	28106	27289	26188	26992	34764	44213	28777	29361	29466	29052	29267	30186	27945	30451	25766	26911	27114	27991	28396	28320	29005	28597	28465	28227	29023	28620	25543	26651	27365	28050	28698	28675	28621	28779	28353	28586	28108	28729	28452	26244	26303	26744	27423	27446	27221	27414	27151	26834	27256	27462
0.111111	26278	27673	28196	28299	28791	29158	29343	28629	28297	28510	27930	27244	26075	27769	28306	28875	29194	29293	29098	29159	28785	28909	28303	27733	26480	29067	27845	28906	29187	29807	29520	29382	29268	28983	28402	28199	26709	27037	28642	28366	28805	28892	28728	28845	28745	28463	28307	26921	26031	26987	35437	43842	28526	28921	29399	29024	29038	30067	27925	30369	26171	26727	27251	28343	28046	28717	29117	28143	28724	28566	28989	28041	25582	26248	27700	27871	28447	28878	28583	28404	28728	28677	27981	28565	28500	26496	26099	26730	27136	27404	27093	27271	27351	27009	27601	26798
0.133333	26123	27823	27595	28481	28859	28489	29070	28913	27774	27925	27781	27458	26080	27377	27903	28328	28937	29370	29138	29032	28795	28507	28078	27899	26521	28326	27857	29015	29285	29754	29288	28970	29144	28206	28132	28607	26266	27275	28393	27879	28578	28824	28806	28934	28602	28794	28210	27382	25729	26400	36447	44118	28533	28493	29281	28742	28513	30464	27909	30114	25937	26587	27311	27704	28083	28279	27899	27989	28424	28332	29035	28142	25368	26131	27187	28107	28547	27784	28613	28463	28117	27860	27805	28245	28413	26289	26347	26206	27279	26779	27132	27146	27156	26897	27093	27281
0.155556	26436	27318	27369	28345	28641	29047	28420	28601	28647	28465	27686	27121	25874	27373	28375	28406	28866	28920	29407	28830	28869	28358	28009	27626	26044	28603	27923	28885	29399	29268	29364	28994	29424	28766	27815	27991	26498	26950	28473	27710	28795	28223	28894	28885	28633	28200	28244	26736	26061	26524	36802	44281	28445	28778	28983	28798	28590	31345	27799	29645	25395	27199	26887	27260	27781	28351	28144	27800	28214	27742	28676	28186	25308	25995	27525	27768	27991	28207	28284	28306	28306	28086	28054	29005	27969	26644	26632	26505	27450	26534	26876	27289	27140	27049	26883	27026
0.177778	25869	27079	27627	28015	28494	28892	29161	28108	27991	28183	27769	27482	25979	26884	27873	28068	28955	28976	28878	28980	28314	28676	27572	27957	26298	28230	27246	28895	28931	29366	29302	29230	28864	28647	28172	28193	26174	26967	28133	27131	28345	28695	28576	28389	28237	28103	28199	27243	25893	26579	37654	44052	28412	28765	28514	28768	28282	31450	27395	29398	25767	26712	27183	27132	28171	27915	28220	28213	28079	28320	28298	28150	25439	26077	27330	27241	28258	28552	28163	28448	28118	28043	27763	29219	28300	26037	26043	26040	27034	27158	26304	27075	26783	26585	26922	26730
0.200000	26182	27069	27221	28329	28851	28776	28674	28102	28006	28109	27519	27927	26007	27212	27960	28145	28404	28780	28410	28961	28159	28493	27937	28199	26133	28033	27220	28814	28961	29089	29236	28886	28869	28290	27933	28047	26266	26738	27956	27546	28691	28496	28546	28309	28020	27978	28038	26832	25718	26406	38841	43728	28276	28186	28774	28456	28338	32013	27071	29888	25479	26599	26800	27636	27667	28123	28182	27990	28367	27921	28374	28138	25439	26293	27417	27762	28326	28227	28566	27885	27861	28332	27702	28952	28165	26464	26306	26248	27255	26701	26605	26727	26860	26663	27118	27125
