Time	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.000000	80281	45964	30711	21654	18025	16181	15081	15352	15051	14611	13976	93070	76544	45747	29668	22266	17829	16299	15355	14561	14783	14707	14017	108186	76167	46042	30411	21778	17628	16050	15389	14563	14617	14570	14581	94714	74885	45440	29474	21296	17403	18750	14334	14724	14746	14077	14983	92148	74592	44599	29736	22021	17998	16124	15412	15588	15030	14885	14639	93988	72051	45113	28996	21066	18387	15764	15308	15237	14906	14893	15012	73482
0.016667	78802	45424	30535	21687	18150	16180	15000	15011	14980	14449	14085	97307	76828	45523	29750	22205	17769	16591	15424	14972	15338	14950	13767	108096	76520	46325	30402	21971	18078	16172	15141	14806	14315	14686	14631	98111	76175	45696	29314	21454	17168	18037	14413	15122	14797	14317	14973	89962	73974	44536	29744	21820	18331	15939	14990	15527	14981	15152	14472	93716	70547	44368	29690	21152	17750	15345	15925	15080	15040	14879	14935	70688
0.033333	79450	45992	31119	21555	17947	15665	14947	14690	14878	14590	13910	97075	76185	45991	29507	21919	17841	16581	15608	14801	15164	14787	14056	106928	76355	46552	30374	22004	17831	15883	15018	15020	14384	14448	14912	95528	75667	45429	29121	21137	17874	18519	14403	15032	15115	14631	14875	94108	73014	44383	29720	21677	18084	15803	15580	15982	15038	15192	14757	95072	72062	44102	29143	21329	18380	15233	15570	15489	15001	14615	15039	73075
0.050000	78805	46758	30814	21185	18087	16277	15453	14747	14831	14502	14228	96380	76488	46162	29300	22024	17560	16338	15420	14422	15130	14286	14017	103817	76605	46512	30337	21615	17816	16163	15352	14798	14771	14565	14522	97329	75113	45126	29368	21641	17195	18227	14541	14653	14797	14175	15154	91694	72382	45491	29640	21822	18228	15748	14880	15934	15181	15361	14661	98683	72402	44802	28645	21260	18272	15308	15817	15354	14769	14695	14851	73764
0.066667	79106	45720	30683	20977	18350	15742	14955	14804	14526	14509	14045	92663	77248	46280	29635	22079	17763	16643	15699	14500	15062	14500	13946	105527	75182	46657	30713	21907	18235	16098	15047	15209	14606	14765	14363	96605	75722	45619	29729	21237	17236	18241	14050	14844	15008	14194	15001	92885	73092	44419	29514	21557	17867	15733	15383	15772	15303	15346	14282	96444	71617	44664	29040	21113	17955	15317	15701	14935	14868	14706	15068	75738
0.083333	78756	45099	30722	21253	18136	16131	15131	14914	14561	14280	14480	91044	77152	45628	29580	21741	17413	16437	15581	14961	15003	14934	14327	104492	75608	46632	30554	21822	17875	16275	15229	14822	14694	14457	14591	94200	75167	44910	29233	21066	17776	18459	14420	14805	14656	14298	14782	93345	72889	44197	29601	21255	17694	16014	15357	15680	14859	14968	14659	96681	71646	44942	29210	20737	17619	15356	15909	15398	14720	14897	14923	75331
0.100000	78171	45366	30948	21500	17752	16017	15215	14692	14777	14311	14264	92831	77334	45643	29434	21689	17940	16470	15400	14711	14996	14508	14305	105652	76446	46181	30261	21955	17975	16305	15547	14757	14783	13936	14478	92356	75371	45581	29223	21113	17630	18675	14485	14638	14824	14495	15015	89792	73412	44348	29027	21738	17734	16083	15205	16191	14794	14970	14694	95640	70904	43776	29077	21333	17956	15374	15398	15058	15025	14647	14681	74670
0.116667	78711	45836	30569	21656	18325	15967	14950	15274	14594	14300	14242	93676	76258	45803	29956	21836	17538	16736	15445	14782	15260	15064	14414	104995	76331	46170	30481	21848	17740	16242	15173	14951	14530	14628	14802	92695	75705	45067	29525	21467	17347	18509	14190	14818	14988	14317	14970	91075	73791	44520	29519	21590	18348	16149	14992	16225	14669	15574	14665	98199	71603	44052	29165	20657	18042	15199	15829	15214	14787	14762	15036	78450
0.133333	79292	45386	30648	20876	18346	16064	14709	14672	14935	14230	14365	93420	76639	45805	29236	21530	17488	16374	15638	14477	15163	15270	13909	107843	75974	46870	30356	21951	17809	16528	14952	14848	14525	14405	14458	94584	74808	45377	29493	21246	17845	18186	14240	14989	14652	14491	14819	92969	73803	44462	29858	21602	17871	15778	15141	15888	15095	15139	14517	96152	71263	45157	28992	21068	17841	15137	15595	15393	14779	14999	15166	82018
0.150000	78996	45852	30688	21379	18176	16056	15410	14711	14472	14306	14105	90470	76455	45728	30046	21470	17803	16517	15795	14713	15295	14537	14277	103317	76310	46292	30565	21314	18103	16261	15283	14708	14774	14562	14505	94935	75559	45749	29477	21245	17444	18253	14292	14959	14745	14630	15062	90586	73892	45217	29008	21682	18037	15880	15561	15454	15255	14879	14525	95624	71113	44646	29159	20962	18071	15209	15308	14965	14662	14614	14863	78062
0.166667	79271	46207	30918	21384	18516	15625	15139	15039	14611	14191	14496	91214	78120	45485	29452	21603	17550	16789	15501	14793	14995	14397	13949	104115	75777	45704	30323	22182	17698	15931	15104	14771	14655	14756	14289	95162	75533	45909	29297	21210	17663	17994	14494	15045	14719	14427	14966	91722	73549	44743	29568	21150	18305	16136	15360	15583	14863	15105	14770	96870	72304	44597	29413	20601	18325	15298	15503	15413	14860	14816	15052	77477
0.183333	78849	46051	30774	21414	18163	15940	15043	15006	14956	14233	14092	90305	76200	46282	29769	21637	17391	16596	15197	14851	15211	14746	14369	105565	76240	46839	30777	22119	17621	16231	15050	14631	14732	14594	14935	93970	75109	44791	29392	21408	17870	18438	13854	14992	14867	14207	14746	89674	72755	44132	28828	22234	17675	16263	15240	15759	14992	15157	14624	96846	71452	44562	29569	21187	17876	15290	15195	15459	15005	14762	14641	79759
