Time	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.000000	17215	17522	17561	19360	17793	18384	17527	17509	17367	17574	17900	16760	16975	17106	17276	17677	17834	17684	18056	17856	17533	17449	17387	16817	17672	18789	17880	18335	18280	18078	18200	18221	17997	18341	18158	17298	18858	19072	20036	18880	19562	19253	21348	21514	20916	21746	21028	20252	23524	24622	25537	25422	24948	25827	33322	32903	32659	33283	31929	30378	41130	42575	43306	42964	43041	41894	64575	62729	64981	63764	67369	59639	98014	105216	101243	106038	101707	97065	16564	17286	15399	14947	14580	15006
0.019722	16845	16974	17264	18281	17072	18236	17047	17095	17003	17378	17207	16021	16493	16990	16734	17369	17391	17186	17320	17065	17029	16960	16644	16835	17217	18419	17126	17880	18042	17521	17771	17992	17710	17736	17140	16774	18274	18813	19415	18878	19261	18892	21160	20592	20619	21027	20501	19590	23761	24061	24083	24235	23854	24518	31688	30544	31130	31629	30497	29621	39079	40696	40414	41029	41104	40378	60528	59415	60990	59781	62530	55398	89358	98258	93326	97743	95352	90555	16216	17226	15283	15105	14537	14428
0.039444	16379	16478	16807	17607	16510	17833	16710	16565	16506	16588	16880	16212	16703	17030	16816	16856	16957	17266	16900	17021	16995	16465	16592	17037	16858	18367	17281	17574	17347	17345	17652	17915	17687	17500	16891	16969	17596	18505	19125	18565	18229	18727	20218	19865	20134	20240	19932	19264	22618	23489	23951	23745	23293	23721	30996	29992	29886	29926	28612	27749	35939	38582	38793	39529	38839	38573	57019	56086	56928	56978	57737	51170	80051	90055	86764	90265	88046	83335	16060	17253	15244	15418	14541	14322
0.059167	16715	16412	16938	17683	16628	17864	16560	16682	16143	16927	16450	15880	16730	16600	16804	16535	17247	16822	16531	17228	17025	16846	16383	16127	16867	18381	16955	17721	17704	16815	17222	17381	17621	17570	17222	16541	17458	18104	18830	18162	18241	18637	20293	19825	19974	19634	19546	19035	22133	22719	22840	22809	22491	23259	29729	28604	28353	28470	27874	26693	33294	36194	35758	36585	37428	36526	53776	51910	53103	52694	54206	47391	73345	83475	78937	83129	80434	77337	15669	17668	15129	15180	14590	14445
0.078889	16628	16097	16199	17569	16683	16872	16506	16362	16363	16409	16190	15655	16133	16777	16472	16769	16811	16768	16380	16909	16613	16341	15961	16127	16486	17928	16956	17116	17316	16955	17221	17670	17260	16906	16903	16472	17126	17740	18203	18153	18092	17883	19460	19289	19393	19350	18871	18618	21227	21428	22961	22079	21853	22742	27959	27401	27491	27067	26553	25353	31300	33427	34138	34179	34866	33951	50792	48211	50219	49056	50057	43899	68188	76026	72835	76826	74036	71629	15964	17810	15739	14816	14777	14224
0.098611	15956	16039	16489	17409	16647	17124	16589	16305	16603	16316	16335	15852	16046	16280	16410	16862	17039	16264	16910	16454	16401	16503	16439	16413	16133	17558	16819	17002	16814	16866	17085	17124	17243	17151	16512	16046	16971	17414	18777	17653	17411	17505	19034	19103	19067	18908	18975	17773	20665	20728	21524	21102	21395	21855	27014	26406	26097	26516	25276	24058	29763	31508	32328	32161	32347	32650	46721	45468	46632	45677	46705	42284	65672	72498	69036	73310	70323	67468	15845	18231	15129	14581	14643	14553
0.118333	15986	16501	16203	17582	16817	16982	15946	16489	16160	16284	16367	15737	16285	15998	16223	16720	16760	16542	16477	16554	16317	16243	16413	16100	15726	17610	16639	16571	16577	16471	16977	17063	17023	16865	16516	16428	16549	17169	18143	17282	17412	17903	18731	18814	18151	18309	18139	17290	20406	20403	20564	20475	20363	21252	25998	25080	25097	25349	24427	23253	28377	30041	30053	31027	31021	30408	43708	43057	43888	44015	44400	40327	63207	69578	66343	70053	68135	65643	15836	18166	15174	14921	14435	14241
0.138056	16007	15818	16019	16943	16594	18419	16031	16377	16048	16142	15896	15494	16442	16555	15973	16345	16869	16607	16397	16320	16043	16024	15760	16055	16223	17192	16683	17094	16821	16636	16976	16816	16534	16299	16590	15790	16498	17134	17708	17495	16930	17385	18437	18018	18238	17778	17990	17332	19578	19629	20050	20117	20147	20504	24580	24273	24316	24448	23019	22738	27670	28750	29272	29712	30005	29629	42155	41539	41755	42025	43299	39578	62766	68729	64534	68667	65564	63777	16081	17996	14825	14845	14175	14348
0.157778	15774	15453	15768	17303	16450	17909	16234	16339	16290	16022	15874	15551	15699	15935	15950	16322	16574	16214	16383	16391	16300	16302	16447	16090	16097	17191	16258	16948	16719	16523	16840	17262	16644	16602	16365	16099	16693	16967	17641	17126	16969	17066	18235	17713	17745	17607	17835	17414	19150	19245	19546	19685	19946	20444	24488	23718	23920	24041	23224	22143	26797	28240	27912	28393	28477	28682	40955	40209	40892	40777	41495	38375	61417	66228	63463	67818	65330	62738	15822	17383	15381	14610	14448	14324
0.177500	15907	16116	15801	17283	16476	18922	16448	16313	15843	15929	16071	16028	15776	16302	16065	15996	16632	16254	16176	16454	16143	15972	15957	15668	15877	17218	16285	16675	16353	16455	16838	16821	16552	16175	16441	15972	15994	16805	17760	16675	16917	17230	18277	17641	17660	18149	17361	17215	18754	19010	19272	19259	19103	20081	23707	22902	22955	23012	21935	21951	26549	26726	27503	27427	27775	27652	39996	38986	40403	39292	40960	37958	61331	65805	62899	66798	65024	62629	15800	17329	15313	15269	14097	14642
