Time	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08
0.000000	1357	1219	1391	1303	804	663	726	729	426	583	470	525	1034	440	394	422	397	415	422	374	5052	12353	8194	11210	13052	25295	72056	56441	29554	40935	44901	48333	40999	70723	58404	61568	47877	51899	26117	45579	108597	114233	75108	84917	70424	72526	70906	71328	45287	47372	26590	29399	23108	25367	17179	15321	13810	12136	12760	11614
0.056389	1071	1184	1408	1311	747	609	639	619	424	533	414	441	633	394	372	376	377	389	378	344	5012	13716	8963	13082	10913	28019	77631	54373	34026	39756	47632	39714	46292	76331	47988	64028	53884	39804	27264	47074	107036	112337	95571	91696	70282	75025	66470	68839	34518	45659	24101	26237	28216	25633	18907	15231	11737	10453	10276	8901
0.112778	982	1028	1431	1324	728	580	642	658	367	497	391	447	660	393	360	358	334	346	348	326	5564	15689	9850	14321	10603	31052	69426	68423	43580	60464	64856	45891	49566	74066	55296	64453	52036	55595	28160	48177	97019	104551	91432	90247	69609	77108	74508	75761	53474	51436	29322	33249	29468	26700	15571	15987	11395	8610	7677	8308
0.169167	974	959	1539	1313	740	628	623	608	349	518	370	440	647	366	328	348	331	331	329	293	4838	14448	8498	13426	10262	27160	67698	66191	35309	55611	61464	50060	51873	68215	36788	61758	51184	45526	27585	59228	96413	97916	85070	78987	72009	77029	72164	73037	55109	48959	27519	31714	31417	23276	14162	14070	10936	7317	7678	8419
0.225556	935	951	1459	1277	722	603	623	607	337	507	363	423	687	361	329	340	304	320	323	290	4516	12066	12207	15052	10846	42187	72269	70163	42824	51037	53343	36862	53451	58505	56926	54744	44133	51002	32266	45793	90701	85444	82035	84852	61693	72109	69761	62165	43739	38770	26144	24102	29426	17228	12883	17262	6783	6427	6908	6688
0.281944	858	953	1535	1255	751	594	589	587	327	512	351	407	642	351	321	327	297	307	298	288	4615	11681	9165	10786	11985	29517	56091	58281	26370	51090	43355	36847	45622	52452	45506	58162	48634	49218	41424	54656	84513	83326	75447	77309	54737	69749	67244	64427	44197	38488	20474	16397	17644	17444	5589	15799	4527	4661	8722	9888
0.338333	871	972	1436	1224	734	616	576	621	328	506	347	418	820	346	318	325	296	315	306	275	3882	12333	5745	14004	14929	20958	62833	38805	35725	49482	44352	37439	43843	50699	42962	47180	44098	54150	34772	44955	79331	79118	67870	67146	50615	60410	57438	60963	34031	30166	17653	17927	14487	9718	3903	11740	4186	4385	6837	8335
0.394722	927	946	1390	1201	717	604	564	568	322	521	366	415	1005	328	306	303	289	291	298	271	3616	7627	8610	12220	15689	21207	54951	59386	31047	35365	37325	41632	41584	45118	40871	45895	30576	40802	29237	50737	76452	76938	65524	60165	43946	57444	53703	53878	30976	32361	14600	14927	15604	8896	5251	9419	3645	3429	6021	6260
0.451111	895	953	1313	1195	685	610	578	543	331	520	367	433	769	333	313	322	295	285	289	277	3565	8563	5623	9260	15796	22717	50434	50216	29434	35389	36995	36681	35224	45545	30596	37334	31622	33878	17000	37634	77715	78541	57017	59203	51417	54411	52165	51482	33503	23204	15809	13204	8107	6787	3274	9627	3180	3015	7097	6026
0.507500	859	923	1281	1199	652	605	566	591	345	514	366	423	787	342	326	320	295	303	294	279	3665	8474	6180	6698	13470	24352	47419	44195	26357	37020	34422	36642	33511	36867	35973	31123	35000	34330	31322	40175	65598	69847	61173	60185	37056	46400	40564	45800	31504	27573	10054	14354	9731	7576	3687	6147	2844	2844	5840	5261
0.563889	893	988	1288	1180	720	600	568	698	338	524	371	436	741	347	330	334	305	313	301	290	2786	8332	6271	8467	7066	17753	42816	45240	24476	28313	35885	23244	31492	27520	26875	36850	29001	37700	24231	35350	67424	67317	57787	46222	43651	44537	42968	46598	26733	25791	10373	12360	8435	9021	2878	4687	2450	2353	4147	4503
0.620278	918	967	1342	1193	708	619	562	720	348	554	364	439	618	328	323	328	310	309	303	300	3045	7750	5529	6400	10940	18775	45013	40460	24002	29990	30597	33051	23662	27473	22668	30247	31943	29524	25115	29072	64256	69400	48400	53766	36952	41534	44208	42881	21914	21442	8703	10383	7626	6737	2415	6273	2171	2273	4026	3828
0.676667	890	1016	1262	1225	704	574	583	713	345	534	376	435	591	352	329	324	318	310	308	292	2729	6234	4390	6633	10789	13994	39139	32848	21324	28171	27501	29081	21449	31020	24827	31606	25639	24270	24978	29863	67229	66463	52815	50594	34768	42212	40639	32069	20766	23592	8000	11649	6140	6614	2848	4060	2027	2139	4070	3432
0.733056	908	1008	1313	1231	701	588	593	790	361	542	372	425	537	342	340	340	312	315	310	299	2923	6290	5695	7693	10726	17554	39049	36523	20000	27161	24465	26020	19718	32670	27450	29622	22142	27769	22940	30445	62380	64616	49875	48811	34112	40468	42150	41151	26930	20959	8907	11664	6619	6063	2657	4452	1863	2020	2520	3398
0.789444	985	998	1285	1293	707	563	585	742	357	537	377	419	564	346	332	331	308	308	311	295	2515	6225	4526	6426	9466	13804	25686	34562	17496	26166	23317	26397	21635	30709	20403	28812	24232	25786	17048	26177	62159	62674	45277	45929	34179	38907	38510	42815	21808	17526	8757	9845	6913	5698	2217	4143	1967	1882	2397	3040
0.845833	1026	990	1291	1312	702	570	573	720	344	518	362	413	522	341	326	328	299	322	311	293	2556	6626	4734	6070	8442	13054	26336	31487	18390	22294	27665	24403	19693	22017	19809	23537	23535	21971	17549	26882	62459	60536	43383	43939	30014	34492	35846	38841	21621	18948	7685	10127	7394	5032	2282	3484	1780	1755	2193	2667
0.902222	1022	976	1304	1301	696	575	568	729	344	538	367	436	561	342	333	329	312	315	306	294	2812	6013	4136	5715	7086	13923	29849	30486	17112	20949	28770	20582	15756	26191	21203	24307	20801	24868	18663	23925	61800	58896	40222	41933	31963	38307	27806	33862	20764	18652	7032	9899	7439	5716	2694	2884	1831	1808	2118	2596
0.958611	951	1011	1286	1277	685	548	561	724	338	541	357	447	550	343	327	332	309	326	300	291	2646	5798	4105	4702	5486	13546	32133	31248	16878	22269	25387	22640	20265	23116	17740	23755	16641	20621	19695	23852	54618	53821	44126	42144	30114	34773	32487	35809	20265	17176	8003	9363	6437	5163	2402	2998	1723	1705	1674	2400
1.015000	1031	1029	1305	1297	714	563	558	723	342	529	360	438	582	335	328	326	304	316	305	290	2538	5148	3716	5419	5923	13889	27113	27721	15952	21667	27128	22586	21601	24232	17564	17947	19279	18964	17576	22791	53427	54077	43636	41000	27176	32223	28700	27007	19392	16960	7222	8349	5554	6139	2655	2788	1702	2000	1824	2184
1.071389	1051	984	1264	1231	687	553	560	732	328	520	350	419	697	328	319	322	299	307	299	290	2660	4895	3792	4979	6904	11398	25551	28139	11790	17324	22365	19879	19560	22626	17417	13520	13968	19729	14684	19192	53578	50938	40004	35746	26637	30371	30726	31689	18693	17329	6697	9138	6027	4104	2470	2713	1633	2235	3025	1939
1.127778	1081	953	1280	1251	693	558	577	764	331	516	360	430	572	327	326	319	301	312	307	297	2169	5278	3703	4486	5733	11633	24374	28265	14229	18604	18502	16502	12519	20932	15982	19193	19226	20023	18015	19776	52221	51177	36199	37258	24970	27946	31469	30718	16462	14976	7084	6755	5319	4832	2247	2725	1508	1634	2267	2027
1.184167	987	923	1197	1239	677	535	576	776	334	520	364	438	550	327	320	331	297	317	297	285	2225	4798	3457	4732	5661	11637	27986	26133	15223	17932	23103	15301	18142	20608	14530	20022	17981	17242	14216	16848	54577	49211	35375	35505	24156	30619	29401	26589	16422	12677	6986	6083	4303	4231	2133	2646	1447	1590	1790	1861
1.240556	975	931	1244	1226	620	550	570	816	333	516	355	419	557	326	313	312	292	308	298	282	2029	4832	2705	4184	4835	10808	19518	24585	12340	16857	21301	18088	16188	17797	16902	19518	15243	19042	15671	13614	51037	46723	34964	33800	23128	27740	27495	29133	17017	14990	6740	6086	4802	4837	1996	2629	1410	1895	1892	2342
1.296944	961	958	1234	1210	620	554	547	747	336	516	356	415	505	325	324	318	300	309	299	279	2601	4439	3070	4264	6186	9896	24396	21429	13325	13663	23006	15214	19057	17722	14152	18347	16562	16415	11403	14823	49656	46245	34582	34693	25956	31501	29923	27407	14005	13842	6110	6316	5124	5223	2270	2601	1387	1940	1767	2229
1.353333	1003	986	1249	1214	624	552	521	787	327	527	351	436	537	323	316	316	297	308	302	282	2096	4583	2812	3419	5783	10180	22656	23579	12519	14344	22874	13956	14418	16214	15038	14443	14694	18192	10486	16634	48708	44405	28657	32361	24594	28606	27893	26504	12883	11838	6227	6822	5253	4706	2022	2518	1375	1380	1685	2045
1.409722	1042	946	1278	1262	618	528	515	750	330	524	345	413	537	318	309	308	290	295	295	283	2195	4593	3059	4135	5074	10901	20177	15946	11252	15616	20217	15772	13562	14170	14887	15565	13470	17498	13383	13672	47754	41686	31060	33327	20324	25556	20226	23465	13840	11391	6369	6657	4361	4498	2238	2300	1792	1429	1648	2024
1.466111	1058	928	1267	1263	628	527	537	728	327	536	348	425	551	316	312	304	284	307	289	279	1900	3695	2525	3381	4418	10876	19613	20877	12823	15360	22296	15401	16916	16788	15576	15180	12167	16197	7687	13850	45186	40395	31025	30848	21307	24761	24518	22451	15189	13430	5777	6330	4100	3705	2142	2836	1686	1434	1673	1811
1.522500	1025	909	1251	1235	608	527	540	745	334	505	346	402	573	315	314	305	289	302	294	277	2200	4180	2714	3522	4230	9619	16471	15487	10937	13846	20141	12237	16738	13906	14659	17021	12583	12293	9425	12900	40913	38254	30370	29225	20717	26362	21867	23988	13233	11614	6099	5620	4285	4404	2215	2108	1514	1295	1850	1667
1.578889	1063	944	1214	1234	620	543	545	834	330	484	354	414	539	325	321	313	283	291	292	282	2164	4490	2628	3238	4661	10091	16307	21113	10038	15419	20699	13729	11288	15248	13003	14031	11672	14635	12356	14621	42082	39575	28853	28085	18720	24363	20726	22262	12163	11286	5737	5404	5308	3188	2121	2217	1342	1337	1402	1948
1.635278	1048	947	1258	1261	665	532	544	794	330	507	360	423	552	323	322	319	284	304	292	285	1915	4479	2694	4119	4924	8474	17236	16477	9476	13088	10257	10162	16990	13591	10860	13545	9160	13242	13469	14163	40333	38522	24329	27422	20286	24065	18385	22072	12252	10077	5135	5600	6521	4135	1917	2240	1412	1316	1420	1956
1.691667	996	945	1257	1287	643	518	554	736	319	503	351	406	501	326	301	299	279	299	285	275	1813	3914	2672	2989	4728	9218	19582	15006	9015	11966	11506	11347	14564	13777	11539	14834	14004	10666	11029	10660	39087	37105	27042	28370	19829	24662	20471	22067	10620	11680	6247	4717	3936	3801	2113	2481	1261	1598	1341	2012
1.748056	1007	941	1263	1311	636	546	556	786	315	521	341	411	541	311	322	308	283	299	284	274	1935	3932	2405	3658	4847	9046	16159	13163	9034	11499	17579	12356	12762	13236	13841	12100	10407	11845	11309	11105	37732	37574	26214	25443	19540	21462	22690	20319	11825	10680	5359	4666	3979	3649	1943	2326	1250	1205	1235	1911
1.804444	1002	940	1281	1314	633	562	552	774	315	493	343	409	522	304	300	285	282	297	292	277	2048	4310	2132	3746	3391	10857	17199	15098	9799	12826	17434	10154	11572	12793	10713	10360	11378	12977	11508	10808	39099	33496	25717	25590	19132	22434	22693	21018	11655	11325	6076	4965	4463	3819	1888	2251	1765	1229	1190	1826
1.860833	1014	933	1303	1343	640	587	545	856	319	512	334	410	541	308	303	293	285	291	283	272	1941	3635	2435	4059	4904	7285	13315	17168	9803	12988	17378	11190	10126	11620	11347	9793	10183	11302	10317	9806	37150	33683	24027	24602	18396	22448	18963	20088	10819	9386	5396	5099	5260	4427	1857	2404	1410	1114	1141	1852
1.917222	1006	934	1336	1367	688	540	548	794	315	508	343	422	534	307	304	302	279	297	291	275	1914	3511	2514	3656	4270	8131	17294	15867	8888	11208	11584	11211	10749	12189	9620	11435	10225	11862	12732	12259	36327	33884	23778	24723	17907	20292	19164	16380	13434	10475	5713	4655	4264	3004	1650	2138	1297	1077	2054	1883
1.973611	1017	921	1325	1376	676	523	536	813	317	515	348	403	551	306	301	306	285	297	283	270	1898	4181	2751	3169	3935	7028	13616	13297	7874	10604	12571	9936	11193	10304	10985	12148	10775	10503	10729	10592	35328	32711	24393	24632	16014	19785	19977	17581	10535	10556	5657	4820	4692	3497	1678	2104	1189	1033	1781	1714
2.030000	989	921	1258	1276	650	533	542	768	310	508	350	416	541	315	306	293	285	292	286	266	1821	3859	2727	3510	3897	8456	13030	15546	7971	9546	14549	11523	13477	12012	10141	10397	10130	10283	7474	12065	34754	32938	24698	22304	16828	19708	19637	18443	11003	10797	6123	5020	4060	3231	2057	2202	1738	1666	1495	1811
2.086389	1010	938	1304	1272	663	555	540	785	315	503	337	416	537	317	310	303	293	295	286	274	1780	3128	2081	3014	4459	8047	14602	12532	7740	10482	12830	11981	10313	11428	10042	12611	8935	10680	6700	10839	32998	32169	23845	22517	14856	20039	18917	15775	12050	9029	5094	4599	4671	3783	1846	2026	1538	1193	2017	1658
2.142778	1053	915	1238	1297	643	558	523	830	308	524	335	412	534	319	305	294	278	290	280	271	1808	3623	2127	3523	4475	9640	14127	12663	9489	10482	11387	12035	10856	11936	8384	9865	8871	11200	7926	10351	34796	32644	22880	22790	18313	19092	15652	16777	9046	9684	5680	4771	3908	4340	1728	2101	1274	1165	1451	1772
2.199167	1075	923	1206	1277	642	545	531	851	312	511	349	411	545	318	299	307	279	292	283	274	1700	4025	2633	3469	4286	7935	12243	12670	9083	10441	13170	7658	11822	11659	8700	11706	10280	10115	9204	9064	34007	32474	22531	21881	17474	18807	15391	16572	9692	9676	4883	4429	5083	3116	1493	1944	1328	1234	1511	1781
2.255556	1038	913	1101	1267	647	532	515	874	305	511	338	415	533	308	295	295	285	287	291	266	1724	3233	2248	4057	5167	6822	12026	12505	6975	9891	13710	8723	8593	10970	9345	10171	9969	9659	8301	9768	33832	31700	22229	20324	15665	18396	15840	16174	10456	11315	5058	4575	3855	3762	1755	1838	1282	1180	1465	1671
2.311944	1013	908	1095	1254	640	524	518	835	307	478	341	408	517	304	300	301	275	296	275	273	1888	3851	2163	2921	4389	6864	12700	11047	6827	9657	12026	8322	10828	10655	9062	9893	8055	8062	6577	9115	31843	30839	21596	19800	15480	15906	15496	14535	10479	10013	4714	4284	3856	4064	1772	1860	1191	1145	1361	1624
