Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.000000	38188	90417	82962	67672	95408	124577	79501	85049	78110	53722	62022	33480	48019	65720	72795	46455	71520	73774	74699	64091	38040	37428	50626	44796	39031	41489	53689	33083	76423	50261	62360	69148	58600	41526	45627	29962	26023	43329	46045	143416	58094	69444	100426	147623	121639	113183	68597	70857	129648	141750	52122	86788	72348	96390	57937	126351	76879	57855	50165	65310	46342	59475	50465	77296	76540	89519	57823	116799	96935	57476	83755	57821	40775	63193	106004	62213	101534	80502	67959	130207	91025	88619	80004	84384	61960	89685	101414	105284	65471	85955	68218	80937	55090	61618	70541	94104
0.088611	36249	78361	90027	60350	106709	113480	77985	57012	78023	46950	58405	33190	42198	66801	80327	54753	78816	75150	83235	71134	28235	37349	37997	33521	37538	37955	52432	31889	86872	66766	85262	80614	86323	36457	51944	24082	24231	59569	48045	164831	65131	94114	108101	173639	134334	124667	65232	69928	123087	151049	51925	74160	84833	97667	57006	157192	77648	53041	39420	76794	43231	55602	51988	68673	90157	86129	60292	118285	85569	47167	73646	50886	39338	68067	74033	59152	101627	89436	72185	114910	105441	70839	78385	82963	67095	82899	81037	91089	78272	99794	76261	82049	56954	59247	64359	76020
0.177222	33730	49620	77364	51539	80768	91664	66644	68739	58603	53728	47995	29685	32884	62507	66423	48325	82405	69934	69140	64946	31282	35189	49693	41840	33463	35336	46077	33197	63143	54377	71132	78650	72757	43989	58611	31903	28492	48663	51466	141495	63294	73522	95450	117910	112745	99269	73856	75890	104902	126281	50590	77944	84044	104217	61234	119763	67002	54148	47309	71004	44705	50623	47128	57482	89846	90670	61100	112303	80738	47725	69953	46005	38242	57556	78139	52073	85663	79234	68890	93277	81783	58698	58653	71926	53884	57364	64191	58884	64665	69035	55838	77471	43749	47616	50826	62781
0.265833	33153	59392	74789	47644	66107	72734	67045	67928	48958	47045	47911	27148	37614	45611	54101	45894	60540	51431	58403	55000	31011	30679	42874	33789	31658	35879	43878	31042	57657	54862	67157	71858	59061	37483	53191	25849	23390	42118	42308	118015	56595	67090	85668	105620	87910	90347	63359	63700	72955	106878	48810	76074	68806	86566	61454	110255	65950	53911	48906	62781	41156	41278	39723	56072	78428	77827	56255	99568	74730	42959	69112	43096	35551	44935	67049	43159	73492	65821	59637	85718	68686	53708	52508	59387	46383	53398	52838	56059	60050	62917	48487	60230	40845	39255	44791	58290
0.354444	26982	54085	53438	48999	70995	69739	53760	58363	54623	38065	40057	24444	32030	48535	49694	33627	54463	62741	63272	55624	29474	26920	37724	31725	31452	31409	37070	26538	51085	50619	56584	60547	54054	34336	47112	22376	21539	34823	40103	104646	56389	63119	75345	97537	71254	73502	56209	55717	76475	98706	40497	67142	70245	82821	59513	94396	62443	51913	46280	57207	35477	35681	35241	44375	73163	76257	54331	87820	69514	42444	60325	37231	30609	39485	52930	44154	69670	64150	53746	76033	63738	48502	47138	54835	41990	46760	52106	51234	57030	55874	48734	56997	36809	37310	42101	56347
0.443056	23058	50213	52558	44563	55470	78835	55474	61878	49245	38613	41132	24356	30425	41285	41810	33673	53198	60502	60976	51830	26208	23830	35932	31624	27951	28534	37481	23336	51535	47808	57316	54720	47625	34119	40307	21729	19707	35036	36319	95447	56954	60211	65963	78726	69016	66739	51364	48744	64435	84423	36928	56515	65760	82906	53406	85829	55812	43741	38233	48553	34686	32734	31530	39836	67397	70004	50562	79046	58400	39847	53489	37627	30161	36058	54894	38449	64310	53576	53802	68160	59851	46043	42555	52387	42484	45358	48855	55379	47730	52671	45729	51407	36737	37999	40395	47252
0.531667	24049	46053	51163	36493	54355	76145	47350	59503	50340	34007	35246	23356	31871	38903	44309	30147	46093	52703	54919	49491	21321	22968	33778	29552	27225	27931	35751	23974	53491	49725	49588	55919	46958	31188	40991	21329	19641	32504	34174	82510	47085	56392	65682	81118	64736	63087	43982	48003	62447	82201	34878	54468	66107	73023	54532	77489	50665	41529	35294	50419	30980	30896	29175	36451	58781	63303	49341	67528	56600	35896	50320	32525	28655	34713	49468	38099	57132	50288	48667	60593	52723	41932	40433	46793	37581	43755	44774	45255	48899	54315	42393	47720	33965	35184	38622	45658
0.620278	19738	41631	48410	34249	55573	67517	49799	52671	40569	30751	32696	22636	33867	33016	39486	30388	52200	50121	59973	48767	25427	22034	31921	28901	27058	26314	28817	23239	48982	50637	49441	49734	41269	29408	38347	19540	18840	32118	34109	74245	44666	48458	64263	74195	61028	60619	42625	46839	61989	80106	33544	48440	52781	65283	46210	73892	51223	41022	33455	49463	31070	28245	28428	38030	59643	58082	48499	65147	54108	35320	45464	32952	26731	33084	45612	35429	60221	49730	48022	59447	48977	41221	39570	44114	38318	39890	42253	44929	44239	48955	41248	49648	33770	35055	39472	46297
0.708889	22566	44127	44714	35181	49493	62398	43518	46535	33538	32914	32658	22585	27565	36830	37595	28649	39787	50112	52381	42337	24540	21627	31212	28369	24593	24472	29161	22263	49229	50540	51111	50822	39762	29300	36358	20208	17707	30362	32749	71872	44053	49928	58233	71469	57186	56377	40029	44564	51414	75495	30266	44604	55984	64576	50091	68197	46477	37941	34903	44575	30625	31868	27123	37087	56947	59188	44850	65149	49066	33388	45779	30792	25917	33530	45071	33561	51569	51755	43036	56980	52228	41030	40640	44179	36611	39214	41264	43121	47286	49087	39847	40127	30439	31499	34867	43234
0.797500	19260	44894	41702	31467	50393	65684	50011	48636	31593	31267	33390	21601	27789	35577	38337	26384	42662	49522	46137	40487	20673	21370	30595	24834	22571	26250	29255	20603	40795	41577	42293	48885	40613	25297	34330	18052	17029	28137	30916	66523	43680	48842	56995	64712	54477	53060	40603	41650	60364	73951	33844	43839	51060	57337	42904	71966	43694	34799	32340	44116	29210	28703	26187	35384	57614	46969	42271	60601	46500	30022	41865	30581	25324	30471	43443	27006	48587	46194	46834	60133	48779	37629	37568	43053	35375	35376	45921	40865	42072	47759	38492	45122	31050	31437	34761	40138
0.886111	22394	41261	35010	27000	44865	56401	39636	50066	32933	31336	29592	21124	27774	27554	37231	28520	46003	46517	47509	40986	23679	19234	27041	24640	21685	24830	29969	21197	45769	43754	45859	46738	38055	24921	35309	16993	16434	27912	31764	67551	38590	44701	53134	65675	53135	53609	39871	42599	53910	67807	30562	44347	49064	57716	44622	60533	43766	34489	29293	43635	28872	27048	27253	35275	55443	49075	42073	61870	45052	30563	41194	28983	23217	30303	44560	33335	53169	47377	42378	55573	46145	37388	36318	40442	34306	36308	41824	42204	43813	47349	39976	42312	29750	31705	34739	39561
0.974722	19518	33960	33192	32679	46474	54127	41982	44927	34842	30439	29631	20571	27318	30432	34351	24266	41856	47370	43910	43304	21737	19262	27325	23149	23086	22725	24795	19703	44245	34510	44662	46531	38394	24838	33296	18506	17156	26847	27581	62705	38682	48305	53623	60068	48872	50934	36423	38521	53063	60696	28445	44058	50798	48072	44416	61009	40823	33379	30044	43846	27436	27211	27168	33375	52537	51027	43091	58333	42717	29154	41383	29432	23340	30220	40914	32000	50737	47641	42374	56717	45506	35917	37240	38298	33098	35201	40380	40747	42240	45807	35521	47572	27778	31005	33044	40855
1.063333	13313	42936	37862	32038	51408	55658	41101	45823	31849	32678	29251	19869	28620	38462	30671	26783	40415	42348	42568	37862	19986	19711	26983	24407	19507	25695	32118	19185	44647	40235	43735	45211	37029	26277	32046	18800	16614	26815	29737	62042	41243	45978	51336	61349	49522	45260	38187	38297	53593	61479	28616	39654	50879	56984	44402	58880	38198	32772	28334	42651	27001	25218	24618	32079	50469	49771	42511	54847	43350	27964	39800	27499	23357	29518	39969	29389	48181	46420	40472	49334	42316	35836	34460	39296	33086	33815	40421	37911	38228	43724	40740	41590	30831	29226	33131	39476
1.151944	16198	38184	33889	28294	43853	58493	44115	45342	32255	28509	29054	19290	24789	28307	32694	23702	40262	46992	40014	40851	19645	18958	26134	24274	21366	21902	26232	19592	45392	39727	43210	44558	34644	24870	32654	18969	14922	26194	27219	61234	42217	45134	51915	61894	46509	45145	36610	36190	51438	62208	26344	39693	43991	55295	44601	59746	36496	33968	30318	40121	27180	24252	24054	31047	47449	47155	45050	53795	43319	27218	38573	28294	24101	27363	40207	30858	47988	44780	43119	52922	38981	33886	34482	37646	31035	34108	39165	38594	40843	45653	38240	42460	26303	28066	32121	37095
1.240556	18234	37888	32809	27609	48310	57037	46010	45865	30839	30095	28209	18442	21620	32431	35044	25078	41873	41821	45165	37321	21380	18998	25865	25780	22388	21758	24659	19554	43157	40515	43633	44613	32667	22959	30207	16649	16141	25102	28023	61770	39345	44824	48265	57095	47146	43382	36011	37681	52393	62557	27295	37873	43088	56349	44234	56802	39927	30867	29142	40324	28062	25333	22635	30157	45804	46374	39016	52079	42437	27605	37084	26908	22628	28242	38558	29050	44156	41418	38493	46771	42910	33886	35592	37105	31768	31054	36439	37801	37286	45864	34217	40864	27158	28785	32408	36781
