Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	C02	C03	C04	C05	C06	C07	C08	C09	C10	D02	D03	D04	D05	D06	D07	D08	D09	D10	E02	E03	E04	E05	E06	E07	E08	E09	E10
0.000000	8290	8891	8422	7287	8044	8082	7650	7619	7620	7069	7781	7588	7449	8424	8205	8304	8128	7450	8502	8997	8583	7620	8863	8213	8278	8217	8009	8043	8828	8413	8638	8384	8468	8575	8437	8145
0.016944	8086	8545	8065	7210	7677	7809	7489	7294	7341	6994	7460	7219	7252	7815	7853	7860	7899	7271	8191	8605	8369	7383	8365	7897	7704	7800	7691	7891	8540	8189	8144	8181	8084	7988	8270	7991
0.033889	7944	8201	7887	7143	7454	7601	7288	7078	7243	6922	7386	7261	7250	7659	7651	7630	7583	7052	7924	8371	8167	7170	8127	7713	7503	7562	7481	7833	8291	7883	8086	7819	7952	7838	7908	7931
0.050833	7763	8097	7621	7130	7297	7708	7058	6936	7224	6857	7296	7182	7096	7559	7672	7505	7354	7188	7774	7906	8037	7056	7980	7361	7319	7629	7347	7498	8142	7695	7885	7759	7809	7829	8031	7686
0.067778	7728	8033	7631	6949	7109	7495	7155	6983	7038	6804	7075	7042	7024	7451	7532	7443	7396	7000	7803	7914	7739	7000	7905	7283	7322	7425	7187	7518	7806	7613	7697	7620	7791	7700	7679	7659
0.084722	7559	7713	7627	6867	6992	7408	7097	6861	6997	6669	7204	7134	7085	7328	7444	7238	7305	6943	7496	7380	7790	6993	7669	7250	7129	7299	7117	7412	7881	7513	7746	7612	7571	7709	7631	7504
0.101667	7407	7810	7388	6927	6944	7399	6914	6737	6815	6699	7142	7036	7072	7274	7563	7205	7226	6929	7456	7458	7575	7003	7322	7173	6986	7136	7086	7315	7668	7388	7650	7530	7526	7355	7702	7524
0.118611	7227	7763	7250	6885	6866	7330	6752	6646	6862	6691	7210	7021	7099	7138	7349	7288	7066	7002	7361	7269	7621	7021	7311	7063	7170	7053	7105	7375	7667	7407	7552	7707	7598	7493	7504	7478
0.135556	7259	7722	7190	6720	6817	7065	6625	6756	6687	6763	7254	6961	7012	7127	7608	7105	7009	6790	7345	7221	7355	6981	7272	7065	7142	7124	7110	7237	7557	7427	7423	7559	7528	7265	7551	7489
0.152500	7228	7646	7155	6822	6822	7202	6674	6714	6574	6781	7201	7148	7138	7167	7411	7303	7070	6934	7273	7240	7323	7077	7363	6912	7110	7109	7079	7272	7568	7343	7474	7483	7462	7460	7232	7338
0.169444	7102	7427	7148	6651	6687	7078	6675	6814	6652	6815	7097	7074	7073	7085	7385	7017	7095	6744	7163	7223	7043	7094	7424	7113	7094	7191	7066	7388	7634	7443	7393	7549	7455	7446	7312	7334
0.186389	6943	7488	7002	6736	6751	6913	6775	6558	6644	6977	7190	6904	7037	7057	7308	6964	7103	6871	7166	7454	7060	7112	7420	7197	7104	7095	7155	7140	7512	7119	7371	7326	7373	7356	7276	7317
0.203333	6843	7311	6969	6684	6791	6934	6655	6666	6614	6961	7164	6999	7028	7120	7207	7094	7060	6741	7295	7163	7043	7082	7423	7148	7197	7100	7047	7189	7408	7180	7555	7246	7339	7280	7348	7223
0.220278	6913	7328	6822	6878	6776	6915	6647	6596	6706	6843	6983	6926	6973	6963	7332	6929	6908	6799	7166	7090	7109	7162	7400	6987	7143	7084	7044	7125	7377	7184	7204	7247	7235	7294	7433	7261
0.237222	6847	7052	6899	6628	6666	6865	6680	6646	6483	6722	7123	6816	6965	6956	7298	6842	6920	6749	7219	7029	7095	7011	7360	7029	7043	7141	7212	7038	7343	7104	7160	7153	7326	7348	7242	7223
0.254167	6780	7129	6830	6818	6624	7083	6631	6592	6791	6824	6892	6908	6898	6956	7348	6890	6807	6796	7272	7042	7160	7015	7291	6849	7154	7187	7049	7145	7302	7015	7137	7205	7368	7294	7358	7204
0.271111	6803	7102	6798	6802	6737	7024	6636	6668	6540	6770	6943	6753	6862	6960	7208	6835	6830	6721	7237	7045	7073	7214	7403	7013	7030	7115	7024	7038	7547	6926	7047	7215	7123	7174	7162	7144
0.288056	6708	7052	6883	6859	6631	6999	6675	6587	6633	6736	6977	6765	6781	6937	7348	6770	6763	6680	7163	7029	7051	6915	7252	6972	7206	7148	7166	7506	7442	7075	7325	7280	7213	7207	7081	7232
0.305000	6723	7005	6889	6730	6591	6957	6845	6661	6713	6875	7047	6766	6859	6926	7316	6820	6935	6690	7045	6898	7016	7147	7267	7068	7079	7149	7104	7297	7441	7111	7385	7132	7261	7150	7103	7106
0.321944	6758	7077	6928	6823	6709	7108	6755	6773	6738	6817	6988	6945	6822	6843	7426	6773	6906	6738	7113	6934	6988	7256	7257	6997	7133	7176	7007	7414	7518	7097	7141	7190	7138	7257	7232	6943
0.338889	6598	7102	7014	6753	6725	7029	6761	6676	6954	6833	6917	6694	6786	6848	7480	6794	6951	6767	7065	6862	6957	7024	7113	6940	7129	6960	7018	7189	7464	7160	7239	7203	7256	7234	7077	7054
0.355833	6735	7081	7076	6864	6677	7156	6761	6706	6800	6705	7105	6838	6803	6820	7419	6857	6834	6831	7036	6948	6968	7173	7156	6980	7026	7173	7270	7246	7439	7189	7446	7326	7244	7141	7066	7211
0.372778	6705	7278	6961	7047	6895	7302	6847	6775	6959	7075	7136	6777	6810	6810	7585	6766	6836	6825	7251	7007	7006	7267	7206	7053	7173	7052	7082	7224	7614	7191	7341	7322	7287	7437	7125	7230
0.389722	6756	7244	7164	6838	6806	7277	6929	6853	7042	6925	7091	6916	6817	6869	7569	6865	6857	7044	7265	7052	7216	7044	7483	7021	7342	7222	7252	7200	7726	7334	7189	7299	7343	7235	7178	7218
0.406667	6841	7352	7248	6906	6867	7243	6818	6877	6843	7023	7113	6883	6839	6947	7979	6859	7003	6827	7284	7169	7094	7387	7532	7168	7429	7263	7329	7311	7802	7313	7556	7501	7320	7419	7431	7434
0.423611	6945	7384	7200	7025	6990	7326	6940	6960	6883	7039	7059	7057	7050	6956	9128	7102	6795	6952	7380	7149	7286	7327	7494	7183	7249	7253	7256	7429	7616	7218	7556	7331	7341	7297	7546	7437
0.440556	7082	7344	7481	7142	6998	7217	6980	6920	7021	7117	7352	7051	7054	7007	8593	7106	7088	6944	7539	7229	7369	7378	7422	7145	7520	7498	7382	7574	7911	7398	7502	7610	7556	7440	7390	7408
0.457500	7115	7628	7381	7036	7020	7413	7036	6972	7026	7156	7334	7135	7124	7121	8265	7059	7079	6995	7476	7194	7383	7479	7370	7400	7405	7373	7618	7635	7722	7470	7452	7466	7435	7538	7566	7540
0.474444	7063	7677	7460	7141	7063	7456	7038	6875	6981	7191	7410	7038	7097	7227	8084	7105	7082	7045	7558	7355	7376	7401	7651	7331	7365	7454	7529	7661	8059	7575	7407	7610	7464	7622	7486	7525
0.491389	7193	7467	7461	7009	6959	7607	7230	7099	7049	7259	7237	7186	7161	7144	8248	7000	7138	7147	7696	7165	7569	7508	7632	7360	7401	7430	7513	7771	7852	7618	7440	7481	7483	7676	7595	7472
0.508333	7105	7711	7629	7114	7154	7436	7181	7112	7191	7246	7412	7157	7192	7166	8058	7115	7170	7102	7605	7470	7471	7426	7556	7458	7504	7306	7585	7786	7828	7404	7535	7452	7422	7574	7533	7728
0.525278	7145	7715	7321	7164	7297	7523	7101	6902	7036	7287	7443	7200	7276	7322	8902	7305	7170	7204	7779	7287	7606	7457	7653	7419	7480	7363	7570	7635	7966	7665	7652	7527	7540	7505	7570	7602
0.542222	7165	7562	7538	7406	7138	7534	7163	6990	7167	7343	7583	7244	7082	7172	9343	7185	7249	7094	7818	7385	7531	7610	7640	7467	7554	7628	7550	7711	7938	7583	7546	7650	7611	7679	7520	7627
0.559167	7291	7913	7494	7292	7122	7524	7181	7138	7107	7331	7311	7284	7341	7349	9086	7291	7414	7139	7655	7356	7522	7589	7712	7528	7583	7693	7786	7647	7917	7427	7525	7695	7805	7710	7529	7641
0.576111	7259	7681	7501	7286	7149	7498	7128	7148	6974	7181	7496	7470	7256	7279	8714	7220	7342	7087	7706	7479	7381	7731	7771	7551	7630	7460	7707	7646	8187	7437	7668	7535	7714	7739	7660	7555
0.593056	7225	7733	7543	7242	7182	7436	7187	7001	7206	7456	7441	7323	7222	7256	8616	7138	7292	7225	7701	7346	7550	7581	7717	7500	7589	7636	7608	7564	7964	7575	7682	7490	7686	7519	7578	7808
0.610000	7366	7661	7550	7309	7237	7647	7154	7188	7102	7404	7522	7390	7347	7393	9012	7309	7205	7201	7623	7429	7572	7707	7786	7442	7501	7650	7619	7698	7999	7518	7699	7615	7476	7851	7673	7978
0.626944	7167	7748	7582	7329	7221	7599	7098	7247	7246	7344	7535	7279	7414	7275	9560	7138	7251	7109	7503	7438	7637	7759	7874	7569	7666	7559	7676	7652	7942	7568	7602	7544	7755	7804	7614	7715
0.643889	7098	7758	7463	7265	7112	7502	7100	7042	7120	7155	7527	7209	7432	7294	9255	7244	7333	7005	7661	7321	7639	7550	7715	7621	7727	7610	7613	7454	8016	7274	7568	7536	7643	7597	7628	7601
0.660833	7245	7677	7661	7457	7078	7441	7140	7050	7110	7123	7446	7346	7297	7211	9745	7158	7039	6976	7578	7278	7518	7557	7672	7392	7657	7647	7637	7433	8058	7529	7569	7559	7607	7663	7773	7613
0.677778	7168	7661	7519	7275	7158	7477	7145	7109	6996	7291	7489	7234	7149	7256	9838	7312	7133	7127	7515	7399	7359	7659	7875	7439	7595	7633	7506	7590	7938	7516	7615	7522	7689	7652	7349	7629
0.694722	7175	7657	7245	7099	7186	7611	7028	7148	7098	7053	7376	7122	6967	7261	9621	7183	7219	7139	7428	7386	7319	7496	7763	7446	7562	7515	7483	7490	7914	7369	7535	7647	7664	7592	7547	7708
0.711667	7065	7665	7458	7200	7103	7388	7097	6895	6928	7152	7437	7203	7133	7158	9460	7096	7066	7074	7524	7290	7228	7574	7787	7311	7530	7490	7520	7508	7954	7462	7480	7503	7656	7665	7506	7587
0.728611	7098	7581	7392	7290	7017	7482	7070	6999	6975	7046	7237	7079	7090	7050	9571	7100	7123	7057	7552	7407	7372	7639	7667	7375	7465	7535	7551	7476	7912	7336	7524	7435	7613	7543	7567	7480
0.745556	7058	7426	7333	7227	6967	7534	6977	6918	7003	7185	7348	7067	6959	6942	9472	7124	7130	7029	7433	7232	7411	7602	7650	7482	7594	7490	7626	7500	7792	7465	7548	7558	7498	7556	7208	7530
0.762500	7140	7377	7303	6942	6914	7407	6897	6856	6949	6982	7413	7219	7038	7092	9267	7060	7034	6878	7502	7200	7282	7548	7623	7382	7488	7474	7626	7397	7753	7435	7418	7304	7403	7533	7529	7379
0.779444	6967	7585	7263	7115	6952	7283	7022	6894	6883	7054	7353	7054	7104	7097	9286	7080	6986	6998	7368	7250	7328	7467	7589	7424	7488	7430	7608	7334	7644	7261	7413	7328	7510	7513	7388	7474
0.796389	6917	7333	7255	7041	7059	7254	6830	6790	6931	7147	7288	7051	7025	7064	9223	6906	6985	6901	7353	7158	7172	7317	7526	7342	7556	7523	7460	7427	7606	7204	7428	7578	7369	7608	7253	7515
0.813333	6938	7415	7139	6840	6954	7286	6916	6844	6841	6977	7213	7077	7053	7009	9203	7010	7029	6776	7385	7162	7222	7375	7681	7372	7547	7385	7474	7273	7691	7195	7381	7507	7400	7405	7246	7392
0.830278	6950	7363	7191	6998	6863	7346	6883	6592	6851	7077	7352	7022	6849	6889	9144	7008	6925	6932	7369	7250	7373	7564	7504	7333	7444	7388	7473	7330	7745	7187	7259	7382	7489	7347	7308	7226
0.847222	6881	7457	7115	7012	7001	7193	6810	6657	6661	6899	7214	7080	6767	6873	9064	6980	6941	6931	7263	7101	6979	7404	7521	7428	7589	7545	7453	7384	7752	7192	7262	7352	7337	7374	7302	7370
0.864167	6875	7281	7123	6819	6833	7171	6840	6802	6890	6778	7185	6967	7056	6781	9104	6901	6967	6786	7196	7304	7277	7228	7554	7221	7477	7368	7424	7288	7750	7071	7352	7439	7378	7361	7217	7304
0.881111	6799	7228	7144	6860	6907	7193	6786	6755	6791	6943	7091	6939	6771	7002	9123	6879	6847	6862	7371	7141	7153	7453	7451	7241	7266	7444	7473	7231	7645	7073	7327	7390	7359	7507	7249	7330
0.898056	6945	7220	7185	6749	6738	7283	6785	6747	6831	6905	7034	6873	6856	6810	8855	6872	6900	6851	7285	6950	7036	7334	7542	7359	7421	7377	7459	7155	7600	7167	7253	7271	7263	7301	7220	7324
0.915000	6828	7386	7033	6752	6663	7127	6919	6701	6720	6808	7148	6812	6760	6793	9111	6861	6905	6881	7374	7130	7205	7414	7409	7415	7492	7364	7370	7172	7463	7076	7203	7241	7266	7420	7176	7369
0.931944	6815	7329	7021	6963	6585	7008	6893	6817	6928	6713	7091	6960	6817	6714	9089	6735	6786	6793	7129	7096	7114	7428	7516	7330	7389	7458	7483	7277	7621	7097	7244	7405	7312	7284	7435	7354
0.948889	6849	7320	6979	6772	6676	7132	6648	6818	6760	6788	7236	6947	6658	6946	9080	6964	6897	6860	7173	7052	7037	7369	7409	7396	7353	7386	7373	7238	7519	7030	7235	7207	7205	7281	7255	7483
0.965833	6767	7313	7111	6784	6508	7274	6735	6696	6653	6601	7032	6882	6875	6902	9291	6945	6801	6703	7211	7025	7181	7291	7426	7282	7409	7362	7382	7088	7455	6990	7122	7152	7256	7371	7264	7433
0.982778	6770	7302	7087	6708	6610	7041	6688	6786	6678	6779	7099	6872	6656	6843	9129	6777	6875	6903	7354	7044	7183	7391	7604	7175	7491	7535	7427	7201	7656	7002	7246	7205	7222	7260	7194	7257
0.999722	6704	7204	6988	6827	6724	7144	6590	6580	6726	6785	7079	6828	6819	6808	9096	6858	6813	6774	7182	6948	7110	7304	7544	7135	7371	7418	7353	7113	7573	7044	7215	7059	7191	7337	7318	7409
1.016667	6770	7162	7014	6807	6603	7078	6573	6697	6770	6813	6976	6772	6756	6746	9300	6703	6842	6823	7347	6938	6964	7250	7234	7024	7387	7363	7335	7084	7526	7112	7113	7250	7147	7195	7039	7183
1.033611	6690	7240	7040	6841	6648	7044	6742	6721	6807	6632	6922	6864	6684	6727	9460	6730	6850	6744	7255	6907	6859	7223	7541	7229	7313	7307	7382	7101	7483	7108	7036	7212	7165	7184	7108	7396
1.050556	6655	7096	7000	6702	6604	7100	6697	6604	6612	6682	6918	6722	6693	6860	9537	6625	6698	6596	7212	6939	6969	7200	7459	7035	7294	7304	7319	7077	7686	6886	7081	7105	7088	7228	7052	7308
1.067500	6689	7014	6948	6747	6597	7048	6688	6644	6707	6606	6918	6778	6608	6741	9373	6704	6900	6817	7170	7030	6973	7295	7271	7080	7093	7146	7437	7042	7573	7091	7153	7187	7177	7213	7257	7060
1.084444	6808	7172	7036	6733	6689	7178	6637	6612	6655	6614	6897	6692	6684	6631	9192	6624	6670	6707	7020	6887	6976	7251	7339	7177	7287	7457	7309	7081	7587	6956	7145	7133	7132	7140	7035	7145
1.101389	6860	7178	6931	6692	6574	7148	6740	6598	6796	6617	6907	6652	6635	6753	9124	6595	6601	6661	7123	6858	6918	7232	7287	7058	7362	7199	7335	7140	7518	7071	7109	7199	7195	7198	7052	7249
1.118333	6752	7102	7020	6819	6584	7091	6741	6674	6673	6574	7149	6624	6679	6613	9338	6510	6785	6758	6957	6982	6699	7186	7257	7073	7208	7299	7263	7076	7399	6964	7049	7087	7184	7077	7070	7052
1.135278	6626	7147	6899	6741	6658	7158	6819	6545	6618	6620	6824	6493	6549	6635	9498	6471	6649	6794	6991	6804	6815	7110	7289	7079	7179	7280	7354	7081	7363	7018	7039	7178	7072	7157	6953	6920
