Well,Aggregation,Halftime
A01,1,108.132163
A02,1,71.57230162
A03,1,108.6005848
A04,1,107.7539643
A05,0,
A06,0,
A07,1,60.56506706
A08,1,64.56265141
A09,1,149.8741998
A10,1,36.53770853

B01,1,103.6783119
B02,1,89.79202119
B03,1,145.127364
B04,1,148.7644607
B05,0,
B06,0,
B07,1,55.4534131
B08,1,40.23698477
B09,1,116.5514058
B10,1,50.68417235

C01,1,64.28786341
C02,1,105.8151469
C03,1,139.4490434
C04,1,124.4315307
C05,0,
C06,0,
C07,1,83.68204898
C08,1,72.95048435
C09,1,93.3673908
C10,1,77.6242318

D01,1,75.28625943
D02,1,47.81968178
D03,1,108.5649352
D04,1,111.6337887
D05,0,
D06,0,
D07,1,60.51490305
D08,1,88.66460791
D09,1,103.303572
D10,1,86.34492956

E01,1,94.15437223
E02,1,89.28761098
E03,1,113.5765949
E04,1,120.1828978
E05,0,
E06,0,
E07,1,57.07733456
E08,1,63.01644995
E09,1,71.05370844
E10,1,97.23218975

F01,1,104.7233216
F02,1,92.62684862
F03,1,82.37588036
F04,1,75.95877881
F05,1,96.49218979
F06,1,45.41544836
F07,1,76.89446625
F08,1,52.02387647
F09,1,105.8385104
F10,1,91.64435603

G01,1,96.01273139
G02,1,106.9405853
G03,1,69.49890155
G04,1,81.69758201
G05,1,82.49068208
G06,1,64.91547873
G07,1,76.88213814
G08,1,37.09561166
G09,1,82.61584568
G10,1,84.68235089

H01,1,117.6275779
H02,1,99.81003405
H03,1,87.00747038
H04,1,97.92984699
H05,1,88.31807126
H06,1,99.48609521
H07,1,78.88568188
H08,1,75.46442327
H09,1,94.24038086
H10,1,70.89273832
