Well,Aggregation,Halftime
A03,1,69.72280455
A04,1,43.58468291
A05,1,86.26561741
A06,1,49.80945284
A07,1,33.48241713
A08,1,31.80403684
A09,1,32.1669642
A10,1,31.69646864

B03,1,26.112938
B04,1,55.90174931
B05,1,62.61284511
B06,1,96.69139146
B07,1,30.95586424
B08,1,29.11369392
B09,1,33.8509863
B10,1,30.24533389

C03,1,78.77706094
C04,1,105.7547257
C05,1,61.89422672
C06,1,95.2687908
C07,1,95.66604577
C08,1,83.40695151
C09,1,79.25732702
C10,1,79.09619979

D03,1,58.94368803
D04,1,79.32193566
D05,1,81.64820311
D06,1,63.94531413
D07,1,95.57256779
D08,1,88.68973018
D09,1,88.67085001
D10,1,98.95085613

E03,1,41.1308505
E04,1,54.93458453
E05,1,71.52864527
E06,1,69.05656679
E07,1,102.2948072
E08,1,93.94068779
E09,1,102.2303157
E10,1,88.96124259

F03,1,66.32602096
F04,1,77.64840462
F05,1,90.8266304
F06,1,86.91077987
F07,1,94.78202703
F08,1,85.10327759
F09,1,97.51750995
F10,1,92.52503474

G03,1,41.51575713
G04,1,40.28304942
G05,1,36.92154101
G06,1,39.06247661
G07,1,48.69347352
G08,1,47.76026599
G09,1,47.45045437
G10,1,46.13098624

H03,1,21.0693495
H04,1,17.89591796
H05,1,22.3737575
H06,1,20.49801855
H07,1,20.34943725
H08,1,19.79066802
H09,1,29.44732699
H10,1,19.7356155
