Time	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	C02	C03	C04	C05	C06
0.0	2362	2363	2008	2419	1981	2145	2100	2162	2096	2014	2390	2213	2186	2104	2045	2090	2069	2169	2405	2202	2281	2204	2166	2003	2018
0.05583333333333333	2197	2237	1981	2335	1945	2046	2022	2130	2094	2019	2308	2115	2054	2025	2076	1997	2054	2218	2356	2179	2248	2135	2118	1971	1995
0.11166666666666666	2082	2216	2050	2322	1931	2065	1988	2106	2077	1976	2115	2103	2070	1950	2038	1995	2012	2077	2214	2176	2134	2124	2018	1973	1966
0.1675	2020	2154	2064	2323	1899	2013	1967	2100	2042	1980	2116	2085	2126	1975	2006	1942	1984	2156	2203	2113	2077	2038	2050	1953	1941
0.22333333333333333	2032	2201	2064	2363	1908	1997	1975	2088	2018	1924	2130	2011	2066	1929	1953	1928	1989	1995	2278	2131	2117	2119	2059	1963	1908
0.2791666666666667	2066	2212	2081	2312	1903	2028	1965	2059	2075	2021	2123	2087	2050	1921	1979	1937	2009	2079	2203	2088	1995	2121	2107	1888	1885
0.335	2077	2213	2038	2309	1863	1998	2008	2100	2027	2009	2065	2071	2030	1932	1976	1942	1991	2080	2288	2105	2060	2114	2096	1922	1897
0.3908333333333333	2065	2191	2055	2333	1891	2008	1957	2155	2028	1971	2023	2015	2004	1946	1927	1930	1940	1997	2355	2142	2054	2111	2070	1911	1907
0.44666666666666666	2034	2178	1988	2309	1920	2072	1948	2121	2040	2021	2077	2084	2029	1956	2055	1960	1983	2153	2414	2141	2064	2112	2081	1904	1938
0.5025	2063	2227	2027	2383	1931	2050	1979	2114	2047	2014	2028	2114	2046	2016	2020	1982	1966	2092	2370	2183	2069	2136	2093	1909	1911
0.5583333333333333	2100	2183	2026	2375	1901	2078	2046	2185	2009	2106	2106	2080	2157	1993	1989	1953	1962	2135	2426	2189	2093	2126	2087	1914	1923
0.6141666666666666	2016	2188	2043	2329	1912	2114	2008	2131	2063	2123	2053	2084	2108	1952	2033	1963	1998	2124	2444	2222	2117	2136	2059	1931	2006
0.67	2070	2205	2018	2337	1928	2034	2028	2114	2073	2057	2014	2046	2135	2002	2018	1984	1963	2204	2425	2199	2149	2130	2105	1926	2021
0.7258333333333333	2096	2215	1989	2326	1969	2076	2030	2109	2087	2094	2106	2104	2089	1982	2069	2018	2047	2195	2405	2211	2127	2087	2066	1972	2020
