Time	C07	C08	C09	C10	C11	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11
0.0	2130	2086	2143	2046	2052	2148	2030	1967	2290	1950	1887	2095	2031	1863	2030	2044	2054	2178	2162	1973	1964	2026	1900	2031	2236
0.05583333333333333	2162	2043	2028	2017	2036	2024	2022	1972	2306	1980	1889	2081	2053	1892	1960	1981	2070	2206	2200	1956	2041	2039	1867	2066	2234
0.11166666666666666	2080	2073	2024	2024	2034	1949	2000	2002	2345	1943	1959	2096	1975	1843	1917	1937	2082	2168	2100	1971	2095	2054	1897	2093	2131
0.1675	2126	2017	2031	1935	1961	1948	2006	1997	2414	1884	1918	2176	1919	1877	1889	1897	2074	2136	2169	1999	2042	2067	1948	2212	2244
0.22333333333333333	2113	2040	2024	2003	1985	1932	1976	2004	2450	1981	1999	2127	1971	1874	1959	1885	2077	2228	2222	2056	2016	2042	1928	2071	2221
0.2791666666666667	2069	1989	2033	1948	1992	1881	1979	2012	2359	1945	1958	2093	1960	1846	1884	1889	2061	2354	2328	2071	2022	1912	1942	2124	2193
0.335	2061	2011	2039	1947	1969	1919	2003	2027	2343	1928	1968	2136	1949	1872	1964	1870	2035	2413	2248	2017	2017	1975	1946	2066	2178
0.3908333333333333	2029	1991	2054	2015	1955	1953	1971	2117	2383	1945	1982	2142	2040	1888	1889	1863	1935	2366	2263	1916	2045	1924	1962	2129	2184
0.44666666666666666	2085	2012	2115	2019	1946	1864	2007	2123	2391	1963	1985	2125	2097	1891	1929	1857	1970	2284	2256	2036	2019	2055	1961	2108	2258
0.5025	2086	2024	2098	2055	2006	1941	1999	2092	2364	2023	1965	2190	2056	1875	1965	1858	2055	2332	2292	1997	2108	2066	1991	2097	2195
0.5583333333333333	2072	2029	2074	2079	1989	1952	2044	2062	2385	1973	1928	2094	2097	1967	1996	1895	2070	2320	2280	2088	2114	2070	2007	2114	2227
0.6141666666666666	2125	2055	2063	2055	1995	1938	2078	2076	2299	2099	1962	2122	2094	2026	1979	1904	2075	2414	2264	2126	2088	2102	2016	2084	2288
0.67	2136	2063	2067	2082	2028	1927	2067	2042	2410	2083	1926	2157	2112	1955	1989	1923	2103	2332	2218	2060	2052	2103	2066	2130	2242
0.7258333333333333	2168	2047	2108	2061	1988	1862	2057	2044	2400	2048	1966	2134	2211	2010	2027	1869	2133	2345	2279	2095	2118	2051	2084	2209	2191
0.7816666666666666	2091	2066	2077	1997	2073	1844	2051	2025	2454	2101	1985	2281	2148	1955	2125	1841	2184	2354	2277	2103	2023	2038	2044	2089	2357
0.8375	2164	2009	2098	2183	1932	1875	2041	2099	2431	2105	2000	2337	2122	1892	2321	1876	2141	2348	2342	2064	2067	2175	2080	2277	2337
0.8933333333333333	2083	2087	2099	1921	2027	1867	2054	2077	2470	2096	2072	2182	2164	1962	2274	1893	2155	2391	2310	2031	2101	2106	2149	1969	2764
0.9491666666666667	2040	2005	2127	2127	2057	1878	2024	2125	2568	2186	2149	2399	2398	1797	2659	1888	2182	2356	2333	2041	2137	2040	2037	2095	2096
1.005	2287	1964	2070	2221	2096	1885	2018	2085	2527	2181	2062	2350	2105	2341	2186	1879	2115	2370	2304	2071	2081	2176	1989	2544	2375
1.0608333333333333	2083	1837	2066	1840	1886	1816	2006	2107	2510	1983	1966	2402	2325	1950	2231	1887	2160	2324	2295	2102	2094	2091	2195	2243	2416
1.1166666666666667	2458	2093	2309	1762	1912	1843	2010	2076	2499	2323	2234	2274	2173	1942	1911	1888	2110	2371	2320	2191	2181	2409	2034	2382	2169
1.1725	2690	2130	2272	2071	1726	1853	2056	2107	2537	2061	2262	2265	2358	2171	2371	1881	2093	2332	2310	2055	1913	2397	2290	2131	2356
1.2283333333333333	2618	2232	2455	2089	2117	1841	2012	2122	2434	2140	2065	2146	2124	2179	2370	1865	2104	2337	2218	2103	2228	2045	2255	2145	2603
1.2841666666666667	2629	2239	2617	2198	2227	1850	1988	2067	2565	2216	2248	2268	2333	2023	2163	1868	2139	2340	2557	1955	2232	2358	2239	2134	2683
1.34	2076	2498	2128	2090	1802	1908	2074	2168	2148	2085	2119	2244	2286	2290	2442	1876	2106	2363	2316	1977	1985	1922	1983	2390	2348
1.3958333333333333	2484	2254	2054	2103	1834	1874	2037	2085	2754	2118	2110	2480	2358	2266	2128	1876	2082	2318	2190	2086	2109	2181	2055	2381	2352
1.4516666666666667	2114	2242	2264	2073	1858	1928	2033	2101	2712	2434	2270	2516	2376	2233	2203	1851	2073	2337	2351	2213	2162	2247	2235	2487	2448
1.5075	2607	2385	1806	2222	1916	1895	2026	2172	2502	2157	2172	2428	2376	2275	2338	1858	2095	2266	2308	2121	2324	2066	2112	2349	2359
1.5633333333333332	2272	2092	2191	2266	2216	1946	2033	2177	2163	2193	2388	2450	2333	2125	2226	1881	2144	2444	2207	2139	2394	2242	2083	2270	2486
1.6191666666666666	2657	2176	2023	2005	1943	1953	2003	2221	2663	2116	2287	2466	2307	2284	2215	1876	2086	2316	2326	2089	2163	2145	2125	2307	2549
1.675	2283	2663	1874	2353	2193	1924	2002	2342	2438	2380	2202	2378	2482	2314	2212	1871	2107	2331	2624	1966	2181	2159	2248	2424	2403
1.7308333333333332	2343	1847	1878	2123	2457	1920	2062	2237	2940	2406	2195	2441	2428	2231	2142	1827	2095	2430	2502	2327	2278	2284	2180	2277	2295
1.7866666666666666	2430	2185	1930	2174	1848	1920	2007	2402	2294	1962	2450	2455	2340	2173	2290	1897	2118	2792	2314	2207	2254	2028	2285	2349	2555
1.8425	2562	2320	1882	2114	1854	1960	2022	2430	2730	2273	2238	2385	2482	2202	2089	1869	2156	2364	2445	2281	2200	2291	2205	2455	2378
1.8983333333333334	2398	2177	1934	2275	2173	1917	2022	2321	2546	2186	2542	2557	2217	2271	2356	1880	2098	2606	2205	2138	2332	2033	2234	2522	2525
1.9541666666666666	2497	2094	2140	2142	2076	1934	1978	2280	2834	2378	2216	2377	2372	2219	2277	1826	2101	2400	2358	2061	2106	2066	2193	2547	2488
2.01	2853	2323	1989	2197	2054	1931	2002	2215	2793	2258	2416	2416	2336	2352	2302	1920	2083	2163	2304	2033	2302	2179	2153	2309	2518
2.0658333333333334	2312	2151	2095	2480	2072	1883	2021	2293	2760	2099	2369	2459	2375	2146	2214	1847	2099	2239	2300	2112	2307	2311	2252	2610	2603
2.1216666666666666	2545	2197	2037	2268	2014	1899	2041	2347	2887	2243	2458	2427	2347	2217	2210	1837	2044	2550	2519	1963	2329	2373	2182	2599	2478
2.1775	3003	2075	2535	2526	2024	1921	2015	2174	2520	2339	2441	2574	2378	2494	2361	1867	2108	2084	2165	2152	2530	2129	2277	2574	2557
2.2333333333333334	2391	2181	2407	2199	2395	1937	2043	2334	2326	2453	2235	2377	2486	2285	2574	1882	2109	2427	2306	2141	2344	2247	2313	2629	2603
2.2891666666666666	2549	2490	2341	2252	2511	1907	2042	2618	2519	2154	2384	2453	2542	2206	2220	1869	2132	2611	2625	2268	2341	2265	2254	2519	2470
2.345	2473	2192	2442	2270	2076	1937	2055	2412	2658	2258	2180	2479	2344	2280	2299	1866	2061	2398	2749	1988	2249	2337	2130	2475	2673
2.4008333333333334	2350	2268	2298	2289	2431	1895	2042	2202	2472	2357	2318	2431	2308	2199	2313	1842	2125	2499	2367	2124	2227	2356	2283	2362	2688
2.4566666666666666	2577	2216	2462	2178	2165	1902	2050	2266	2867	2299	2289	2362	2563	2246	2501	1809	2064	2800	2324	2246	2460	2324	2224	2521	2516
2.5125	2732	2375	2291	2296	2287	1904	2027	2076	2366	2334	2217	2420	2386	2419	2141	1882	2089	2762	2464	2281	2276	2234	2402	2515	2699
2.5683333333333334	2500	2543	2387	2326	2254	1895	2030	2541	2801	2406	2411	2320	2487	2295	2451	1840	2128	2541	2359	2187	2464	2210	2270	2563	2490
2.6241666666666665	2590	2435	2339	2438	2504	1952	2116	1984	2673	2354	2215	2422	2358	2281	2117	1834	2067	2318	2507	2118	2392	2390	2293	2647	2478
2.68	2818	2356	2441	2432	2338	1921	1984	2191	2667	2544	2320	2447	2543	2458	2444	1855	2093	2334	2304	1983	2452	2368	2409	2559	2780
2.7358333333333333	2418	2332	2298	2167	2238	1932	2105	2621	2962	2267	2381	2515	2591	2480	2376	1868	2068	2457	2324	2075	2507	2237	2484	2525	2525
2.7916666666666665	2483	2615	2351	2349	2312	1933	2077	2423	2907	2414	2308	2638	2552	2512	2472	1828	2122	2522	2593	2076	2352	2355	2299	2614	2815
2.8475	2683	2283	2553	2300	2153	1886	1928	2430	2686	2340	2396	2523	2402	2409	2527	1837	2186	2295	2732	2232	2619	2456	2290	2627	2704
2.9033333333333333	2606	2663	2484	2361	2201	1906	2007	2414	2684	2361	2544	2680	2426	2612	2568	1857	2150	2508	2698	2157	2523	2317	2348	2637	2396
2.9591666666666665	2339	2442	2414	2108	2198	1867	2342	2579	2709	2217	2471	2630	2602	2522	2634	1813	1952	2348	2330	2339	2471	2328	2420	2719	2606
