Time	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11
0.0	2224	2032	1988	2022	1900	1971	2049	1965	1925	2071
0.05583333333333333	2051	2098	2020	1979	1852	1931	1968	1999	1889	2038
0.11166666666666666	2039	2057	2027	1976	1841	1948	2070	2030	1883	2063
0.1675	1993	2041	2014	1948	1911	1914	2015	2093	1960	2231
0.22333333333333333	2001	2076	2079	1993	1975	1961	1995	1968	1841	2205
0.2791666666666667	1941	2084	2055	2048	1977	1990	2006	1980	1846	2183
0.335	1924	2141	2127	2078	1919	1965	2058	1994	1879	2134
0.3908333333333333	1889	2247	2132	2055	1940	1920	2128	1982	1898	2155
0.44666666666666666	1855	2140	2130	2071	1934	1900	2111	1972	1903	2234
0.5025	1867	2232	2162	2035	1982	1949	2103	2042	1934	2199
0.5583333333333333	1857	2219	2177	2013	1945	1930	2114	2100	1934	2225
0.6141666666666666	1884	2183	2148	2072	1924	2015	2160	2141	2067	2210
0.67	1909	2108	2135	2083	1918	1986	2177	2160	2142	2231
0.7258333333333333	1879	2138	2117	2004	1931	2025	2202	2211	2066	2239
0.7816666666666666	1941	2150	2123	2116	1987	2090	2266	2302	2056	2287
0.8375	1900	2168	2142	2058	2014	2115	2194	2141	2282	2431
0.8933333333333333	1892	2157	2094	2033	1911	2103	2308	2339	2133	1993
0.9491666666666667	1856	2235	2118	2087	2034	1995	2274	2416	2036	2717
1.005	1862	2189	2139	2139	2014	1920	2332	2481	1877	2302
1.0608333333333333	1881	2170	2094	2027	1930	2283	2399	2124	2393	2304
1.1166666666666667	1898	2162	2135	2123	1976	2112	2500	2189	2327	2583
1.1725	1830	2225	2110	2189	2179	2108	2318	2101	2221	2208
1.2283333333333333	1866	2216	2071	2027	2416	2065	2317	2376	2065	2341
1.2841666666666667	1862	2183	2158	2219	1945	2029	2307	2471	2386	2272
1.34	1858	2189	2158	2529	2227	2386	2338	2488	2211	2428
1.3958333333333333	1913	2197	2109	2174	2147	2333	2449	2235	2131	2473
1.4516666666666667	1853	2203	2073	2111	2079	2289	2490	2394	2405	2459
1.5075	1841	2129	2201	2154	1940	2161	2424	2386	2352	2606
1.5633333333333332	1818	2129	2094	2503	2132	2250	2534	2424	2212	2339
1.6191666666666666	1834	2207	2359	2539	2181	1997	2489	2461	2124	2480
1.675	1831	2200	2237	2394	1976	2238	2593	2341	2390	2371
1.7308333333333332	1895	2204	2358	2283	2094	2136	2415	2430	2255	2400
1.7866666666666666	1847	2167	2165	2281	2057	2067	2321	2371	2327	2529
1.8425	1816	2158	2201	2158	2276	2312	2450	2452	2225	2364
1.8983333333333334	1872	2195	2206	2425	2356	2284	2375	2638	2472	2546
1.9541666666666666	1917	2150	2265	2059	2210	2260	2393	2468	2396	2455
2.01	1897	2093	2387	2267	2274	2438	2629	2544	2569	2584
2.0658333333333334	1852	2240	2313	2298	2305	2414	2422	2393	2499	2333
2.1216666666666666	1834	2138	2402	2543	2180	2358	2488	2499	2518	2392
2.1775	1913	2125	2309	2220	2145	2421	2567	2501	2642	2774
2.2333333333333334	1902	2200	2312	2269	2313	2354	2613	2559	2493	2403
2.2891666666666666	1895	2156	2066	2486	2302	2494	2432	2535	2447	2517
2.345	1920	2130	2469	2198	2320	2303	2484	2459	2494	2642
2.4008333333333334	1942	2168	2154	2354	2334	2552	2669	2513	2405	2485
2.4566666666666666	1912	2250	2113	2574	2438	2441	2442	2473	2441	2621
2.5125	1872	2178	2029	2555	2544	2303	2607	2461	2441	2375
2.5683333333333334	1913	2310	2244	2453	2330	2324	2632	2542	2566	2436
2.6241666666666665	1905	2160	2251	2197	2252	2348	2371	2400	2560	2499
2.68	1911	2192	2063	2400	2332	2458	2527	2411	2479	2550
2.7358333333333333	1929	2274	2195	2267	2305	2337	2455	2732	2494	2719
2.7916666666666665	1923	2101	2254	2361	2443	2409	2548	2613	2534	2739
2.8475	1911	2152	2272	2291	2545	2286	2450	2449	2727	2711
2.9033333333333333	1922	2096	2491	2241	2524	2500	2513	2579	2398	2367
2.9591666666666665	1933	2160	2166	2557	2613	2237	2523	2581	2462	2491
3.015	1944	2129	2398	2566	2253	2282	2554	2640	2413	2717
3.0708333333333333	1948	2283	2208	2448	2332	2386	2514	2412	2445	2676
3.1266666666666665	1922	2184	2392	2540	2672	2442	2506	2616	2686	2780
3.1825	1896	2325	2364	2400	2605	2420	2848	2580	2558	2638
3.2383333333333333	1924	2398	2386	2566	2697	2492	2494	2763	2773	2858
3.2941666666666665	1916	2305	2450	2665	2491	2397	2516	2691	2770	2510
3.35	1956	2170	2485	2765	2601	2533	2584	2620	2663	2818
3.4058333333333333	1914	2266	2580	2740	2745	2510	2796	2713	2551	2817
3.4616666666666664	1918	2223	2327	2788	2607	2421	2678	2550	2713	2601
3.5175	1901	2343	2269	2720	2399	2349	2777	2699	2703	2776
3.5733333333333333	1896	2199	2474	2504	2501	2526	2700	2565	2623	2793
3.629166666666667	1928	2259	2292	2812	2545	2484	2760	2625	2564	2848
3.685	1915	2300	2476	2737	2462	2439	2531	2807	2550	2792
3.7408333333333332	1911	2319	2378	2725	2578	2395	2514	2606	2461	2844
