Well,Aggregation,Halftime
A02,1,52.50278680124613
A03,1,67.61074319512603
A04,1,52.09850997271246
A05,1,43.92896588729352
A06,1,39.16311201039386
A07,1,39.532596356723296
A08,1,39.5742318438376
A09,1,35.21457453912712
A10,1,38.01629293626773
A11,1,15.562247013843308

B02,1,52.67177608850036
B03,1,63.20654939915208
B04,1,43.272066222472496
B05,1,43.47648102922797
B06,1,38.25714654607686
B07,1,38.67328545773619
B08,1,37.73153543381543
B09,1,30.977384324412743
B10,1,31.964225297063926
B11,1,15.820253943858278

C02,1,62.00162952034254
C03,1,49.2163336636274
C04,1,51.9044457879665
C05,1,42.20307002906081
C06,1,38.53910092743542
C07,1,34.335993432321835
C08,1,44.56558883320189
C09,1,35.41066259384647
C10,1,40.15025717965506
C11,1,21.314317023747172

D03,0,
D04,1,29.012645589572916
D05,1,26.80862690028908
D06,1,32.4307229366777
D07,1,36.265376534664384
D08,1,43.83596439909975
D09,1,33.766224713090665
D10,1,38.90938390737846
D11,1,40.977013480277456

E03,0,
E04,1,30.851969266866554
E05,1,27.204738001993544
E06,1,31.920783854016605
E07,1,36.913187148632716
E08,1,45.91943261569117
E09,1,40.20923422918954
E10,1,40.31547688024569
E11,1,40.19373892425805

F02,0,
F03,1,48.75229642285828
F04,1,27.170358900766576
F05,1,26.77111007182982
F06,1,30.814190493751926
F07,1,34.93800207400412
F08,1,34.48119304203627
F09,1,41.83577414991297
F10,1,35.110390936487015
F11,1,28.74799415909555
