well,row,col,antibody,conc_uM,is_control,half_time
A2,A,2,B2,10,False,
A3,A,3,B2,5,False,67.61074319512603
A4,A,4,B2,2.5,False,52.09850997271246
A5,A,5,B2,1.25,False,43.92896588729352
A6,A,6,B2,0.625,False,39.16311201039386
A7,A,7,B2,0.31,False,39.532596356723296
A8,A,8,B2,0.16,False,39.5742318438376
A9,A,9,B2,0.08,False,35.21457453912712
A10,A,10,B2,0.04,False,38.01629293626773
A11,A,11,B2,0,True,15.562247013843308

B2,B,2,B2,10,False,
B3,B,3,B2,5,False,63.20654939915208
B4,B,4,B2,2.5,False,43.272066222472496
B5,B,5,B2,1.25,False,43.47648102922797
B6,B,6,B2,0.625,False,38.25714654607686
B7,B,7,B2,0.31,False,38.67328545773619
B8,B,8,B2,0.16,False,37.73153543381543
B9,B,9,B2,0.08,False,30.977384324412743
B10,B,10,B2,0.04,False,31.964225297063926
B11,B,11,B2,0,True,15.820253943858278

C2,C,2,B2,10,False,
C3,C,3,B2,5,False,49.2163336636274
C4,C,4,B2,2.5,False,51.9044457879665
C5,C,5,B2,1.25,False,42.20307002906081
C6,C,6,B2,0.625,False,38.53910092743542
C7,C,7,B2,0.31,False,34.335993432321835
C8,C,8,B2,0.16,False,44.56558883320189
C9,C,9,B2,0.08,False,35.41066259384647
C10,C,10,B2,0.04,False,40.15025717965506
C11,C,11,B2,0,True,21.314317023747172

D2,D,2,C3,10,False,
D3,D,3,C3,5,False,49.82010958831467
D4,D,4,C3,2.5,False,29.012645589572916
D5,D,5,C3,1.25,False,26.80862690028908
D6,D,6,C3,0.625,False,32.4307229366777
D7,D,7,C3,0.31,False,36.265376534664384
D8,D,8,C3,0.16,False,43.83596439909975
D9,D,9,C3,0.08,False,33.766224713090665
D10,D,10,C3,0.04,False,38.90938390737846
D11,D,11,C3,0,True,40.977013480277456

E2,E,2,C3,10,False,
E3,E,3,C3,5,False,35.42324811290187
E4,E,4,C3,2.5,False,30.851969266866554
E5,E,5,C3,1.25,False,27.204738001993544
E6,E,6,C3,0.625,False,31.920783854016605
E7,E,7,C3,0.31,False,36.913187148632716
E8,E,8,C3,0.16,False,45.91943261569117
E9,E,9,C3,0.08,False,40.20923422918954
E10,E,10,C3,0.04,False,40.31547688024569
E11,E,11,C3,0,True,40.19373892425805

F2,F,2,C3,10,False,
F3,F,3,C3,5,False,48.75229642285828
F4,F,4,C3,2.5,False,27.170358900766576
F5,F,5,C3,1.25,False,26.77111007182982
F6,F,6,C3,0.625,False,30.814190493751926
F7,F,7,C3,0.31,False,34.93800207400412
F8,F,8,C3,0.16,False,34.48119304203627
F9,F,9,C3,0.08,False,41.83577414991297
F10,F,10,C3,0.04,False,35.110390936487015
F11,F,11,C3,0,True,28.74799415909555
