Time	F08	F09	F10	F11	F12	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.0	2001	1776	1897	2368	2109	1711	1870	1925	1932	1797	2022	1832	1931	1814	2207	2168
0.06111111111111111	1985	1811	1888	2324	2057	1716	1841	1943	1908	1792	1986	1830	1879	1803	2107	2181
0.12222222222222222	2133	1891	1939	2244	2122	1638	1828	2014	1989	1800	1978	1916	1973	1889	2135	2149
0.18333333333333332	2154	1916	1990	2305	2138	1712	1841	2092	2017	1859	2033	1979	2079	1989	2138	2184
0.24444444444444444	2231	1993	2056	2394	2176	1730	1949	2088	1998	1888	2081	1961	2158	1973	2085	2175
0.3055555555555556	2194	2011	2053	2377	2239	1744	1965	2296	2013	1984	2029	2022	2193	2097	2157	2212
0.36666666666666664	2271	2015	2105	2334	2208	1714	1955	2284	2103	2039	2038	2048	2213	2057	2192	2249
0.42777777777777776	2218	1999	2105	2446	2194	1720	2015	2373	2119	2066	2074	2108	2233	2122	2179	2274
0.4888888888888889	2226	2127	2086	2433	2198	1715	2006	2462	2123	2105	2053	2075	2171	2190	2180	2277
0.55	2255	2118	2074	2401	2176	1689	2018	2462	2135	2144	2045	2146	2224	2146	2137	2275
0.6111111111111112	2322	2096	2045	2466	2080	1702	2074	2414	2166	2119	2078	2023	2184	2115	2173	2270
0.6722222222222223	2333	2140	2079	2453	2167	1754	2050	2411	2167	2161	2169	2124	2194	2105	2297	2260
0.7333333333333333	2322	2061	2085	2409	2086	1800	2130	2429	2133	2106	2210	2177	2186	2116	2301	2359
0.7944444444444444	2136	2112	1949	2415	2068	1776	2142	2417	2117	2175	2176	2040	2172	2032	2260	2164
0.8555555555555555	2055	2244	1884	2322	2174	1739	2142	2430	2126	2094	2153	1918	2197	1977	2212	2134
0.9166666666666666	1974	2196	1998	2308	2086	1782	2117	2412	2225	2043	2098	1897	2151	1975	2426	2172
0.9777777777777777	1964	2070	2189	2964	2094	1804	2129	2381	2181	1998	2251	2192	2070	1817	2220	2077
1.038888888888889	2269	2569	2088	2409	1884	1774	2164	2406	2186	2056	2236	2199	1875	1928	2153	2160
1.1	2584	2473	2297	2219	1865	1778	2128	2419	2112	2106	2401	2268	1864	1864	2653	2119
1.1611111111111112	2645	2143	2081	2409	2088	1775	2163	2359	1979	1984	2683	2619	1911	1830	2138	2415
1.2222222222222223	2413	2440	1971	2357	1954	1799	2150	2381	2199	1832	2476	2507	1921	1813	2232	2137
1.2833333333333334	2017	2287	2080	2469	2026	1754	2157	2340	2076	2161	2613	2575	2016	1837	2219	2229
1.3444444444444446	1874	2109	2179	2263	2879	1813	2159	2232	2205	1651	2264	2256	1826	2026	2229	2153
1.4055555555555554	2720	2380	2134	2192	2434	1734	2208	2352	1918	2516	2072	2717	1981	1990	2217	2105
1.4666666666666666	2478	2226	2075	2317	2313	1779	2181	2320	2485	1817	2479	2584	1954	1941	2127	2621
1.5277777777777777	2364	2528	2076	2393	2467	1793	2177	2350	2315	2828	2534	2465	2021	2462	2358	2219
1.5888888888888888	2695	2483	2053	2285	2229	1819	2199	2286	2370	2390	2483	2442	1894	2182	1883	2351
1.65	3097	2541	2540	2478	2255	1750	2094	2220	2552	1875	2428	2316	1990	2340	1843	2625
1.711111111111111	1979	2447	2113	2345	2091	1803	2054	2755	2213	2476	2399	2326	1923	2290	1963	2266
1.7722222222222221	1915	2318	2286	2002	2293	1802	2082	2309	2459	1919	2534	2401	2077	2189	1947	2276
1.8333333333333333	2307	2433	2247	2132	2276	1804	2315	2819	2086	2920	2303	2161	2021	2199	1871	2245
