Time	D05	D06	D07	D08	D09	D10	D11	D12	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F02	F03	F04	F05	F06	F07
0.0	1993	2096	1976	2144	2026	2133	1998	2358	2301	2046	1946	1983	2103	2022	1968	1914	1942	1948	2382	2462	2400	2013	2183	1942	1948
0.06111111111111111	2026	2000	1952	2133	1970	2128	1949	2377	2262	1986	1954	1941	2109	1947	1927	1876	1896	1936	2388	2365	2314	1977	2146	1907	1984
0.12222222222222222	1943	1937	1924	2102	1970	2082	1938	2286	2277	1989	1908	1932	2054	1881	1865	1887	1870	1923	2365	2394	2325	1931	2143	1822	1953
0.18333333333333332	1944	1908	1852	2023	2011	2040	1925	2373	2219	1990	1915	1943	2031	1936	1962	1886	1865	1902	2289	2364	2242	1905	2050	1852	1963
0.24444444444444444	1912	1915	1906	1973	1988	2063	1901	2203	2103	1982	1861	1906	2080	2009	1938	1881	1889	1952	2285	2331	2269	1907	2064	1844	1915
0.3055555555555556	1991	1917	1854	2019	2004	2035	1910	2163	2079	2017	1973	1922	2054	1986	1996	1879	1936	1956	2307	2255	2224	1965	2025	1842	1964
0.36666666666666664	1924	1901	1837	2119	2081	2105	1884	2239	2008	1925	1876	1950	2079	1983	1982	1914	1940	1950	2410	2349	2244	1936	2061	1863	1986
0.42777777777777776	1918	1946	1827	2041	2015	2076	1931	2245	2005	1969	1925	1992	2128	2006	2005	1914	1896	1909	2333	2292	2265	1946	2045	1832	1994
0.4888888888888889	1960	1889	1799	2069	2051	2086	1910	2323	2180	1993	1919	1967	2112	1980	2026	1986	1886	1917	2373	2268	2240	2042	2033	1864	1958
0.55	1965	1931	1800	2108	1999	2084	1928	2229	2200	2029	1932	1986	2192	2029	2003	1957	1893	1922	2375	2384	2229	1983	2081	1839	2034
0.6111111111111112	1951	1931	1792	2121	2056	2050	1971	2309	2242	2043	1926	1963	2129	2042	2067	1965	1877	1892	2330	2244	2244	2002	2112	1821	1973
0.6722222222222223	1981	1944	1809	2102	2031	2117	1995	2329	2195	2027	1967	2039	2145	2041	2053	1976	2035	1933	2443	2352	2268	1996	2149	1848	2006
0.7333333333333333	1951	1926	1809	2087	2064	2122	1991	2335	2225	2042	1929	2026	2167	2021	2045	1993	2030	1923	2437	2220	2226	1954	2191	1845	2059
0.7944444444444444	1978	1900	1836	2116	2042	2188	1981	2404	2200	1981	1991	2053	2196	2046	2052	1978	1998	1945	2464	2259	2196	1990	2194	1864	2038
0.8555555555555555	1970	1938	1822	2099	2060	2191	1995	2428	2225	2049	1989	2047	2204	2072	2068	2004	2038	1943	2444	2366	2213	2015	2202	1877	2004
0.9166666666666666	1928	1971	1833	2146	2053	2198	1984	2388	2206	2012	1998	2000	2180	2091	1994	2011	2030	1965	2476	2384	2227	2017	2245	1877	2065
0.9777777777777777	1927	2006	1908	2108	2093	2106	2029	2341	2171	2079	1968	2048	2188	2062	2087	1995	2047	1998	2444	2391	2283	2045	2309	1891	2038
