Well,Aggregation,Halftime
B02,1,52.658824319279425
B03,1,63.102912730981444
B04,1,72.12491283097378
B05,1,70.26830772491883
B06,1,53.01736025634726
B07,1,36.37577652936138
B08,1,58.54435334687604
B09,1,29.677789062896544
B10,1,39.295206113088696
B11,1,34.189744443564315
B12,1,45.351142116576995

C02,1,48.619092015270674
C03,1,66.57028489424792
C04,1,56.489278218881665
C05,1,54.01733629091164
C06,1,50.731910616195385
C07,1,32.874636323956786
C08,1,37.65469569823851
C09,1,37.37398722057558
C10,1,43.04835866613645
C11,1,33.04562534869741
C12,1,36.962627672276795

D02,1,85.31218494198919
D03,1,81.24787779797182
D04,1,61.15737598789137
D05,1,48.700135851991305
D06,1,46.54712330934995
D07,1,32.238827858995144
D08,1,37.0451057409487
D09,1,38.29729433587336
D10,1,30.05323020885193
D11,1,39.67034465636235
D12,1,35.35381733660836

E02,0,
E03,0,
E04,0,
E05,0,
E06,0,
E07,0,
E08,0,
E09,1,60.73887052048528
E10,1,46.149447163148544
E11,1,38.54092025658393
E12,1,43.29807554751327

F02,1,95.30493512402683
F03,0,
F04,0,
F05,0,
F06,0,
F07,1,47.90013047489891
F08,1,134.9671560851968
F09,1,58.12899013124778
F10,1,39.44478156525074
F11,1,41.3279423666716
F12,1,29.202369647992203

G02,1,13.876539101758427
G03,0,
G04,1,126.79189142255852
G05,0,
G06,1,122.42056241189306
G07,0,
G08,1,106.63426669188547
G09,1,49.449001957315495
G10,1,44.845707436366126
G11,1,40.4458471207502
G12,1,28.61190746746772
