well,row,col,antibody,conc_uM,is_control,half_time
B3,B,3,A1,10,False,63.02668506616053
B4,B,4,A1,5,False,72.30041270124715
B5,B,5,A1,2.5,False,70.260155466372
B6,B,6,A1,1.25,False,53.22830380691105
B7,B,7,A1,0.625,False,35.93389497181246
B8,B,8,A1,0.31,False,37.16386810356874
B9,B,9,A1,0.16,False,29.574411098968476
B10,B,10,A1,0.08,False,39.34689369106651
B11,B,11,A1,0,True,34.16666517198901
B12,B,12,A1,0,True,45.52677024544488

C3,C,3,A1,10,False,66.28337413437741
C4,C,4,A1,5,False,56.45001864091328
C5,C,5,A1,2.5,False,53.72372295227746
C6,C,6,A1,1.25,False,57.624462277171915
C7,C,7,A1,0.625,False,32.709374047472245
C8,C,8,A1,0.31,False,38.381692716963514
C9,C,9,A1,0.16,False,37.47211888294668
C10,C,10,A1,0.08,False,42.243023255821555
C11,C,11,A1,0,True,32.5529932159569
C12,C,12,A1,0,True,36.89477970356796

D3,D,3,A1,10,False,81.24787779797182
D4,D,4,A1,5,False,61.15737598789137
D5,D,5,A1,2.5,False,48.700135851991305
D6,D,6,A1,1.25,False,46.54712330934995
D7,D,7,A1,0.625,False,32.238827858995144
D8,D,8,A1,0.31,False,37.0451057409487
D9,D,9,A1,0.16,False,38.29729433587336
D10,D,10,A1,0.08,False,30.05323020885193
D11,D,11,A1,0,True,39.67034465636235
D12,D,12,A1,0,True,35.35381733660836

E3,E,3,DNA-JB6,10,False,60.73887052048528
E4,E,4,DNA-JB6,5,False,46.149447163148544
E5,E,5,DNA-JB6,2.5,False,38.54092025658393
E6,E,6,DNA-JB6,1.25,False,43.29807554751327
E7,E,7,DNA-JB6,0.625,False,
E8,E,8,DNA-JB6,0.31,False,
E9,E,9,DNA-JB6,0.16,False,49.449001957315495
E10,E,10,DNA-JB6,0.08,False,44.845707436366126
E11,E,11,DNA-JB6,0,True,40.4458471207502
E12,E,12,DNA-JB6,0,True,28.61190746746772

F3,F,3,DNA-JB6,10,False,95.30493512402683
F4,F,4,DNA-JB6,5,False,
F5,F,5,DNA-JB6,2.5,False,
F6,F,6,DNA-JB6,1.25,False,
F7,F,7,DNA-JB6,0.625,False,47.90013047489891
F8,F,8,DNA-JB6,0.31,False,134.9671560851968
F9,F,9,DNA-JB6,0.16,False,58.12899013124778
F10,F,10,DNA-JB6,0.08,False,39.44478156525074
F11,F,11,DNA-JB6,0,True,41.3279423666716
F12,F,12,DNA-JB6,0,True,29.202369647992203

G2,G,2,DNA-JB6,10,False,13.876539101758427
G3,G,3,DNA-JB6,5,False,
G4,G,4,DNA-JB6,2.5,False,126.79189142255852
G5,G,5,DNA-JB6,1.25,False,
G6,G,6,DNA-JB6,0.625,False,122.42056241189306
G7,G,7,DNA-JB6,0.31,False,
G8,G,8,DNA-JB6,0.16,False,106.63426669188547
G9,G,9,DNA-JB6,0.08,False,49.449001957315495
G10,G,10,DNA-JB6,0.04,False,44.845707436366126
G11,G,11,DNA-JB6,0,True,40.4458471207502
G12,G,12,DNA-JB6,0,True,28.61190746746772
