Well,Aggregation,Halftime
A01,1,97.89165359
A02,1,45.75125628
A03,1,160.9742598
A04,1,167.5077202
A05,1,51.89542288
A06,0,
A07,1,20.05189723
A08,1,16.26408401
A09,1,18.03333752
A10,1,17.56671966
A11,1,16.74856548
A12,1,15.89198056

B01,1,103.0610977
B02,1,140.6419603
B03,1,166.2373821
B04,1,69.96870766
B05,0,
B06,0,
B07,1,33.59430607
B08,1,43.47653573
B09,1,59.93131036
B10,1,38.14933151
B11,1,33.28210359
B12,1,30.83525759

C01,1,160.8817762
C02,0,
C03,0,
C04,0,
C05,0,
C06,0,
C07,1,112.2495345
C08,1,110.9480442
C09,1,53.78561093
C10,1,49.52811626
C11,1,59.65130577
C12,1,120.6727547

D01,1,163.4993511
D02,1,142.9488491
D03,0,
D04,0,
D05,0,
D06,0,
D07,1,113.6120064
D08,1,135.6397803
D09,1,84.90878587
D10,1,78.75645987
D11,1,91.72710533
D12,1,125.4839095

E01,1,163.4701147
E02,0,
E03,0,
E04,0,
E05,0,
E06,0,
E07,1,178.8664599
E08,1,154.4566229
E09,1,145.2884627
E10,1,121.4259723
E11,0,
E12,0,

F01,1,159.1493192
F02,1,115.5071458
F03,0,
F04,0,
F05,0,
F06,0,
F07,1,157.689587
F08,1,174.7886559
F09,1,133.7928471
F10,0,
F11,0,
F12,0,

G01,1,162.3957503
G02,0,
G03,0,
G04,0,
G05,0,
G06,0,
G07,1,18.2667263
G08,1,153.7231806
G09,1,115.9482764
G10,0,
G11,0,
G12,0,

H01,1,54.08384997
H02,0,
H03,0,
H04,0,
H05,0,
H06,0,
H07,1,78.43313708
H08,0,
H09,0,
H10,0,
H11,0,
H12,0,
